text,iab_label,confidence,source
fox news mouthbreather calls bachelorette andi slut,IAB12 News,0.93,natural
abc news doctor nc really needs pay attention chikungunya,IAB12 News,0.92,natural
reset passwords heartbleed bug makes news,IAB12 News,0.92,natural
actually good news federal health care spending,IAB12 News,0.92,natural
nbc shows report economic costs climate change,IAB12 News,0.92,natural
breaking news judge denies mistrial diabetes drug lawsuit,IAB12 News,0.92,natural
climate change already hurting us thats good news,IAB12 News,0.92,natural
news affect facebook fb stock today,IAB12 News,0.92,natural
breaking news columbus short threatened wife murdersuicide,IAB12 News,0.91,natural
breaking news pistorius mentally ill killing panel reports,IAB12 News,0.91,natural
hillary clinton appear fox news promote new book talk benghazi,IAB12 News,0.9,natural
hillary clinton halfhour interview fox news,IAB12 News,0.9,natural
fox news gender pay gap real except white house,IAB12 News,0.9,natural
news talked astronaut yesterday,IAB12 News,0.89,natural
today news peace corps removed areas hit ebola virus,IAB12 News,0.89,natural
stumbling start june agricultural commodity etfs etf news,IAB12 News,0.89,natural
erykah badu erykah badu interrupts live news broadcast,IAB12 News,0.89,natural
1st american mers patient may leave hospital soon 14 news wfie,IAB12 News,0.89,natural
news flash strange light mars causes brains puff,IAB12 News,0.89,natural
massive dirt pile may led bridge closure ktiv news 4 sioux city ia,IAB12 News,0.88,natural
abominable news yeti identified ancestral polar bear,IAB12 News,0.88,natural
nbc documentary ignores skeptics insists 97 percent agree climate change,IAB12 News,0.88,natural
james franco explains nearly nude photos news note,IAB12 News,0.88,natural
dollar lower fomc statement top forex news,IAB12 News,0.88,natural
newsone minute chris rock interviews white people monster truck rally,IAB12 News,0.88,natural
breaking news update 22 bodies counted ukraine wreckage site,IAB12 News,0.88,natural
hospital special surgery ranked 1 orthopedics us news world,IAB12 News,0.88,natural
white males make nightly news comeback,IAB12 News,0.88,natural
new york post calls kim kardashian kanye west jackasses wedding,IAB12 News,0.88,natural
diane sawyer changing roles news anchors,IAB12 News,0.88,natural
fox news bob beckel calls bachelorette slut,IAB12 News,0.88,natural
whoopie gdp strong secondquarter growth positive sign economy,IAB12 News,0.88,natural
mass general ranked second us news world report best hospitals list,IAB12 News,0.88,natural
video erykah badu crashes live tv news broadcast trying kiss reporter,IAB12 News,0.87,natural
khloe kardashian reportedly acting like real diva new reality,IAB12 News,0.87,natural
reasons cautiously cheerful state us news media,IAB12 News,0.87,natural
report facebook manipulated users emotions news fed unethical,IAB12 News,0.87,natural
heres fox news covered todays awesome jobs report,IAB12 News,0.87,natural
mountain dirt suspected bridge closure 21 news local news,IAB12 News,0.87,natural
news american idol blew judges away,IAB12 News,0.87,natural
gold per ounce spot gold per gram todays spot silver precious metal news,IAB12 News,0.87,natural
news flash flash boys news,IAB12 News,0.87,natural
new damning proof comes light gm defective airbags case,IAB12 News,0.87,natural
apnewsbreak speed blame paul walker crash,IAB12 News,0.86,natural
national news rolf harris claims affair teen consensual,IAB12 News,0.86,natural
today news pregnant pakistani woman stoned death,IAB12 News,0.86,natural
gwars top 5 mainstream moments fox news beavis butthead,IAB12 News,0.86,natural
probe done circus accident evidence provided wcbdtv news weather,IAB12 News,0.86,natural
new york times know fire someone,IAB12 News,0.86,natural
credit suisse 26 bn fine omen lies ahead swiss banks,IAB12 News,0.86,natural
colon cancer screening news number cases cancers,IAB12 News,0.86,natural
fox news bob beckel analyzes bachelorette shes slut video,IAB12 News,0.86,natural
terminator 5 news arnold schwarzenegger defends brutal violence new,IAB12 News,0.86,natural
sandy ridge news,IAB12 News,0.86,natural
breaking news bobby womack dead 70,IAB12 News,0.86,natural
lachlan murdoch reemerges contender top role news corp,IAB12 News,0.86,natural
new report ranks us healthcare last,IAB12 News,0.86,natural
delaware bridge tilt likely ground shifting 21 news local news,IAB12 News,0.86,natural
better flappy bird works news need know,IAB12 News,0.86,natural
walters changed way see news,IAB12 News,0.86,natural
breaking news dancing stars scandal trophy wife rip,IAB12 News,0.86,natural
fox news host bob beckel calls bachelorette star andi dorfman slut,IAB12 News,0.86,natural
lindsay lohan totally confirms sex list real deal listen,IAB12 News,0.85,natural
breaking news kerry washington lyn paolo debut scandal collection,IAB12 News,0.85,natural
apnewsbreak speed blame walker crash,IAB12 News,0.85,natural
nyc subway rail snapped derailment new,IAB12 News,0.85,natural
lachlan murdoch named lead news corp,IAB12 News,0.85,natural
school lunch pushback sparks health politics debate tellusatoday,IAB12 News,0.85,natural
nobel prizewinning author gabriel garcia marquez died breaking news,IAB12 News,0.85,natural
regulators accuse tmobile bogus billing fox 29 news philadelphia,IAB12 News,0.85,natural
reports shows us lacking health care efficiency equality,IAB12 News,0.85,natural
new white house report 57 million people losing health care,IAB12 News,0.85,natural
york fast obamacare good news,IAB12 News,0.85,natural
nbc news uncritically swallows hhs obamacare surge number,IAB12 News,0.85,natural
today news lunar eclipse blood moon appear overnight,IAB12 News,0.85,natural
breaking news sofia vergara goes nick loeb true bloods joe,IAB12 News,0.85,natural
fox news hosts interview hillary clinton,IAB12 News,0.85,natural
fox news anchor bob beckel calls bachelorette andi dorfman slut,IAB12 News,0.85,natural
fox news interview hillary clinton,IAB12 News,0.85,natural
kim kardashian kanye west marriage weedding news kimye,IAB12 News,0.85,natural
stephen colbert informative tv news,IAB12 News,0.85,natural
new warning obesity ignorance,IAB12 News,0.85,natural
fox interview hillary clinton hit benghazi 2016 plans,IAB12 News,0.85,natural
ny times maureen dowd describes paranoid pot freak became,IAB12 News,0.84,natural
celebrity buzz cameron diaz sex tape esquire,IAB12 News,0.84,natural
climate front burner,IAB12 News,0.84,natural
ntsb faults pilot mismanagment asiana flight greenville nc news,IAB12 News,0.84,natural
woman machine new robots look creepily human fox 32 news chicago,IAB12 News,0.84,natural
spoiler alert justice served privy council tyrion lannisters fate,IAB12 News,0.84,natural
kasalanan ni pnoy yan readers react news hindi kitty si hello kitty,IAB12 News,0.84,natural
calling george clooney gay joke says fox news anchor,IAB12 News,0.84,natural
joan lunden reveals breast cancer diagnosis good morning america,IAB12 News,0.84,natural
situation charged fight tanning salon wboctv 16 delmarvas news,IAB12 News,0.84,natural
celebrity news jodie foster gets married,IAB12 News,0.84,natural
morning edition duke deciding fate coal ash central ohio population,IAB12 News,0.84,natural
newspapers hilarious kimye wedding announcement,IAB12 News,0.84,natural
teenage mutant ninja turtles movie 2014 release date cast news update,IAB12 News,0.84,natural
marijuana news wiz khalifa arrested pot possession texas,IAB12 News,0.84,natural
kim kanye secretly got married report,IAB12 News,0.84,natural
good news possible treatment mers middle eastern respiratory,IAB12 News,0.84,natural
diane sawyer signs anchor abcs world news thanks viewers,IAB12 News,0.84,natural
abc news announces major change evening news,IAB12 News,0.84,natural
fox news baier van susteren land hillary clinton interview,IAB12 News,0.84,natural
heres news moving dow jones today,IAB12 News,0.84,natural
health news fix broken market antibiotics us citizen tested,IAB12 News,0.84,natural
breaking news,IAB12 News,0.84,natural
erykah badu tries kiss reporter news broadcast video,IAB12 News,0.84,natural
ntsb faults pilot mismanagment asiana flight fox 32 news chicago,IAB12 News,0.84,natural
fox newss elisabeth hasselbeck rips rosie odonnell,IAB12 News,0.84,natural
shocking revelation third worlds population obese overweight,IAB12 News,0.84,natural
abc news anchor shuffle,IAB12 News,0.84,natural
surprising skin cancer symptom doctor shouldnt ignore,IAB12 News,0.84,natural
pablo picassos hidden portrait blue room revealed breaking news,IAB12 News,0.84,natural
sierra leone news vimetco doles le132m ebola fight,IAB12 News,0.84,natural
good news obamacare mass reforms might saving 320 lives year,IAB12 News,0.84,natural
cancer kills 7 manitobans every day report says,IAB12 News,0.83,natural
new york probes special deals highspeed traders,IAB12 News,0.83,natural
523 cnn houston airport near miss investigation,IAB12 News,0.83,natural
today news gwyneth paltrow says working moms easier,IAB12 News,0.83,natural
new us mers case health officials alert,IAB12 News,0.83,natural
one dies another sick dangerous bacteria abc7com wzvn news,IAB12 News,0.83,natural
fox news anchor calls george clooney gay backtracks says,IAB12 News,0.83,natural
minnesota news roundup minnesota tops senior health,IAB12 News,0.83,natural
good news diabetes,IAB12 News,0.83,natural
breaking news malaysia airlines lost contact flight mh17,IAB12 News,0.83,natural
kim khloe kardashian relationship news kim warns sister stay away,IAB12 News,0.83,natural
fox59 celebrates international day happiness,IAB12 News,0.83,natural
apnewsbreak lesser prairie chicken listed threatened species 5 states,IAB12 News,0.83,natural
new report cites danger payday loans,IAB12 News,0.83,natural
promising drug news muscular dystrophy patients breakthrough warn,IAB12 News,0.83,natural
fox news scores halfhour interview hillary clinton,IAB12 News,0.83,natural
today news new dwarf planet discovered solar system,IAB12 News,0.83,natural
search missing malaysian airliner turns new debris 12 news kbmt,IAB12 News,0.83,natural
new un warning climate change,IAB12 News,0.83,natural
new concerns mers outbreak united states,IAB12 News,0.83,natural
live like tom gisele 50 million wncn news weather raleigh,IAB12 News,0.83,natural
adrienne bailon snaps back kim k news note,IAB12 News,0.83,natural
erykah badu crashes live newscast tries kiss reporter,IAB12 News,0.83,natural
breaking news high court gives raging bull copyright suit 1 round,IAB12 News,0.83,natural
news analysis saps cto vishal sikka resigns mean sap,IAB12 News,0.83,natural
new warnings ebola outbreak,IAB12 News,0.83,natural
exelixis cancer trial news matters time,IAB12 News,0.83,natural
news sierra leone,IAB12 News,0.83,natural
search flight mh370 malaysia published satellite data breaking news,IAB12 News,0.83,natural
police dig fatal shooting jaces wife wsvntv 7news miami ft,IAB12 News,0.82,natural
bad heartbleed news come,IAB12 News,0.82,natural
diane sawyer steps aside abcs world news,IAB12 News,0.82,natural
new 1 us news world report ranks best hospitals,IAB12 News,0.82,natural
market watch libyan news contributes lower crude oil futures prices,IAB12 News,0.82,natural
mayo clinic achieves honor roll status us news world reports top,IAB12 News,0.82,natural
drug stocks news teva pharmaceutical industries nyseteva allergan,IAB12 News,0.82,natural
news american idol finale recap delivered best performances,IAB12 News,0.82,natural
breaking news full house reunion series planned original cast members,IAB12 News,0.82,natural
stocks slip disappointing asia news,IAB12 News,0.82,natural
nutrition facts new,IAB12 News,0.82,natural
mountain dirt suspected bridge closure wxow news 19 la crosse wi,IAB12 News,0.82,natural
news around wisconsin 558 pm cdt,IAB12 News,0.82,natural
member best fking news team ever replace colbert,IAB12 News,0.82,natural
kasalanan ni pnoy yan quickwitted readers react news hindi kitty,IAB12 News,0.82,natural
awareness times news briefs sierra leone 7th july 2014,IAB12 News,0.82,natural
news katherine heigl vs duane reade,IAB12 News,0.82,natural
morning facepalm fox news uses bioshock infinite logo defend,IAB12 News,0.82,natural
new york times fiasco wont go away jill abramsons departure,IAB12 News,0.82,natural
startling news investors yellen congress,IAB12 News,0.82,natural
abc news world news,IAB12 News,0.82,natural
pipe break flooded ucla dumps 20m gallons san diego california news,IAB12 News,0.82,natural
noah expert appearing fox news,IAB12 News,0.82,natural
