text,iab_label,confidence,source
personal finance withdraw 401k,IAB13 Personal Finance,0.87,natural
state personal finance transparency less complexity,IAB13 Personal Finance,0.79,natural
shanghai teens top international personal finance survey,IAB13 Personal Finance,0.72,natural
pinterest valued 5 billion financing round,IAB13 Personal Finance,0.7,natural
pinterest valued 5 billion 200 million financing round,IAB13 Personal Finance,0.68,natural
gold falls solid us personal spending data,IAB13 Personal Finance,0.62,natural
opportunity emerging markets lpl financial,IAB13 Personal Finance,0.6,natural
ipcc report claims excuses funding coal gas projects,IAB13 Personal Finance,0.53,natural
personal income spending may limit q2 gdp recovery,IAB13 Personal Finance,0.5,natural
us personal spending rises 02 may income 04,IAB13 Personal Finance,0.5,natural
ipcc warns cost action high,IAB13 Personal Finance,0.49,natural
pf changs says credit debit card data breached,IAB13 Personal Finance,0.46,natural
pf changs customer credit card information stolen,IAB13 Personal Finance,0.46,natural
earth deep trouble says ipcc report,IAB13 Personal Finance,0.45,natural
consumer credit posts largest gain year,IAB13 Personal Finance,0.44,natural
pf changs customers credit debit card info stolen,IAB13 Personal Finance,0.44,natural
american kids really bad handling money,IAB13 Personal Finance,0.44,natural
pf changs admits credit data stolen,IAB13 Personal Finance,0.42,natural
ipcc report points renewables solution,IAB13 Personal Finance,0.42,natural
modest rise us consumer spending,IAB13 Personal Finance,0.41,natural
consumer borrowing credit card use falls,IAB13 Personal Finance,0.41,natural
pf changs investigates credit card security breach,IAB13 Personal Finance,0.41,natural
lwren scott lwren scotts housekeeper reveals money problems,IAB13 Personal Finance,0.4,natural
consumers dip mortgage rates followed rise,IAB13 Personal Finance,0.4,natural
consumers 7 reasons refinance,IAB13 Personal Finance,0.4,natural
stockpiling antiflu drugs may waste money,IAB13 Personal Finance,0.4,natural
great barrier reef could damaged irreparably within 25 years claims ipcc,IAB13 Personal Finance,0.4,natural
pf changs admits credit debit card theft,IAB13 Personal Finance,0.4,natural
sv angel leads pinterest financing 5 billion valuation,IAB13 Personal Finance,0.39,natural
ipcc report highlights challenges farmers,IAB13 Personal Finance,0.39,natural
pc market dead yet gartner says,IAB13 Personal Finance,0.39,natural
ipcc expert wrap costs climate change mounting,IAB13 Personal Finance,0.39,natural
consumers interest rates improve home loans,IAB13 Personal Finance,0.38,natural
survey consumers optimistic finances,IAB13 Personal Finance,0.38,natural
pf changs says card data compromised,IAB13 Personal Finance,0.38,natural
baby boomers turn reverse mortgages,IAB13 Personal Finance,0.38,natural
warren buffetts plan help people save money,IAB13 Personal Finance,0.38,natural
sandpoint capital payday loan address,IAB13 Personal Finance,0.37,natural
pinterest wins new funding raising valuation 62 billion,IAB13 Personal Finance,0.37,natural
gpif shakes investment committee three abe panel members,IAB13 Personal Finance,0.37,natural
refinancing home,IAB13 Personal Finance,0.37,natural
pf changs confirms card breach,IAB13 Personal Finance,0.37,natural
pf changs investigates nationwide credit card breach,IAB13 Personal Finance,0.37,natural
sbarro files bankruptcy,IAB13 Personal Finance,0.37,natural
fixing climate change would cost billions ipcc,IAB13 Personal Finance,0.36,natural
bitcoins property money us irs,IAB13 Personal Finance,0.36,natural
facebooks mobile focus paying,IAB13 Personal Finance,0.36,natural
bitcoins property money irs,IAB13 Personal Finance,0.36,natural
pf changs investigates possible card breach,IAB13 Personal Finance,0.36,natural
coldwater creek sandpoint files bankruptcy protection,IAB13 Personal Finance,0.36,natural
pf changs says card data compromised restaurants,IAB13 Personal Finance,0.36,natural
italian teens cant handle money report,IAB13 Personal Finance,0.36,natural
mekhi phifer files bankruptcy says 13m debt,IAB13 Personal Finance,0.36,natural
eavesdropping heartbleed bug puts financial personal data risk,IAB13 Personal Finance,0.35,natural
fleeting paychecks arent imaginary consumer pricing rise,IAB13 Personal Finance,0.35,natural
eurozones money supply private credit slightly improved may,IAB13 Personal Finance,0.35,natural
mekhi phifer files bankruptcy reportedly 13 million debt,IAB13 Personal Finance,0.35,natural
bitcoin exchange mt gox files us bankruptcy death spiral continues,IAB13 Personal Finance,0.35,natural
fall inflation little comfort cashstrapped families,IAB13 Personal Finance,0.35,natural
baby boomers increasingly attracted reverse mortgages,IAB13 Personal Finance,0.35,natural
unilever hurt personalcare slowdown margins set shrink,IAB13 Personal Finance,0.35,natural
401k fees could eat 70000 average workers account,IAB13 Personal Finance,0.35,natural
pf changs confirms credit data stolen,IAB13 Personal Finance,0.35,natural
