text,iab_label,confidence,source
social securitys continuing assault customer service,IAB14 Society,0.93,natural
warwickshire branch alzheimers society awarded top honour,IAB14 Society,0.87,natural
hardcore romance fifty shades grey bestsellers society eva illouz,IAB14 Society,0.86,natural
seymour best summer movie ever,IAB14 Society,0.85,natural
relay major fund raiser american cancer society,IAB14 Society,0.85,natural
michelle obama anna wintours mutual admiration society,IAB14 Society,0.84,natural
sos encourage tobacco prevention cinco de mayo,IAB14 Society,0.84,natural
report socal tops list worst air pollution us,IAB14 Society,0.82,natural
north korea rogen franco film shows desperation american society,IAB14 Society,0.82,natural
sony needs rethink amazing spiderman strategy,IAB14 Society,0.82,natural
sonys project morpheus virtual insanity,IAB14 Society,0.81,natural
top sony executives return bonuses,IAB14 Society,0.79,natural
american cancer society urges increased colon cancer screening save lives,IAB14 Society,0.78,natural
termite genome reveals secrets insect sex society,IAB14 Society,0.77,natural
american cancer society paint town purple celebration relay,IAB14 Society,0.76,natural
canadian cancer society accuses province failing protect albertans,IAB14 Society,0.76,natural
huge societal benefits childhood vaccination,IAB14 Society,0.75,natural
stephen colberts joke limitations twitter societys inability,IAB14 Society,0.75,natural
inheritance loss americas new wealthy little offer society,IAB14 Society,0.75,natural
sony unveils xperia c3 selfie smartphone dual sim 4g lte support,IAB14 Society,0.75,natural
sony prepares launch smartphone front camera flash,IAB14 Society,0.74,natural
sonys revolutionary storage solutionmagnetic tape really claiming tech,IAB14 Society,0.74,natural
alzheimers exacts debilitating toll society well victim,IAB14 Society,0.74,natural
joplin humane society cinco de mayo celebration,IAB14 Society,0.73,natural
sonys psn back online service attack,IAB14 Society,0.73,natural
alzheimers society launches dementia friends campaign,IAB14 Society,0.72,natural
sonys answer ipad air,IAB14 Society,0.72,natural
sony wins console battle microsoft,IAB14 Society,0.71,natural
sony gaming network hit ddos attack,IAB14 Society,0.71,natural
sony xperia c3 phone designed specifically selfies,IAB14 Society,0.71,natural
barclays plc dark pool penalty could hit 2 billion socgen,IAB14 Society,0.7,natural
sony discontinue playstation portable,IAB14 Society,0.7,natural
sony discontinues playstation portable,IAB14 Society,0.7,natural
sias 1000 forms fear 1,IAB14 Society,0.69,natural
sony execs lose bonuses another bad year,IAB14 Society,0.68,natural
ripsp end era sony discontinues psp,IAB14 Society,0.68,natural
sony discontinuing psp japan,IAB14 Society,0.68,natural
scotus preview amicus briefs divided legality aereo,IAB14 Society,0.68,natural
sony xperia z2 vs htc one m8 premium device comparison,IAB14 Society,0.68,natural
