text,iab_label,confidence,source
science shows fruit flies perform fighter jet stunts,IAB15 Science,0.96,natural
liquid nitrogen plus 1500 ping pong balls equals awesome yeah science,IAB15 Science,0.91,natural
fist bumps sanitary handshakes says science,IAB15 Science,0.9,natural
web25 sir tim bernerslees computer began show science,IAB15 Science,0.89,natural
science notes americas frontrow seat tuesdays lunar eclipse,IAB15 Science,0.88,natural
white house science fair focus girls stem,IAB15 Science,0.88,natural
colon cancer test exact sciences detects tumors,IAB15 Science,0.88,natural
theres scientific proof kate middleton perfect nose,IAB15 Science,0.87,natural
science adding new element 117 periodic table,IAB15 Science,0.87,natural
science says women like terrible dance moves,IAB15 Science,0.87,natural
fistbumping hygienic shaking hands scientists,IAB15 Science,0.87,natural
science grew vaginas lab implanted women,IAB15 Science,0.87,natural
scientist find evidence support big bang theory,IAB15 Science,0.86,natural
cosmos science cool starring neil degrasse tyson,IAB15 Science,0.86,natural
exact sciences stock halted ahead fda panel meeting update,IAB15 Science,0.86,natural
physics spidermans webs,IAB15 Science,0.85,natural
scientists isolate suicide risk gene,IAB15 Science,0.85,natural
gilead sciences value stock,IAB15 Science,0.85,natural
scientists create transparent mouse take look creatures anatomy,IAB15 Science,0.84,natural
iphone 5s samsung galaxy s5 htc one m8 destroyed science,IAB15 Science,0.84,natural
gravitational ripples big bang mean physics,IAB15 Science,0.84,natural
gilead sciences may see healthy earnings beat,IAB15 Science,0.84,natural
omg science says stop shaking handsand instead,IAB15 Science,0.84,natural
identical twins offer selves science one staying earth one,IAB15 Science,0.84,natural
scientists make stem cells adult skin,IAB15 Science,0.83,natural
exact sciences colon cancer test home finds tumors 1,IAB15 Science,0.83,natural
scientists discover direct evidence big bang,IAB15 Science,0.83,natural
scientists grow functioning vaginas girls cells,IAB15 Science,0.83,natural
scientists use gene therapy create natural biological pacemaker,IAB15 Science,0.83,natural
scientists grow viable vaginas girls cells,IAB15 Science,0.82,natural
studies find dogs sniff cancer incredible accuracy,IAB15 Science,0.82,natural
watch james franco murder science everything wrong rise,IAB15 Science,0.82,natural
scientists discover zebras stripes,IAB15 Science,0.82,natural
researchers split electron photon create matter,IAB15 Science,0.82,natural
elevated co2 robs crops nutrients say scientists,IAB15 Science,0.82,natural
name science microsoft makes msdos word source code public,IAB15 Science,0.82,natural
science reveals women rate men dance floor video,IAB15 Science,0.82,natural
scientists work turn light matter,IAB15 Science,0.81,natural
scientists grow artificial working vaginas lab,IAB15 Science,0.81,natural
floridas rick scott im scientist,IAB15 Science,0.81,natural
scientists create biological pacemakers keep heart beat,IAB15 Science,0.81,natural
scientists create worlds first vagina lab using patients tissues,IAB15 Science,0.81,natural
japanese whaling scientific,IAB15 Science,0.81,natural
stephen colbert best thing ever happen science tv,IAB15 Science,0.81,natural
trading temporarily halted exact sciences stock,IAB15 Science,0.81,natural
headbanging causes blood clot metal fan science says,IAB15 Science,0.8,natural
gsks cancer vaccine flunks another trial,IAB15 Science,0.8,natural
scientists develop blood test detect dementia,IAB15 Science,0.8,natural
scientists closer blood test,IAB15 Science,0.8,natural
scientists discover genetic marker predicts suicide risk,IAB15 Science,0.8,natural
scientists make biological pacemakers hearts cells,IAB15 Science,0.8,natural
scientists discovered remarkable way sniff cancer,IAB15 Science,0.8,natural
scientists claim find evidence big bangs first ripples,IAB15 Science,0.8,natural
scca experts develop helpful tool simplify colon cancer prevention,IAB15 Science,0.8,natural
exact sciences announces fda advisory committee unanimously,IAB15 Science,0.8,natural
scientists create 1st living organism artificial dna,IAB15 Science,0.8,natural
exact sciences stock trading halted today fda advisory committee meeting,IAB15 Science,0.8,natural
montgomery blair science finalist makes top 10 intel national competition,IAB15 Science,0.8,natural
biodelivery sciences surging phase 3 results bema,IAB15 Science,0.8,natural
cancer stem cells microscope albert einstein college medicine,IAB15 Science,0.8,natural
researchers create personalized diseasespecific stem cells,IAB15 Science,0.8,natural
scientists create element 117 40 heavier lead,IAB15 Science,0.79,natural
biodelivery sciences international bdsi set new high study results,IAB15 Science,0.79,natural
scientists discover longevity gene makes people smarter,IAB15 Science,0.79,natural
white house science fair kids smarter obama says obama,IAB15 Science,0.79,natural
scientists create first organisms pass artificial dna,IAB15 Science,0.79,natural
scientists build pacemaker hearts cells,IAB15 Science,0.79,natural
researchers find direct evidence cosmic inflation,IAB15 Science,0.79,natural
researchers make biological pacemakers hearts cells,IAB15 Science,0.79,natural
scientists discover fossil hedgehog size thumb,IAB15 Science,0.79,natural
americas future meet 2014 white house science fair exhibitors,IAB15 Science,0.79,natural
geologists link earthquakes fracking,IAB15 Science,0.79,natural
insider selling gilead sciences evp sells 16728 shares stock gild,IAB15 Science,0.78,natural
orbital sciences nasa launch carbonmonitoring spacecraft mike miller,IAB15 Science,0.78,natural
researchers find worlds biggest flying bird fossil,IAB15 Science,0.78,natural
proteome sciences develops blood test early warning signs alzheimers,IAB15 Science,0.78,natural
scientists find first asteroid rings,IAB15 Science,0.78,natural
scientists found evidence big bang 3 graphs explain,IAB15 Science,0.78,natural
scientists identify antibodies mers,IAB15 Science,0.78,natural
scientists young blood rejuvenates older mice,IAB15 Science,0.78,natural
scientists discover evidence water deep beneath earths surface,IAB15 Science,0.78,natural
scientists hail breakthrough alzheimers blood test,IAB15 Science,0.78,natural
living organism alien dna created scientists,IAB15 Science,0.78,natural
scientists using gene therapy create biological pacemaker,IAB15 Science,0.78,natural
exact sciences exas comments fda adcomm unanimous,IAB15 Science,0.78,natural
japans whaling scientific,IAB15 Science,0.78,natural
tube talk sweden science scifi,IAB15 Science,0.78,natural
scientists detect echoes universes big bang,IAB15 Science,0.78,natural
facebook messed users emotionsfor science,IAB15 Science,0.78,natural
researchers discover magic mushrooms affect brain,IAB15 Science,0.78,natural
home science technology nasas mars rover,IAB15 Science,0.78,natural
scientists study antiaging laboratory mice,IAB15 Science,0.77,natural
scientists reverse aging process young blood,IAB15 Science,0.77,natural
exact sciences noninvasive colon cancer test home shows promise,IAB15 Science,0.77,natural
science probes secrets contagious yawning,IAB15 Science,0.77,natural
scientists develop environmentfriendly solar cell,IAB15 Science,0.77,natural
scientists create detailed map human genes,IAB15 Science,0.77,natural
scientists discover megaearth examining kepler telescope data,IAB15 Science,0.77,natural
scientists create first living organism artificial dna,IAB15 Science,0.77,natural
scientists build life form adds letters genetic code,IAB15 Science,0.77,natural
scientists study impact global warming arctic ice,IAB15 Science,0.77,natural
big bang theory scientists find direct point universes growth,IAB15 Science,0.77,natural
scientists created first living organism using artificial dna,IAB15 Science,0.77,natural
colbert loves science,IAB15 Science,0.77,natural
scientists discover dinosaur name chicken hell,IAB15 Science,0.77,natural
researchers discover gene augments cognitive capabilities,IAB15 Science,0.77,natural
researchers created cells help heart keep perfect pace,IAB15 Science,0.77,natural
scientists closer finding cure alzheimers,IAB15 Science,0.77,natural
scientists discover echo big bang,IAB15 Science,0.77,natural
chemistry ryan gosling rachel mcadams fought âthe,IAB15 Science,0.77,natural
scientists find magic mushrooms alter human mind,IAB15 Science,0.77,natural
andi dorfman chemistry nick viall josh murray poll,IAB15 Science,0.77,natural
wow amazing images science week,IAB15 Science,0.77,natural
icj japanese whaling scientific,IAB15 Science,0.77,natural
scientists find magic mushrooms alter mind,IAB15 Science,0.77,natural
scientists create insulinmaking cells dna diabetic woman,IAB15 Science,0.77,natural
scientists uncover inbetween goldilocks nature dinosaur blood,IAB15 Science,0.77,natural
researchers trying gene therapy create biological pacemaker,IAB15 Science,0.77,natural
scientists tie new protein alzheimers disease,IAB15 Science,0.76,natural
scientists create creepylooking transparent mice,IAB15 Science,0.76,natural
science journal retracts paper stem cell discovery,IAB15 Science,0.76,natural
scientists discover tiny dinosaur roamed arctic,IAB15 Science,0.76,natural
sevenstorey dinosaur may milestone moment science,IAB15 Science,0.76,natural
scientists discover polar bear tyrannosaur arctic,IAB15 Science,0.76,natural
vaginas made lab hailed scientific win,IAB15 Science,0.76,natural
scientists reverse aging mice giving young blood,IAB15 Science,0.76,natural
inspired 18thcentury contest uk prize offers 17 million solve key science,IAB15 Science,0.76,natural
researchers explore growing solar panels bacteria,IAB15 Science,0.76,natural
scientists close finding earths twin,IAB15 Science,0.76,natural
scientists induced lucid dreaming electric shocks,IAB15 Science,0.76,natural
scientists show monarch butterflies employ magnetic compass,IAB15 Science,0.76,natural
researchers develop small dialysis machine newborns kidney injuries,IAB15 Science,0.76,natural
physicists find evidence cosmic inflation,IAB15 Science,0.76,natural
researchers create new rung dna ladder offering hope new drugs,IAB15 Science,0.76,natural
scientists discovered simple way predict alzheimers,IAB15 Science,0.76,natural
scientists discover octopuses avoid tying knots,IAB15 Science,0.76,natural
wallace baine baine street silence science,IAB15 Science,0.76,natural
scientists develop test predict binge drinking,IAB15 Science,0.76,natural
scientists create biological pacemakers transplanting gene hearts,IAB15 Science,0.76,natural
proteome sciences publishes study alzheimers blood test,IAB15 Science,0.76,natural
gilead sciences serious pricing problem,IAB15 Science,0.76,natural
scientists creating biological pacemaker,IAB15 Science,0.76,natural
gilead sciences solvadi game changer,IAB15 Science,0.76,natural
scientists successfully create vaginas lab help women born without,IAB15 Science,0.75,natural
scientists identify antibodies deadly emerging disease,IAB15 Science,0.75,natural
scientists discover earth sized planet goldilocks zone,IAB15 Science,0.75,natural
phoenix students compete white house science fair,IAB15 Science,0.75,natural
researchers find gene boosts intelligence,IAB15 Science,0.75,natural
rising denier fray neil degrasse tyson makes science cool,IAB15 Science,0.75,natural
boris johnson pfizer takeover bid astrazeneca must hit uk science,IAB15 Science,0.75,natural
ripples big bang spotted scientists,IAB15 Science,0.75,natural
researchers discover giant chickenlike dinosaur,IAB15 Science,0.75,natural
neil degrasse tyson cosmos science got cool doesnt,IAB15 Science,0.75,natural
