text,iab_label,confidence,source
poll fixing vets health care high priority,IAB16 Pets,0.9,natural
dog park paws top request list,IAB16 Pets,0.87,natural
fully grown adults care much pets dying,IAB16 Pets,0.86,natural
kitty litter cause radiation leak,IAB16 Pets,0.86,natural
pets pets pets,IAB16 Pets,0.84,natural
miley cyrus miley cyrus miserable pet pooch floyds death,IAB16 Pets,0.84,natural
pet jerky fda pet jerky illnesses kill 1000 dogs sicken humans ate treats,IAB16 Pets,0.84,natural
petsmart shares surge jana stake,IAB16 Pets,0.83,natural
facebooks guinea pigs,IAB16 Pets,0.82,natural
highlytrained pooches sniff prostate cancer urine,IAB16 Pets,0.81,natural
brown recluse spiders abundant threat people pets,IAB16 Pets,0.8,natural
watch dogs,IAB16 Pets,0.8,natural
petsmart petm strong start premarket activity,IAB16 Pets,0.8,natural
petsmart shares surge jana partners reveal 99 stake,IAB16 Pets,0.8,natural
petsmart svp sells 312123 stock petm,IAB16 Pets,0.8,natural
peeps movie might works weve got ideas,IAB16 Pets,0.79,natural
miley cyrus left broken pet dog floyd dies,IAB16 Pets,0.79,natural
jeff bezos wants dog,IAB16 Pets,0.78,natural
petsmart latest major pet food retailer say stop selling dog cat,IAB16 Pets,0.78,natural
petsmart stop selling pet treats made china due fear sicken pets,IAB16 Pets,0.77,natural
pet jerky deaths fda links pet jerky 1000 dead dogs 4800 sick,IAB16 Pets,0.77,natural
petsmart stop selling chinesemade pet treats,IAB16 Pets,0.77,natural
pets getting lyme diseaseheres prevent,IAB16 Pets,0.77,natural
peeps movie apparently thing small world,IAB16 Pets,0.77,natural
miley cyrus gets tattoo memory pet dog,IAB16 Pets,0.76,natural
miley cyrus gets tattoo late pet pooch floyd smoking joint,IAB16 Pets,0.76,natural
handson watch dogs,IAB16 Pets,0.76,natural
hello lady hello kitty cat,IAB16 Pets,0.75,natural
google maps gets overrun pokemon,IAB16 Pets,0.75,natural
hello kitty cat,IAB16 Pets,0.74,natural
dogs sniff prostate cancer urine,IAB16 Pets,0.73,natural
pfizers failure easy understand simply hasnt offered enough,IAB16 Pets,0.73,natural
pets tested mers study,IAB16 Pets,0.73,natural
julia roberts confronts dog thats scared face,IAB16 Pets,0.73,natural
peeps movie works,IAB16 Pets,0.73,natural
petsmart stop selling pet treats made china,IAB16 Pets,0.72,natural
love puppies thank shakespeare,IAB16 Pets,0.72,natural
pet food isnt people food,IAB16 Pets,0.71,natural
pfizers takeovers sophisticated asset stripping,IAB16 Pets,0.71,natural
turns guinea pigs looking love,IAB16 Pets,0.71,natural
petsmart vows stop selling pet treats made china,IAB16 Pets,0.71,natural
petsmart inc nasdaqpetm stop selling chinamade pet treats,IAB16 Pets,0.7,natural
george clooneys pet pig baby exgirlfriend,IAB16 Pets,0.7,natural
peeps movie development,IAB16 Pets,0.7,natural
julia roberts confronts dog thats afraid face,IAB16 Pets,0.7,natural
baby pigs dying millions,IAB16 Pets,0.69,natural
hello kitty,IAB16 Pets,0.69,natural
miley sings doll pets death,IAB16 Pets,0.69,natural
activist hedge fund wants petsmart weigh sale,IAB16 Pets,0.68,natural
dogs floppy ears symptom domestication syndrome,IAB16 Pets,0.68,natural
peta indian elephant still abused,IAB16 Pets,0.68,natural
port inspection watch dogs,IAB16 Pets,0.67,natural
dogs cats expected tested mers,IAB16 Pets,0.67,natural
choosing pet friendly flooring,IAB16 Pets,0.67,synthetic
dogs detect prostate cancer urine,IAB16 Pets,0.67,natural
fda dogs cats people sick eating jerky treats,IAB16 Pets,0.67,natural
petco stop selling chinamade pet treats due illness risk,IAB16 Pets,0.67,natural
google maps pokemon best,IAB16 Pets,0.66,natural
bachelorhood pet pigs george ready daddy,IAB16 Pets,0.66,natural
pgs new plan keep simple stupid,IAB16 Pets,0.66,natural
shrew elephant mouse,IAB16 Pets,0.66,natural
george clooney close pet pig,IAB16 Pets,0.66,natural
vets ptsd given ok take pot,IAB16 Pets,0.66,natural
central garden pet co shares popped,IAB16 Pets,0.65,natural
george clooney pet pig baby exgirlfriend elizabeth,IAB16 Pets,0.65,natural
paws reflect ticktock,IAB16 Pets,0.64,natural
petsmart planning discontinue sales chinesemade treats,IAB16 Pets,0.64,natural
miley cyrus gives away dog,IAB16 Pets,0.64,natural
mini wheelchair baby goat,IAB16 Pets,0.64,natural
new dog cant heal miley cyrus broken heart,IAB16 Pets,0.63,natural
dogs accurately detect prostate cancer,IAB16 Pets,0.63,natural
petsmart joins chinese pet treat ban,IAB16 Pets,0.63,natural
mad men season 7 episode 2 preview petes looking start new,IAB16 Pets,0.63,natural
dog domestication syndrome scientists reveal pets,IAB16 Pets,0.63,natural
petmatch finds cat dog looks like one died,IAB16 Pets,0.63,natural
ipo preview king digital entertainment,IAB16 Pets,0.63,natural
ipo report king digital entertainment king,IAB16 Pets,0.63,natural
pete tong pete tong leads tributes frankie knuckles,IAB16 Pets,0.63,natural
miley cyrus gets dog tattoo,IAB16 Pets,0.63,natural
pfizer epic move,IAB16 Pets,0.62,natural
petsmart issues statement regarding jana partners schedule 13d filing,IAB16 Pets,0.62,natural
