text,iab_label,confidence,source
cricket,IAB17 Sports,0.94,natural
sports sports,IAB17 Sports,0.93,natural
nfl continues nickel dime mia super bowl xlvi halftime middle,IAB17 Sports,0.93,natural
let melissa mccarthy explain soccer,IAB17 Sports,0.92,natural
nfl clear financial incentive draft day,IAB17 Sports,0.91,natural
tubes proudtoplay campaign reflects changing trend sports,IAB17 Sports,0.91,natural
draft day solid football fare fans need fix,IAB17 Sports,0.91,natural
cricket slideshow,IAB17 Sports,0.91,natural
golf tu men third,IAB17 Sports,0.9,natural
meet washingtons football team clever name,IAB17 Sports,0.9,natural
youtube celebration lgbt athletes signals turning tide sports,IAB17 Sports,0.9,natural
movie review inside football,IAB17 Sports,0.9,natural
lacrosse insider saturday spotlight john jay vs yorktown,IAB17 Sports,0.89,natural
nfl acts team player draft day,IAB17 Sports,0.89,natural
draft day slick entertaining ad nfl,IAB17 Sports,0.89,natural
nfls common sense mia,IAB17 Sports,0.89,natural
sports energy drink consumption associated negative behaviors,IAB17 Sports,0.88,natural
movie review draft day football movie,IAB17 Sports,0.88,natural
greatest relationship drakes life one sports,IAB17 Sports,0.88,natural
college basketball,IAB17 Sports,0.88,natural
skins game written uncle samhas ruled,IAB17 Sports,0.88,natural
review draft day review football comedy drama manages score,IAB17 Sports,0.88,natural
sport relief kingscourt school catherington,IAB17 Sports,0.88,natural
johnny football makes first cleveland commercial,IAB17 Sports,0.88,natural
tennis wimbledon snapshots,IAB17 Sports,0.88,natural
tennis baylor beats osu women,IAB17 Sports,0.87,natural
trademark board rules washington nfl team name,IAB17 Sports,0.87,natural
nfl demanding 166 million mia middle finger scandal,IAB17 Sports,0.87,natural
nintendos trailblazing game boy turns 25,IAB17 Sports,0.87,natural
basketball oklahoma city wins naia womens title,IAB17 Sports,0.86,natural
nfl asking 16m mias middle finger super bowl,IAB17 Sports,0.86,natural
twitter famous footballers first tweets,IAB17 Sports,0.86,natural
top 10 sports movies,IAB17 Sports,0.86,natural
world cup effect twitter shares soar 35 active users 24,IAB17 Sports,0.86,natural
sports air june 11,IAB17 Sports,0.86,natural
oscar pistorius global sports icon manager says,IAB17 Sports,0.86,natural
sports air june 12,IAB17 Sports,0.86,natural
video astronauts play football space station 2014 world cup,IAB17 Sports,0.86,natural
nfl decides fate directv att merger,IAB17 Sports,0.86,natural
nintendos wii u woes continue results miss targets even lowering,IAB17 Sports,0.86,natural
making great movie nfl nearly impossible,IAB17 Sports,0.86,natural
motorcycle racing marquez grabs pole austin gp,IAB17 Sports,0.86,natural
nfl sues mia 16 million flashing middle finger,IAB17 Sports,0.86,natural
photo sports car gets birds eye view big apple,IAB17 Sports,0.86,natural
movie review draft day tries football movie,IAB17 Sports,0.86,natural
justin bieber responds deposition video winds basketball,IAB17 Sports,0.86,natural
nfl demands 166 million mias super bowl middle finger,IAB17 Sports,0.86,natural
sports air july 6,IAB17 Sports,0.86,natural
nfl wants 166 million mias middle finger,IAB17 Sports,0.85,natural
google glass nba slam dunk airball,IAB17 Sports,0.85,natural
esports viewership tops bcs national championship,IAB17 Sports,0.85,natural
nfl quietly suing mia middle finger 166 million,IAB17 Sports,0.85,natural
baseball fans descend iowa remember field dreams,IAB17 Sports,0.85,natural
sarah palins sportsman channel show renewed 2015,IAB17 Sports,0.85,natural
george rr martin threw first pitch game baseball,IAB17 Sports,0.85,natural
vote whats favorite nascar icebucketchallenge part 1,IAB17 Sports,0.85,natural
nfl wants 166 million mias super bowl performance,IAB17 Sports,0.85,natural
could go without us love affair soccer continuing,IAB17 Sports,0.85,natural
tennis tulsa edged 1 ohio state,IAB17 Sports,0.85,natural
draft day star tom welling fans football film 5 highlights,IAB17 Sports,0.84,natural
draft day next great sports movie,IAB17 Sports,0.84,natural
yales sports fields alibabas megadeals guy executes jack,IAB17 Sports,0.84,natural
nfl sues mia 166 million shooting bird super bowl,IAB17 Sports,0.84,natural
sports briefs uclas pauley pavilion drying flood,IAB17 Sports,0.84,natural
5 reasons nintendos wii u risen dead,IAB17 Sports,0.84,natural
draft day another winning kevin costner sports film review,IAB17 Sports,0.84,natural
basketball former hawks star dies,IAB17 Sports,0.84,natural
athlon energy athl shares march higher continue,IAB17 Sports,0.84,natural
sports stars glam 2014 espy awards photos,IAB17 Sports,0.84,natural
nfl pivotal deal directv,IAB17 Sports,0.84,natural
smith star nfl drama based game brain concussion article,IAB17 Sports,0.84,natural
josh elliot exit good morning america nbc sports position,IAB17 Sports,0.83,natural
bad golf game hurts dicks staples stock gets stapled credit suisse,IAB17 Sports,0.83,natural
olympic snowboarder shaun white get gold medal promcrashing,IAB17 Sports,0.83,natural
baseball capsules,IAB17 Sports,0.83,natural
hochman power sports community easy see cinco de mayo,IAB17 Sports,0.83,natural
astronauts play soccer international space station send world cup,IAB17 Sports,0.83,natural
nfl demands 166 million mia,IAB17 Sports,0.83,natural
skatepark theft,IAB17 Sports,0.83,natural
nfl demanding 166 million mia super bowl snafu,IAB17 Sports,0.83,natural
actor hugh jackman calls wwes john cena sportscenter,IAB17 Sports,0.83,natural
parklife tv local football round,IAB17 Sports,0.83,natural
critics cable merger could sideline sports,IAB17 Sports,0.83,natural
draft day proves kevin costner make sports movies,IAB17 Sports,0.83,natural
doug camilli mia points finger nfl super bowl lawsuit,IAB17 Sports,0.82,natural
nfl wants 166 million mia super bowl finger,IAB17 Sports,0.82,natural
washington redskins name loses patent protection,IAB17 Sports,0.82,natural
2014 circuit america motogp race results marquez wins,IAB17 Sports,0.82,natural
colts cheerleader auditions underway,IAB17 Sports,0.82,natural
sports drinks energy drinks linked unhealthy behaviors adolescents,IAB17 Sports,0.82,natural
nfls draft day hypocrisy,IAB17 Sports,0.82,natural
drake chris brown appear sports awards skit,IAB17 Sports,0.82,natural
us patent office rules redskins name trademark,IAB17 Sports,0.82,natural
nfl upping lawsuit mia 15 million 166 million,IAB17 Sports,0.82,natural
watch next weeks game thrones promo first name,IAB17 Sports,0.82,natural
oscar pistorius became global icon london olympics,IAB17 Sports,0.82,natural
college soccer player deathly allergic sweat,IAB17 Sports,0.82,natural
watch obama plays soccer japanese robot,IAB17 Sports,0.82,natural
washington redskins trademark canceled ruled disparaging patent board,IAB17 Sports,0.82,natural
paraplegic man iron man suit symbolically kicks 2014 world cup,IAB17 Sports,0.81,natural
matthew mcconaughey emma stone latest good sports read,IAB17 Sports,0.81,natural
nfl officials sue mia 166 million super bowl halftime show incident,IAB17 Sports,0.81,natural
exnfl player tim shaw using ice bucket challenge fight life,IAB17 Sports,0.81,natural
josh murray shares adorable family baseball tbt see back day,IAB17 Sports,0.81,natural
basketball neo guard honored,IAB17 Sports,0.81,natural
wwe summerslam poster spoiler brock lesnar vs john cena,IAB17 Sports,0.81,natural
sure game thrones nba finals cool watching,IAB17 Sports,0.81,natural
heres soccer video set hey ya honor world outkast day,IAB17 Sports,0.81,natural
sports day greatham primary,IAB17 Sports,0.81,natural
sportsselfie camera sensation gopro speeds ipo,IAB17 Sports,0.81,natural
astronauts watch 2014 football world cup space nasa,IAB17 Sports,0.81,natural
astronauts playing space soccer best football youll see day,IAB17 Sports,0.81,natural
world cup breaks super bowl record twitter,IAB17 Sports,0.81,natural
