text,iab_label,confidence,source
cisco invest 1b cloud computing,IAB19 Technology & Computing,0.81,natural
ibm watson pioneering new era computing,IAB19 Technology & Computing,0.81,natural
cisco invest 1b cloud computer technology,IAB19 Technology & Computing,0.81,natural
aereo decision means tech cloud computing,IAB19 Technology & Computing,0.8,natural
apple ios mac os software takes centre stage wwdc,IAB19 Technology & Computing,0.8,natural
vmware inc vmw stock jumps earnings beat,IAB19 Technology & Computing,0.8,natural
brazil bandits steal mln samsung phones computers,IAB19 Technology & Computing,0.79,natural
symantec tumbles 13 five downgrades bulls urge shares cheap sell,IAB19 Technology & Computing,0.78,natural
samsung intel dell team gadgets,IAB19 Technology & Computing,0.78,natural
att cisco ge ibm intel band better internet,IAB19 Technology & Computing,0.78,natural
robbers loot samsung phones computers brazil factory,IAB19 Technology & Computing,0.78,natural
occupy google protesters arrested outside tech giants mountain view,IAB19 Technology & Computing,0.77,natural
intel cisco ibm collaborate internet things,IAB19 Technology & Computing,0.77,natural
investors look microsofts next moves,IAB19 Technology & Computing,0.77,natural
bandits raid samsung plant brazil make massive haul electronics,IAB19 Technology & Computing,0.75,natural
intel moves bring core pc chips tablets,IAB19 Technology & Computing,0.75,natural
intel rockchip deliver nextgen atom chips android tablets,IAB19 Technology & Computing,0.74,natural
intel shares jump raising forecasts,IAB19 Technology & Computing,0.74,natural
new mediatek chipset goes qualcomms best,IAB19 Technology & Computing,0.74,natural
apple updates iwork icloud macios updates coming,IAB19 Technology & Computing,0.74,natural
many alleged lives microsofts office ios,IAB19 Technology & Computing,0.74,natural
dell intel samsung form internet things partnership,IAB19 Technology & Computing,0.74,natural
cisco invests 1b cloud computing,IAB19 Technology & Computing,0.74,natural
microsoft layoffs would fourthbiggest techs modern history,IAB19 Technology & Computing,0.73,natural
hewlettpackard earnings preview analysts see strong pc sales still,IAB19 Technology & Computing,0.73,natural
satya nadella office ipad big new microsoft vision,IAB19 Technology & Computing,0.73,natural
samsung intel dell others team help gadgets talk,IAB19 Technology & Computing,0.73,natural
rev jesse jackson targets apple google hp others tech racial diversity,IAB19 Technology & Computing,0.73,natural
silicon valley technology battle pitting apple samsung nears close,IAB19 Technology & Computing,0.73,natural
brief cisco invest 1 billion cloud computing,IAB19 Technology & Computing,0.73,natural
tech fccs wheeler try ag,IAB19 Technology & Computing,0.73,natural
intels new core chips turn pc processors tabletfriendly,IAB19 Technology & Computing,0.72,natural
amazon kindle fire hdx consumption tablet deliver productivity,IAB19 Technology & Computing,0.72,natural
cisco invest 1 billion cloud computing,IAB19 Technology & Computing,0.72,natural
computex intel shows internet thingspowered wireless future video,IAB19 Technology & Computing,0.72,natural
another drop profit likely troubled samsung,IAB19 Technology & Computing,0.72,natural
computex intel unveils broadwellbased core chip,IAB19 Technology & Computing,0.72,natural
ecigs good bad,IAB19 Technology & Computing,0.71,natural
microsoft divorcing xbox one kinect reasons split hurts,IAB19 Technology & Computing,0.71,natural
meet volantis next 9inch google tablet htc,IAB19 Technology & Computing,0.71,natural
macrumors chart suggests speedbumped 15inch retina macbook pros,IAB19 Technology & Computing,0.71,natural
htc working google 89inch nexus tablet,IAB19 Technology & Computing,0.71,natural
cisco plans invest 1b cloud computing next 2 years,IAB19 Technology & Computing,0.71,natural
apple computer unveils new affordable imac,IAB19 Technology & Computing,0.71,natural
intel intc stock hours,IAB19 Technology & Computing,0.71,natural
microsofts nadella postpost pc vision,IAB19 Technology & Computing,0.7,natural
microsoft releases office 365 personal ipad,IAB19 Technology & Computing,0.7,natural
cisco systems inc share price shifts focus towards cloud computing,IAB19 Technology & Computing,0.7,natural
sneak peek microsofts selfie phone,IAB19 Technology & Computing,0.7,natural
microsoft sony winning console war,IAB19 Technology & Computing,0.7,natural
computex intel unveils broadwell architecturebased core chip 2in1,IAB19 Technology & Computing,0.7,natural
dell cisco microsoft google friends shower openssl make,IAB19 Technology & Computing,0.69,natural
future microsoft nasdaq msft stock hinges cloud,IAB19 Technology & Computing,0.69,natural
google launches nextgen intel powered chromebooks,IAB19 Technology & Computing,0.69,natural
armed thieves raid samsung factory brazil,IAB19 Technology & Computing,0.69,natural
high time investors buy samsung,IAB19 Technology & Computing,0.69,natural
show us microsoft surface mini satya nadella,IAB19 Technology & Computing,0.69,natural
jdcoms ipo could represent great opportunity,IAB19 Technology & Computing,0.69,natural
apple inc aapl google inc goog tablet shipments take hit,IAB19 Technology & Computing,0.69,natural
jdcoms ipo lands strongly shares currently 8,IAB19 Technology & Computing,0.69,natural
intel gets serious chromebook,IAB19 Technology & Computing,0.69,natural
cisco introduces billion dollar intercloud,IAB19 Technology & Computing,0.69,natural
ciscos billion dollar cloud plan internet everything,IAB19 Technology & Computing,0.68,natural
cisco plans worlds largest global intercloud,IAB19 Technology & Computing,0.68,natural
startup within cisco fights cloud fatigue 1b internet clouds,IAB19 Technology & Computing,0.68,natural
cisco partners ingram micro others intercloud,IAB19 Technology & Computing,0.68,natural
apple inc aapl ipad could struggle beat high tech galaxy tab,IAB19 Technology & Computing,0.68,natural
tech stocks buy avoid facebook inc linkedin corp twitter inc cisco,IAB19 Technology & Computing,0.68,natural
qualcomms snapdragon 805 powers ltea smartphone samsung,IAB19 Technology & Computing,0.68,natural
google making 3d tablet,IAB19 Technology & Computing,0.68,natural
rumor low priced mediatek google nexus smartphone works,IAB19 Technology & Computing,0.68,natural
cisco powers dow races hundredpoint gain,IAB19 Technology & Computing,0.68,natural
macrumors microsoft launching word excel powerpoint ipad today,IAB19 Technology & Computing,0.68,natural
expect googles developer conference io,IAB19 Technology & Computing,0.68,natural
tech overlord emc swallows cloud firm twinstrata,IAB19 Technology & Computing,0.68,natural
adobe announces photoshop mix ipad lightroom iphone,IAB19 Technology & Computing,0.68,natural
intels new core i7 chip hits 5ghz,IAB19 Technology & Computing,0.68,natural
cisco wants win cloud,IAB19 Technology & Computing,0.68,natural
update 1brazil bandits steal 63 mln samsung phones computers,IAB19 Technology & Computing,0.67,natural
apple devices hit hack demanding ransom,IAB19 Technology & Computing,0.67,natural
cisco csco plans massive global intercloud push invest 1b mstr,IAB19 Technology & Computing,0.67,natural
daily brief blackberry fights android amazon fights ftc htc fights back,IAB19 Technology & Computing,0.67,natural
office coming ipad microsofts stock stuck neutral,IAB19 Technology & Computing,0.67,natural
way buy windows pc,IAB19 Technology & Computing,0.67,natural
nvidia higher following earnings,IAB19 Technology & Computing,0.67,natural
intel earnings pass muster pc data income climbs,IAB19 Technology & Computing,0.67,natural
todays market play tech recent news apple inc google inc,IAB19 Technology & Computing,0.67,natural
let us rule internet stuff say chipzilla dell samsung chums,IAB19 Technology & Computing,0.67,natural
microsofts satya nadellas mobile first cloud first strategy focus,IAB19 Technology & Computing,0.67,natural
htc make next nexus tablet,IAB19 Technology & Computing,0.67,natural
nvidia nvda stock gaining today,IAB19 Technology & Computing,0.67,natural
windows xps death breathe life microsoft intel amd shares,IAB19 Technology & Computing,0.66,natural
protesters crash googles developers conference san francisco,IAB19 Technology & Computing,0.66,natural
first impressions microsoft office ipad,IAB19 Technology & Computing,0.66,natural
microsofts new surface pro 3 aims make laptops history,IAB19 Technology & Computing,0.66,natural
google inc nasdaqgoog facebook google tech cold war,IAB19 Technology & Computing,0.66,natural
googles new nexus tablet leaked image shows impressive specifications,IAB19 Technology & Computing,0.66,natural
wii u energy efficient nextgen console,IAB19 Technology & Computing,0.66,natural
acers core i3 chromebook,IAB19 Technology & Computing,0.66,natural
microsoft ceo satya nadella signals new course ms office ipad,IAB19 Technology & Computing,0.66,natural
google reportedly working 89in nexus tablet,IAB19 Technology & Computing,0.66,natural
get google windows mac,IAB19 Technology & Computing,0.65,natural
cloud computing hybrid azure starter kit offered carpathia equinix,IAB19 Technology & Computing,0.65,natural
intel reports lower 1stquarter net income amid pc slump revenue inches,IAB19 Technology & Computing,0.65,natural
ciscos big cloud play little choice,IAB19 Technology & Computing,0.65,natural
penny stock movers intel corporation intc cisco systems inc csco,IAB19 Technology & Computing,0.65,natural
