text,iab_label,confidence,source
bachelorette 2014 andi dorfman guys travel episode 6,IAB20 Travel,0.89,natural
gas prices wont deter july 4 travel,IAB20 Travel,0.89,natural
travel chaos channel tunnel evacuation morning,IAB20 Travel,0.89,natural
kimks daughter becomes victim racial slur plane journey,IAB20 Travel,0.89,natural
journey noah finds rough seas,IAB20 Travel,0.89,natural
busy travel weekend ahead,IAB20 Travel,0.86,natural
planes porn racism travels biggest twitter fails,IAB20 Travel,0.86,natural
tourism vector mosquitos travelers spread viral infection,IAB20 Travel,0.86,natural
localities want say transportation spending,IAB20 Travel,0.86,natural
upfront cost air travel,IAB20 Travel,0.85,natural
star arabian travel market ground breaking innovation airline,IAB20 Travel,0.85,natural
mothers day travel mom,IAB20 Travel,0.84,natural
tour affecting beyonces life,IAB20 Travel,0.84,natural
travel back time via google maps,IAB20 Travel,0.84,natural
travel checklist money passport wallet rest bought,IAB20 Travel,0.84,natural
gas prices wont dissuade holiday travel,IAB20 Travel,0.84,natural
tammy one crazy road trip,IAB20 Travel,0.84,natural
traveling 4th july alone,IAB20 Travel,0.83,natural
final trailer xmen days future past traveler time,IAB20 Travel,0.83,natural
tammy road trip picture way course,IAB20 Travel,0.83,natural
seniors go 2014 acsi report scores travel industries,IAB20 Travel,0.82,natural
cara delevingne michelle rodriguez show affection vacation,IAB20 Travel,0.82,natural
gas prices higher year holiday travel,IAB20 Travel,0.82,natural
amtrak train slams truck tracks,IAB20 Travel,0.82,natural
miley cyrus miley cyrus stays sober tour,IAB20 Travel,0.82,natural
travels biggest twitter fails,IAB20 Travel,0.82,natural
transport mayhem french taxis join european protest railways strike,IAB20 Travel,0.81,natural
beyonce jay z barely speaking tour,IAB20 Travel,0.81,natural
air travel late flights complaints,IAB20 Travel,0.81,natural
transcendence fails travel creativity,IAB20 Travel,0.81,natural
mineral suggests journey center earth would required,IAB20 Travel,0.81,natural
mother bear pulls cub dangerous highway,IAB20 Travel,0.81,natural
celebrate twitters 8th birthday traveling back see firsttweet,IAB20 Travel,0.81,natural
gasoline price familiar look travel season comes closer,IAB20 Travel,0.81,natural
transport london sides uber,IAB20 Travel,0.81,natural
beyoncé jay z lead seperate lives tour,IAB20 Travel,0.81,natural
bill murrays marriage tip travel,IAB20 Travel,0.8,natural
williams marks fourth studio album release journey freedom,IAB20 Travel,0.8,natural
time catch train,IAB20 Travel,0.8,natural
