text,iab_label,confidence,source
chinese real estate risk big threat growth target,IAB21 Real Estate,0.92,natural
video zillow grab online real estate,IAB21 Real Estate,0.89,natural
hgtv wont go forward flip real estate show amid protest hosts anti,IAB21 Real Estate,0.89,natural
hgtv pulling plug real estate show amid protest hosts antigay,IAB21 Real Estate,0.89,natural
move inc moves center stage online real estate landgrab trla z,IAB21 Real Estate,0.89,natural
watsa china real estate bubble unparalleled history,IAB21 Real Estate,0.88,natural
real estate suntrust mortgage agrees 550 million settlement lending,IAB21 Real Estate,0.87,natural
real estate status quo prefers served least,IAB21 Real Estate,0.87,natural
home prices remain rise,IAB21 Real Estate,0.84,natural
home prices still climbing slowly,IAB21 Real Estate,0.84,natural
real estate websites zillow trulia merge,IAB21 Real Estate,0.84,natural
another rise home prices comes slower rate,IAB21 Real Estate,0.83,natural
miami real estate prices reflect balanced growth,IAB21 Real Estate,0.83,natural
chinas real estate investments 147 januarymay,IAB21 Real Estate,0.83,natural
housing sales prices show market shaking doldrums,IAB21 Real Estate,0.83,natural
housing market sees surge sales heres,IAB21 Real Estate,0.83,natural
yellen housing remains big concern,IAB21 Real Estate,0.82,natural
3 stocks thrive us housing market,IAB21 Real Estate,0.82,natural
oecd warning house prices adds pressure osborne help buy,IAB21 Real Estate,0.81,natural
lew urges yuan gains sees global risk china real estate,IAB21 Real Estate,0.81,natural
premature rise us interest rates endanger national real estate market,IAB21 Real Estate,0.81,natural
starwood waypoint residential trust announces pricing 200 million,IAB21 Real Estate,0.8,natural
housing market continues losing streak,IAB21 Real Estate,0.8,natural
real estate suntrust agrees 550m settlement mortgage lending,IAB21 Real Estate,0.8,natural
home prices rise slower rate,IAB21 Real Estate,0.8,natural
house prices still growing fast enough,IAB21 Real Estate,0.8,natural
wheeler real estate investment trust inc added russell microcapr index,IAB21 Real Estate,0.79,natural
home prices across us rise march slower rate,IAB21 Real Estate,0.79,natural
real estate zillow mortgage marketplace 30 year loan hits 6 week low,IAB21 Real Estate,0.79,natural
home sales home prices rise march,IAB21 Real Estate,0.78,natural
home price gains continue slow,IAB21 Real Estate,0.78,natural
hgtv pulling real estate show amid antigay accusations,IAB21 Real Estate,0.78,natural
spring arrives housing market sales rise,IAB21 Real Estate,0.77,natural
home price gains lose momentum,IAB21 Real Estate,0.77,natural
housing prices beat expectations show gains march,IAB21 Real Estate,0.77,natural
oecd warns uk house prices,IAB21 Real Estate,0.76,natural
home sales pickup shows healing us real estate market economy,IAB21 Real Estate,0.76,natural
yellen stays upbeat watching housing,IAB21 Real Estate,0.76,natural
real estate notebook yellen shares feds assessment economy,IAB21 Real Estate,0.76,natural
