text,iab_label,confidence,source
desperate product amazon tweet shopping,IAB22 Shopping,0.91,natural
woman due court accused shoplifting,IAB22 Shopping,0.86,natural
amazon google expand sameday shopping,IAB22 Shopping,0.84,natural
shopping amazon lets add basket items via twitter,IAB22 Shopping,0.8,natural
saffo amazon fire phone shopping mall,IAB22 Shopping,0.8,natural
shopping tips moms gifts,IAB22 Shopping,0.79,natural
shopping habits internet,IAB22 Shopping,0.79,natural
kim kardashian repeats shirt two days row shopping,IAB22 Shopping,0.78,natural
kim kardashian shopping sisters steals kylie jenners,IAB22 Shopping,0.78,natural
confessions shopaholic debtstruck glencore splashes caracal,IAB22 Shopping,0.76,natural
tweet straight shopping cart,IAB22 Shopping,0.76,natural
kim kardashian north west shopping mother baby nori givenchy,IAB22 Shopping,0.76,natural
kim kardashian goes shopping north,IAB22 Shopping,0.75,natural
beyonce jay z enjoy shopping east hampton blue ivy wears pigtails,IAB22 Shopping,0.74,natural
photos dubai build worlds biggest shopping centre,IAB22 Shopping,0.74,natural
google delivers shopping express nyc west la,IAB22 Shopping,0.74,natural
shop online without leaving facebook,IAB22 Shopping,0.74,natural
overkill amazoncart lets shop twitter,IAB22 Shopping,0.72,natural
miley cyrus indulged tons online shopping hospital stay talks,IAB22 Shopping,0.72,natural
shop amazon comfort twitter,IAB22 Shopping,0.71,natural
kim kardashian nori shopping paris,IAB22 Shopping,0.71,natural
facebook testing shopping feature hit buy ads goods,IAB22 Shopping,0.7,natural
kardashian ladies snap selfies glamorous shopping spree see,IAB22 Shopping,0.7,natural
amazon makes room shopping tweets,IAB22 Shopping,0.7,natural
shop facebook,IAB22 Shopping,0.7,natural
amazon basket links shopping twitter,IAB22 Shopping,0.7,natural
amazon fire phone lets go shopping,IAB22 Shopping,0.69,natural
heres amazon dash could revolutionize shopping,IAB22 Shopping,0.68,natural
logic facebooks multibilliondollar shopping spree,IAB22 Shopping,0.68,natural
blue ivy made friends shopping rents,IAB22 Shopping,0.68,natural
lindsay lohans credit card gets rejected soho shopping ways,IAB22 Shopping,0.68,natural
tweet shopping order,IAB22 Shopping,0.67,natural
soon shop online facebook,IAB22 Shopping,0.67,natural
real fire amazons smartphone shopping spree,IAB22 Shopping,0.67,natural
amazon links twitter shopping,IAB22 Shopping,0.67,natural
shopping list market pullback disney starbucks chipotle mexican grill,IAB22 Shopping,0.67,natural
amazon launches shopping twitter,IAB22 Shopping,0.66,natural
beyoncé shopping apartment,IAB22 Shopping,0.66,natural
google glass back publics shopping cart,IAB22 Shopping,0.66,natural
wave goodbye shopping lists,IAB22 Shopping,0.66,natural
bride kim kardashian goes shopping spree ahead kanye west,IAB22 Shopping,0.66,natural
shoppers react market basket upheaval,IAB22 Shopping,0.65,natural
amazons fire phone takes shopping mobile,IAB22 Shopping,0.65,natural
macklemore denies mocking jewish stereotypes thrift shop,IAB22 Shopping,0.65,natural
dubai build worlds biggest shopping centre,IAB22 Shopping,0.65,natural
facebook integrates buy button ads test new shopping style,IAB22 Shopping,0.65,natural
lets boycott amazon buy stuff,IAB22 Shopping,0.65,natural
twitter amazon link shopbytweet function,IAB22 Shopping,0.64,natural
shop stalk facebook begins testing buy button website,IAB22 Shopping,0.64,natural
fill amazon cart twitter,IAB22 Shopping,0.64,natural
shop amazon twitter feed,IAB22 Shopping,0.63,natural
google inc goog expands shopping express west la manhattan,IAB22 Shopping,0.63,natural
target faces identity crisis looks find place world retailing,IAB22 Shopping,0.63,natural
shop look like katie holmes cover glamour,IAB22 Shopping,0.63,natural
take mom shopping mothers day krystle dsouza,IAB22 Shopping,0.62,natural
mila kunis brand new baby bump go shopping together,IAB22 Shopping,0.62,natural
hey amazon lovers shop til drop twitter,IAB22 Shopping,0.62,natural
amazon launches shopping via twitter,IAB22 Shopping,0.61,natural
