text,iab_label,confidence,source
1500 valves fukushima plant still untagged,IAB24 Uncategorized,0.93,natural
ecb nothing,IAB24 Uncategorized,0.88,natural
bubonic plague survivor dies unrelated illness,IAB24 Uncategorized,0.88,natural
actually latest beyoncé scandal isnt scandal,IAB24 Uncategorized,0.87,natural
san diego comic con irrelevant,IAB24 Uncategorized,0.86,natural
link saturated fat heart disease unclear,IAB24 Uncategorized,0.84,natural
oh nothing video two one direction members getting high,IAB24 Uncategorized,0.84,natural
editorial another try neutral net,IAB24 Uncategorized,0.83,natural
blank profile probably good whatever wrote okcupid,IAB24 Uncategorized,0.83,natural
uns new focus surviving stopping climate change,IAB24 Uncategorized,0.81,natural
another try neutral net,IAB24 Uncategorized,0.81,natural
kass nuthin pe thang,IAB24 Uncategorized,0.81,natural
heartbleed biggest unknown hackers even exploited yet,IAB24 Uncategorized,0.81,natural
heartbleed bug scale danger still unknown,IAB24 Uncategorized,0.81,natural
advice saturated fat unclear,IAB24 Uncategorized,0.81,natural
one untouched climate change,IAB24 Uncategorized,0.8,natural
breast cancer still taboo,IAB24 Uncategorized,0.8,natural
never seen object observed saturns titan,IAB24 Uncategorized,0.8,natural
ipcc report one untouched climate change,IAB24 Uncategorized,0.8,natural
lucasfilm decrees star wars expanded universe noncanon,IAB24 Uncategorized,0.8,natural
national climate assessment doesnt tell,IAB24 Uncategorized,0.79,natural
economy still enigma,IAB24 Uncategorized,0.79,natural
unconventional builder named pritzker winner,IAB24 Uncategorized,0.78,natural
fate russells fast furious role unknown,IAB24 Uncategorized,0.78,natural
collector looted nazi art dies masterpieces limbo,IAB24 Uncategorized,0.78,natural
robots kill unclear blame,IAB24 Uncategorized,0.77,natural
saturated fats heart disease link unproven,IAB24 Uncategorized,0.77,natural
exnyt editor idea ill next,IAB24 Uncategorized,0.77,natural
pretentious flick transcends nothing,IAB24 Uncategorized,0.77,natural
unclear climate change affects wolverines,IAB24 Uncategorized,0.77,natural
good wife last call review unknown,IAB24 Uncategorized,0.77,natural
unidentified illness kills 23 guinea,IAB24 Uncategorized,0.77,natural
unreleased film noah already banned,IAB24 Uncategorized,0.77,natural
five years later michael jacksons neverland remains limbo,IAB24 Uncategorized,0.76,natural
virtual confusion unrelated oculus companies rally facebook buy,IAB24 Uncategorized,0.76,natural
cancel colbert trending outofcontext tweet,IAB24 Uncategorized,0.76,natural
guest editorial another try neutral net,IAB24 Uncategorized,0.76,natural
data breach still haunts target ultimate cost unknown,IAB24 Uncategorized,0.76,natural
items pulled sea none related plane far,IAB24 Uncategorized,0.76,natural
greys anatomy recap fear unknown,IAB24 Uncategorized,0.75,natural
unreleased michael jackson songs new album,IAB24 Uncategorized,0.75,natural
pivot nothing,IAB24 Uncategorized,0.75,natural
global drug use prevalence stable says unodc,IAB24 Uncategorized,0.75,natural
google forgotten says politician pedophile,IAB24 Uncategorized,0.75,natural
