text,iab_label,confidence,source
hard hit camaro key turn,IAB2 Automotive,0.94,natural
fiat sinks red q1,IAB2 Automotive,0.93,natural
gm recall crisis lesson auto industry,IAB2 Automotive,0.93,natural
mustang turns 50,IAB2 Automotive,0.91,natural
2014 cadillac elr,IAB2 Automotive,0.91,natural
cadillac elr,IAB2 Automotive,0.91,natural
burglary miley cyrus house maserati stolen,IAB2 Automotive,0.9,natural
mustang celebrating 50th birthday,IAB2 Automotive,0.9,natural
2015 volkwagen jetta,IAB2 Automotive,0.89,natural
2015 volkswagen jetta,IAB2 Automotive,0.89,natural
miley cyrus maserati stolen burglary,IAB2 Automotive,0.89,natural
jeep grand cherokee srt8 lives 300 srt8,IAB2 Automotive,0.88,natural
miley cyrus maserati quattroporte got stolen,IAB2 Automotive,0.88,natural
2014 cadillac cts right stuff,IAB2 Automotive,0.88,natural
chrysler bmw others surge big may auto sales,IAB2 Automotive,0.88,natural
2015 corvette z06 convertible big nasty drops top,IAB2 Automotive,0.88,natural
toyota camry,IAB2 Automotive,0.88,natural
toyota valuable auto brand,IAB2 Automotive,0.88,natural
ford rolling 50 year mustang,IAB2 Automotive,0.88,natural
hot executive revive acura,IAB2 Automotive,0.88,natural
fiat chrysler continues us sales increase streak,IAB2 Automotive,0.87,natural
miley cyrus stolen maserati found investigation continues,IAB2 Automotive,0.87,natural
auto manufacturer stocks tesla motors nasdaqtsla kandi technologies,IAB2 Automotive,0.87,natural
auto recalls time chrysler ford,IAB2 Automotive,0.87,natural
corvette vs 911 rivalry rage forever,IAB2 Automotive,0.87,natural
jeep ram tow fiat chrysler 50th straight sales gain,IAB2 Automotive,0.87,natural
mustang celebrates 50 years,IAB2 Automotive,0.87,natural
lucky woman miley cyrus stolen maserati found,IAB2 Automotive,0.87,natural
2015 ford mustang convertible atop empire state building,IAB2 Automotive,0.87,natural
major auto recall mazda honda nissan,IAB2 Automotive,0.87,natural
didnt take long another automaker make fun cadillacs poolside ad,IAB2 Automotive,0.87,natural
2015 vw jetta superefficient toyota engines new york auto show todays,IAB2 Automotive,0.87,natural
2015 corvette z06 convertible,IAB2 Automotive,0.87,natural
miley cyrus maserati stolen home,IAB2 Automotive,0.87,natural
mustang 50th birthday,IAB2 Automotive,0.87,natural
lawsuit defect test automakers protection legal claims,IAB2 Automotive,0.87,natural
truck drive mercedes shows self driving system,IAB2 Automotive,0.86,natural
