text,iab_label,confidence,source
soulkilling dangerous underpaid goingnowhere careers,IAB4 Careers,0.88,natural
katherine heigl feels betrayed career,IAB4 Careers,0.79,natural
katherine heigl felt betrayed career,IAB4 Careers,0.79,natural
career evolution emma watson,IAB4 Careers,0.76,natural
katherine heigl finally admit shes partly blame career trouble,IAB4 Careers,0.74,natural
mickey rooney hollywood legend life dies 93 indepth look career,IAB4 Careers,0.74,natural
justin biebers racist joke damage career,IAB4 Careers,0.74,natural
peaches 20 life love careers,IAB4 Careers,0.73,natural
career books storied life mickey rooney,IAB4 Careers,0.72,natural
jon hamm enjoy career porn,IAB4 Careers,0.7,natural
book review haunted empire apple steve jobs,IAB4 Careers,0.69,natural
healthcare usage surging healthcare jobs,IAB4 Careers,0.69,natural
justin biebers brutal honesty court detrimental career,IAB4 Careers,0.68,natural
mickey rooney gets emotional reflects career one final,IAB4 Careers,0.68,natural
katherine heigl career betrayed,IAB4 Careers,0.67,natural
trial error lead kinnears career,IAB4 Careers,0.67,natural
10 careers would better emma watson acting,IAB4 Careers,0.67,natural
rolf harriss career ends disgrace,IAB4 Careers,0.66,natural
smelly agitated shia labeouf wants ruin career fag cop,IAB4 Careers,0.66,natural
biebers legal troubles defiant demeanor detrimental career,IAB4 Careers,0.66,natural
5 steps avril lavigne needs take get career back track,IAB4 Careers,0.65,natural
justin bieber detrimental career,IAB4 Careers,0.64,natural
selena gomez talks career pressure lost sight,IAB4 Careers,0.64,natural
notquitesatisfying look notorious career crime,IAB4 Careers,0.64,natural
look back bobby womacks life career,IAB4 Careers,0.63,natural
amazing life career wall streets favorite writer michael lewis,IAB4 Careers,0.63,natural
people mtv award wraps wahlbergs career,IAB4 Careers,0.62,natural
leonardo dicaprio steve jobs,IAB4 Careers,0.62,natural
report steve jobs actually thought hdtvs terrible idea,IAB4 Careers,0.61,natural
kim kardashian could ultimately ruin kanye wests career,IAB4 Careers,0.61,natural
kendall jenner kardashian name didnt help modelling career,IAB4 Careers,0.6,natural
asian equities higher us jobs data,IAB4 Careers,0.6,natural
treasury volatility jumps two months ecb jobs,IAB4 Careers,0.59,natural
katherine heigl feels like career suddenly turned felt betrayed,IAB4 Careers,0.58,natural
family first career second kim kardashian,IAB4 Careers,0.58,natural
opinion mickey rooney remembered impressive career arts,IAB4 Careers,0.57,natural
selena gomez opens career setbacks pressure lost sight,IAB4 Careers,0.57,natural
bridging skills gap career tech offers diverse flexible courses,IAB4 Careers,0.56,natural
neil patrick harris coming helped career,IAB4 Careers,0.56,natural
video kendall jenner people didnt modeling career seriously,IAB4 Careers,0.56,natural
godfather ecstasy dies 88 career full strange surprises,IAB4 Careers,0.55,natural
patricia heaton takes long view career family video,IAB4 Careers,0.55,natural
stimulus needed job market us fed,IAB4 Careers,0.55,natural
independence day holiday records jobs jump video,IAB4 Careers,0.55,natural
barbara walters retires illustrious career,IAB4 Careers,0.54,natural
steve jobs told google much stuff,IAB4 Careers,0.54,natural
heres may matter jobs earnings,IAB4 Careers,0.54,natural
uber destroy driving profession,IAB4 Careers,0.53,natural
time career change heres bitcoins beloved robber baron,IAB4 Careers,0.53,natural
earnings healthcare give wall street sixth straight gain,IAB4 Careers,0.52,natural
amber heard claims johnny depp hasnt changed career,IAB4 Careers,0.52,natural
