text,iab_label,confidence,source
education plays vital role recovering brain injuries,IAB5 Education,0.85,natural
higher ed fcc dont slow education,IAB5 Education,0.8,natural
education normal heart,IAB5 Education,0.79,natural
bringing mental health forefront education,IAB5 Education,0.79,natural
bullying school leaves lifelong scars,IAB5 Education,0.75,natural
saudi arabian ministry education selects alliance mobily ibm boost,IAB5 Education,0.72,natural
ham radio field day educates,IAB5 Education,0.72,natural
making college education affordable,IAB5 Education,0.7,natural
tangible play turns ipads camera educational toy,IAB5 Education,0.7,natural
financial experts advise avoid student loan dept,IAB5 Education,0.69,natural
educating zara,IAB5 Education,0.68,natural
hal rhodes curb excesses higher education,IAB5 Education,0.68,natural
ellen degeneres wants decorate home,IAB5 Education,0.66,natural
hk govt gives youth education priority,IAB5 Education,0.66,natural
alzheimers rate declines us healthy habits education protects brain,IAB5 Education,0.66,natural
fcc erate modernization workshop emphasizes educator needs,IAB5 Education,0.66,natural
extension isnt altering aca enrollment strategies,IAB5 Education,0.65,natural
student debt scams part complex predatory system,IAB5 Education,0.65,natural
apple offering discounts ipad students education faculty,IAB5 Education,0.64,natural
derby educators launch school year ice bucket challenge,IAB5 Education,0.63,natural
ny schools racially segregated,IAB5 Education,0.63,natural
obama highlights push better skilled teachers,IAB5 Education,0.63,natural
iberville board seek financing new schools,IAB5 Education,0.63,natural
author walter dean myers remembered champion literacy education,IAB5 Education,0.62,natural
solar energy lights pajaro valley schools,IAB5 Education,0.62,natural
stocks watch bridgepoint education hillshire brands pinnacle foods,IAB5 Education,0.61,natural
google play education longer tablets available,IAB5 Education,0.61,natural
bandaid solutions student debt,IAB5 Education,0.6,natural
ellen degeneres launching lifestyle brand,IAB5 Education,0.6,natural
climate panel calls enlightenment,IAB5 Education,0.6,natural
student loans go,IAB5 Education,0.6,natural
ellen degeneres launch lifestyle brand,IAB5 Education,0.59,natural
people education may recover better brain injury,IAB5 Education,0.59,natural
eurgbp expect downward movement,IAB5 Education,0.59,natural
interest rates rising federal student loans,IAB5 Education,0.59,natural
student loan debt time high,IAB5 Education,0.59,natural
wealth gap widens us student loan debt,IAB5 Education,0.58,natural
people education may recover better traumatic brain injury,IAB5 Education,0.58,natural
chegg buy online tutoring network instaedu 30 mln cash quick,IAB5 Education,0.58,natural
ellen degeneres sexy megan fox,IAB5 Education,0.57,natural
1t student loan debt widens us wealth gap,IAB5 Education,0.57,natural
chegg agrees acquire leading online tutoring network instaedu,IAB5 Education,0.57,natural
literacy council celebrates cinco de mayo fundraising luncheon,IAB5 Education,0.57,natural
experts1 trillion student loan debt widening us wealth gap,IAB5 Education,0.56,natural
student loan interest rates go today,IAB5 Education,0.55,natural
