text,iab_label,confidence,source
google reportedly readying health service called google fit,IAB7 Health & Fitness,0.81,natural
category health fitness,IAB7 Health & Fitness,0.78,natural
google take health services google fit,IAB7 Health & Fitness,0.74,natural
googles health data google fit service,IAB7 Health & Fitness,0.69,natural
google reenter health market google fit,IAB7 Health & Fitness,0.69,natural
google launch health service like samsung apple google fit,IAB7 Health & Fitness,0.69,natural
android powered health platform google fit coming google io,IAB7 Health & Fitness,0.68,natural
lululemon athletica inc given new 5500 price target deutsche bank lulu,IAB7 Health & Fitness,0.68,natural
google inc goog might enter health data space google fit,IAB7 Health & Fitness,0.67,natural
google prepping health service google fit rival apple samsung,IAB7 Health & Fitness,0.63,natural
samsung unveils wristband give realtime helth fitness,IAB7 Health & Fitness,0.6,natural
google take apple healthkit unveiling google fit,IAB7 Health & Fitness,0.59,natural
lebron james beats debut first wireless earphones theyre aimed fitness,IAB7 Health & Fitness,0.58,natural
google challenge apples healthkit google fit,IAB7 Health & Fitness,0.58,natural
iphone 6 headphones may used health fitness tracking,IAB7 Health & Fitness,0.58,natural
google try health services launch google fit io,IAB7 Health & Fitness,0.57,natural
google debuts health fitness tracking platform google fit,IAB7 Health & Fitness,0.57,natural
samsung envisions fitness health sensors,IAB7 Health & Fitness,0.56,natural
google may join health datatracking party google fit,IAB7 Health & Fitness,0.55,natural
google preparing launch google fit collect health tracking data,IAB7 Health & Fitness,0.55,natural
google prepping google fit improve health,IAB7 Health & Fitness,0.55,natural
herbalife ftc lens finally,IAB7 Health & Fitness,0.54,natural
lululemon athletica inc price target cut 6900 analysts canaccord,IAB7 Health & Fitness,0.54,natural
herbalife says us ftc opens inquiry shares fall,IAB7 Health & Fitness,0.53,natural
google unveils health tracking platform google fit io developer conference,IAB7 Health & Fitness,0.52,natural
omsignal launches clothing tracks performance health fitness,IAB7 Health & Fitness,0.52,natural
samsung unveils health fitness writsband,IAB7 Health & Fitness,0.51,natural
herbalife says ftc opens inquiry shares slump,IAB7 Health & Fitness,0.51,natural
midmorning market update markets mostly flat lululemon profit beats estimates,IAB7 Health & Fitness,0.5,natural
ackman dwarfed herbalife spending lobbying battle,IAB7 Health & Fitness,0.5,natural
national walking day wednesday,IAB7 Health & Fitness,0.49,natural
apple considering full health fitness services platform modeled,IAB7 Health & Fitness,0.49,natural
google apple rivalry gets delightfully healthier google fit,IAB7 Health & Fitness,0.48,natural
