text,iab_label,confidence,source
dominos pizza hackers demand 24k ransom,IAB8 Food & Drink,0.9,natural
7 pictures breakfast sandwich outrageous taco bells waffle,IAB8 Food & Drink,0.88,natural
finally taco bell every meal,IAB8 Food & Drink,0.87,natural
dominos pizza hacked customer data held ransom,IAB8 Food & Drink,0.86,natural
dominos pizza hackers demand 30000 ransom,IAB8 Food & Drink,0.86,natural
dominos pizza targeted hackers 24000 data ransom,IAB8 Food & Drink,0.86,natural
quiero taco bell breakfast,IAB8 Food & Drink,0.86,natural
bossier city man appears taco bell commercial,IAB8 Food & Drink,0.86,natural
burger king offers new breakfast value menu get 1,IAB8 Food & Drink,0.85,natural
2 pizza chains look like good investments,IAB8 Food & Drink,0.85,natural
sbarro pizza files bankruptcy,IAB8 Food & Drink,0.85,natural
heres taco bells entire breakfast menu,IAB8 Food & Drink,0.85,natural
taco bell takes another shot mcdonalds new commercial,IAB8 Food & Drink,0.84,natural
cheesecake factory leads fanny pack 2014 xtreme eating awards,IAB8 Food & Drink,0.84,natural
ohio senator boycott burger king,IAB8 Food & Drink,0.84,natural
dominos pizza hacked customer database held ransom,IAB8 Food & Drink,0.84,natural
heating burger king latest frenzy,IAB8 Food & Drink,0.84,natural
17062014dominos pizza refuses cave hackers extortion attempt,IAB8 Food & Drink,0.84,natural
rise fall crumbs americas first public cupcake company,IAB8 Food & Drink,0.83,natural
taco bell going thermonuclear breakfast war mcdonalds,IAB8 Food & Drink,0.83,natural
breakfast challenge free mcdonalds coffee taco bells waffle taco,IAB8 Food & Drink,0.83,natural
dominos pizza customers exposed massive data breach,IAB8 Food & Drink,0.83,natural
transcript breakfast wars mcdonalds vs taco bell,IAB8 Food & Drink,0.83,natural
millennials mcdonalds lovin,IAB8 Food & Drink,0.83,natural
dominos pizza held ransom hackers customer data,IAB8 Food & Drink,0.82,natural
local man featured taco bell commercial,IAB8 Food & Drink,0.82,natural
burger king offering breakfast value menu,IAB8 Food & Drink,0.82,natural
taco bell serves waffle taco,IAB8 Food & Drink,0.82,natural
dominos pizza hack takeaway lessons,IAB8 Food & Drink,0.82,natural
burger king adds gay pride whopper menu,IAB8 Food & Drink,0.82,natural
2780calorie french toast cheesecake factory tops calorie charts,IAB8 Food & Drink,0.82,natural
red robins burger fries make list xtreme food,IAB8 Food & Drink,0.82,natural
todays fast food wage protests wont force companies pony,IAB8 Food & Drink,0.81,natural
topless florida woman destroying mcdonalds caught video,IAB8 Food & Drink,0.81,natural
krispy kreme stock getting crushed,IAB8 Food & Drink,0.8,natural
taco bell ads dinging mcdonalds raise interesting question,IAB8 Food & Drink,0.8,natural
todays premarket trading positive chipotle mexican grill cmg,IAB8 Food & Drink,0.8,natural
sbarro closure leaves hole mall st matthews food court,IAB8 Food & Drink,0.8,natural
long live waffle tacos taco bell gets disruptive breakfast,IAB8 Food & Drink,0.8,natural
taste testing entire taco bell breakfast menu,IAB8 Food & Drink,0.8,natural
taco bell corner breakfast market,IAB8 Food & Drink,0.8,natural
help brilliant goofball kickstart potato salad,IAB8 Food & Drink,0.8,natural
burger king offers proud whopper celebrate gay rights burger,IAB8 Food & Drink,0.8,natural
dominos pizza hacked held ransom 30000,IAB8 Food & Drink,0.8,natural
hot mild charlie sheen completely sauced taco bell parking lot,IAB8 Food & Drink,0.8,natural
ronald mcdonald kane taco bell tv ads,IAB8 Food & Drink,0.79,natural
taco bell launches waffle taco amazing breakfast items today,IAB8 Food & Drink,0.79,natural
drunk charlie sheen totally cool fans taco bell drive thru video,IAB8 Food & Drink,0.79,natural
starbucks experiment burgers,IAB8 Food & Drink,0.79,natural
mexican mob holds margaritas hostage,IAB8 Food & Drink,0.79,natural
video internet abuzz topless woman trashed mcdonalds pinellas,IAB8 Food & Drink,0.79,natural
chipotle continue dominance fast casual,IAB8 Food & Drink,0.79,natural
cheesecake factory red robin lead 2014 xtreme eating awards,IAB8 Food & Drink,0.79,natural
ate taco bell waffle taco liked,IAB8 Food & Drink,0.79,natural
video topless woman destroys mcdonalds st petersburg,IAB8 Food & Drink,0.79,natural
taco bell breakfast menu ad features ronald mcdonald,IAB8 Food & Drink,0.79,natural
oprah chai tea comes starbucks,IAB8 Food & Drink,0.79,natural
ronald mcdonald loves taco bell cheeky new ad states,IAB8 Food & Drink,0.79,natural
domino pizza gets served hefty slice hack,IAB8 Food & Drink,0.79,natural
video topless woman ransacks florida mcdonalds helps ice cream,IAB8 Food & Drink,0.78,natural
chipotle continue surge higher postearnings,IAB8 Food & Drink,0.78,natural
breakfast crunchwrap waffle taco oj things dont expect,IAB8 Food & Drink,0.78,natural
ronald mcdonald grabs breakfast taco bell,IAB8 Food & Drink,0.78,natural
taco bell outronalds mcdonalds,IAB8 Food & Drink,0.78,natural
hammered charlie sheen makes friends taco bell drivethru,IAB8 Food & Drink,0.78,natural
americans totally mcdonalds taco bell kfc,IAB8 Food & Drink,0.78,natural
taco bell wont win breakfast,IAB8 Food & Drink,0.78,natural
new grilled cheese bar celebrates grand opening dc friday,IAB8 Food & Drink,0.78,natural
dominos pizza customer info held ransom hackers june 17,IAB8 Food & Drink,0.78,natural
internet keeps giving guy money make potato salad,IAB8 Food & Drink,0.78,natural
taco bell win breakfast,IAB8 Food & Drink,0.78,natural
cheesecake factory red robin dishes receive xtreme eating awards,IAB8 Food & Drink,0.78,natural
panera overhaul menu ditch fake stuff,IAB8 Food & Drink,0.78,natural
man raises 10k kickstarter make potato salad,IAB8 Food & Drink,0.77,natural
topless florida woman destroys mcdonalds pauses chug ice cream,IAB8 Food & Drink,0.77,natural
taco bell launches new fast casual restaurant,IAB8 Food & Drink,0.77,natural
naked woman destroys florida mcdonalds,IAB8 Food & Drink,0.77,natural
taco bell drawing interest long lines new breakfast menu,IAB8 Food & Drink,0.77,natural
burger king fire new gay burger,IAB8 Food & Drink,0.77,natural
coffee shoo eye problems,IAB8 Food & Drink,0.77,natural
mcdonalds giving away free coffee limited time,IAB8 Food & Drink,0.77,natural
ad day burger king makes fabulous whopper ever lgbt,IAB8 Food & Drink,0.77,natural
fast food workers go strike next week,IAB8 Food & Drink,0.77,natural
top kickstarter campaign potato salad,IAB8 Food & Drink,0.77,natural
national pi pie day heres grab slice,IAB8 Food & Drink,0.77,natural
outdoor pizza oven domes,IAB8 Food & Drink,0.77,synthetic
taco bell heats breakfast wars mcdonalds,IAB8 Food & Drink,0.77,natural
restaurants major source nasty norovirus infections cdc study finds,IAB8 Food & Drink,0.76,natural
drunk charlie sheen meetandgreet fans taco bell drivethrough,IAB8 Food & Drink,0.76,natural
shia labeouf actor tried steal mcdonalds food homeless man,IAB8 Food & Drink,0.76,natural
charlie sheen hammered taco bell drivethrough,IAB8 Food & Drink,0.76,natural
florida woman arrested topless rampage mcdonalds,IAB8 Food & Drink,0.76,natural
watch charlie sheen piss drunk taco bell drivethru,IAB8 Food & Drink,0.76,natural
charlie sheen stumbles drunkenly taco bell drivethru life,IAB8 Food & Drink,0.76,natural
free coffee morning mcdonalds next 2 weeks,IAB8 Food & Drink,0.76,natural
mcdonalds free coffee giveaway starts monday,IAB8 Food & Drink,0.76,natural
mcdonalds wants come free coffee,IAB8 Food & Drink,0.76,natural
video surfaces charlie sheen hammered taco bell drivethru,IAB8 Food & Drink,0.76,natural
yums chinese rebound continues pizza hut still soft yum,IAB8 Food & Drink,0.76,natural
burrito bowl chipotle going cost,IAB8 Food & Drink,0.76,natural
burger king youre gay,IAB8 Food & Drink,0.75,natural
byrds eye view starbucks provide even energy,IAB8 Food & Drink,0.75,natural
mcdonalds give away free coffee breakfast,IAB8 Food & Drink,0.75,natural
burger king launches proud whopper,IAB8 Food & Drink,0.75,natural
feds yet palcohol,IAB8 Food & Drink,0.75,natural
benedict arnold burger king,IAB8 Food & Drink,0.75,natural
word street taco bell launches new breakfast menu,IAB8 Food & Drink,0.75,natural
taco bell breakfast ads feature reallife ronald mcdonalds,IAB8 Food & Drink,0.75,natural
ronald mcdonald loves new taco bell breakfast,IAB8 Food & Drink,0.75,natural
viral video topless woman trashes st petersburg mcdonalds,IAB8 Food & Drink,0.75,natural
free coffee mcdonalds starts monday,IAB8 Food & Drink,0.75,natural
ronald mcdonald taco bell,IAB8 Food & Drink,0.75,natural
dough sbarro pizza files bankruptcy second time three,IAB8 Food & Drink,0.75,natural
real reason taco bell made waffle taco,IAB8 Food & Drink,0.75,natural
mcdonalds vs taco bell breakfast battle mcdonalds free coffee,IAB8 Food & Drink,0.75,natural
