text,iab_label,confidence,source
googles april fools day pranks gmail shelfies pokemon maps,IAB9 Hobbies & Interests,0.56,natural
drugresistant bacteria big fans ecigs,IAB9 Hobbies & Interests,0.53,natural
game thrones sibel kekilli book shae vs show shae liking,IAB9 Hobbies & Interests,0.5,natural
google sets sights tvs cars watches,IAB9 Hobbies & Interests,0.49,natural
taylor swift blogs love affair fans selfies music,IAB9 Hobbies & Interests,0.49,natural
time flies busy planes fire rescue star dane cook,IAB9 Hobbies & Interests,0.48,natural
go home facebook yelp virtualreality war,IAB9 Hobbies & Interests,0.48,natural
recap game thrones watch family law,IAB9 Hobbies & Interests,0.47,natural
lady gaga mixes minecraft,IAB9 Hobbies & Interests,0.44,natural
dealin done kiwi poker player,IAB9 Hobbies & Interests,0.43,natural
record store day music geek tomorrow,IAB9 Hobbies & Interests,0.43,natural
game thrones recap oathkeeper everyone obsessed swords,IAB9 Hobbies & Interests,0.43,natural
celebrate 40 years rubiks cube playing googles doodle,IAB9 Hobbies & Interests,0.43,natural
rest band members smoke weed harry styles likes knit,IAB9 Hobbies & Interests,0.43,natural
banbossy facebooks sheryl sandberg girl scouts americas anna maria,IAB9 Hobbies & Interests,0.41,natural
katherine heigl considered knitting shop,IAB9 Hobbies & Interests,0.41,natural
new facebook feature helps tag music tv shows movies updates,IAB9 Hobbies & Interests,0.41,natural
foodie movies ratatouille chef,IAB9 Hobbies & Interests,0.41,natural
theyre baaack fans prepare sharknado 2,IAB9 Hobbies & Interests,0.4,natural
marijuana growlights cause problems hamradio operators,IAB9 Hobbies & Interests,0.4,natural
samsung targets photo fanatics galaxy k zoom,IAB9 Hobbies & Interests,0.4,natural
oscar isaac geeks star wars,IAB9 Hobbies & Interests,0.4,natural
game thrones heavy metal review children,IAB9 Hobbies & Interests,0.39,natural
rebecca hall might scifi im analogue person tv twitter,IAB9 Hobbies & Interests,0.39,natural
tim cook reiterates apple tv hobby,IAB9 Hobbies & Interests,0.39,natural
jk rowling updates world harry potter friends,IAB9 Hobbies & Interests,0.38,natural
kim kardashian star video game kanye west obsessed wedding,IAB9 Hobbies & Interests,0.38,natural
vietnamese ceramic bonsai pots,IAB9 Hobbies & Interests,0.38,synthetic
jill abramson getting dumped get lifes knitting,IAB9 Hobbies & Interests,0.37,natural
watch dogs 8 things wed like hack gaming,IAB9 Hobbies & Interests,0.37,natural
george r r martin eyeing movie franchise game thrones,IAB9 Hobbies & Interests,0.37,natural
thor lego scientists real disney princesses like,IAB9 Hobbies & Interests,0.37,natural
geekout 56 talking mario kart 8 htc one mini 2 moto e,IAB9 Hobbies & Interests,0.37,natural
apples pandora diss turn carplay another google maps,IAB9 Hobbies & Interests,0.37,natural
best lighting for craft rooms,IAB9 Hobbies & Interests,0.37,synthetic
asides bsides record store day lives,IAB9 Hobbies & Interests,0.37,natural
video apple sold 20 million apple tvs far hobby,IAB9 Hobbies & Interests,0.36,natural
johnny depp admits enjoys playing barbies painting elephants,IAB9 Hobbies & Interests,0.36,natural
morning ticker salmons fusion facebooks storyful coopers pad,IAB9 Hobbies & Interests,0.36,natural
10 things love windows phone 81 nokia lumia 630,IAB9 Hobbies & Interests,0.36,natural
vinyl justice time love music record store day,IAB9 Hobbies & Interests,0.36,natural
rock hints hes still playing dcs badass bounty hunter lobo,IAB9 Hobbies & Interests,0.36,natural
facebook buying oculus rift means gaming,IAB9 Hobbies & Interests,0.36,natural
amazons new fire tv wont replace gaming console,IAB9 Hobbies & Interests,0.36,natural
hookah smoking rage among us teens,IAB9 Hobbies & Interests,0.35,natural
watch dogs brandon docks ctos control centre sniper sniper rifle ctos server,IAB9 Hobbies & Interests,0.35,natural
time warners 1q profit rises partly success lego movie hbos,IAB9 Hobbies & Interests,0.35,natural
apple maps photo tricks loch ness monster enthusiasts,IAB9 Hobbies & Interests,0.35,natural
apple sold 20 million apple tvs far hobby,IAB9 Hobbies & Interests,0.35,natural
