text,labels,confidence,source,iab_label
fox news mouthbreather calls bachelorette andi slut,,0.93,natural,IAB12 News
news affect facebook fb stock today,,0.92,natural,IAB12 News
abc news doctor nc really needs pay attention chikungunya,,0.92,natural,IAB12 News
actually good news federal health care spending,,0.92,natural,IAB12 News
climate change already hurting us thats good news,,0.92,natural,IAB12 News
nbc shows report economic costs climate change,,0.92,natural,IAB12 News
reset passwords heartbleed bug makes news,,0.92,natural,IAB12 News
breaking news judge denies mistrial diabetes drug lawsuit,,0.92,natural,IAB12 News
breaking news columbus short threatened wife murdersuicide,,0.91,natural,IAB12 News
breaking news pistorius mentally ill killing panel reports,,0.91,natural,IAB12 News
fox news anchor bob beckel slutshamed bachelorette andi dorfman,,0.9,natural,IAB12 News
hillary clinton halfhour interview fox news,,0.9,natural,IAB12 News
almost worlds biggest news organizations targeted,,0.9,natural,IAB12 News
hillary clinton appear fox news promote new book talk benghazi,,0.9,natural,IAB12 News
fox news gender pay gap real except white house,,0.9,natural,IAB12 News
news flash strange light mars causes brains puff,,0.89,natural,IAB12 News
today news peace corps removed areas hit ebola virus,,0.89,natural,IAB12 News
1st american mers patient may leave hospital soon 14 news wfie,,0.89,natural,IAB12 News
stumbling start june agricultural commodity etfs etf news,,0.89,natural,IAB12 News
news talked astronaut yesterday,,0.89,natural,IAB12 News
erykah badu erykah badu interrupts live news broadcast,,0.89,natural,IAB12 News
new york post calls kim kardashian kanye west jackasses wedding,,0.88,natural,IAB12 News
breaking news update 22 bodies counted ukraine wreckage site,,0.88,natural,IAB12 News
watch erykah badu interrupt nyc news broadcast try kiss reporter,,0.88,natural,IAB12 News
abominable news yeti identified ancestral polar bear,,0.88,natural,IAB12 News
hospital special surgery ranked 1 orthopedics us news world,,0.88,natural,IAB12 News
nbc documentary ignores skeptics insists 97 percent agree climate change,,0.88,natural,IAB12 News
mass general ranked second us news world report best hospitals list,,0.88,natural,IAB12 News
fox news bob beckel calls bachelorette slut,,0.88,natural,IAB12 News
dollar lower fomc statement top forex news,,0.88,natural,IAB12 News
massive dirt pile may led bridge closure ktiv news 4 sioux city ia,,0.88,natural,IAB12 News
diane sawyer changing roles news anchors,,0.88,natural,IAB12 News
newsone minute chris rock interviews white people monster truck rally,,0.88,natural,IAB12 News
whoopie gdp strong secondquarter growth positive sign economy,,0.88,natural,IAB12 News
james franco explains nearly nude photos news note,,0.88,natural,IAB12 News
white males make nightly news comeback,,0.88,natural,IAB12 News
heres fox news covered todays awesome jobs report,,0.87,natural,IAB12 News
reasons cautiously cheerful state us news media,,0.87,natural,IAB12 News
new damning proof comes light gm defective airbags case,,0.87,natural,IAB12 News
video erykah badu crashes live tv news broadcast trying kiss reporter,,0.87,natural,IAB12 News
Impact of Financial News on Market Sentiment: It can influence investor confidence and drive market movements,,0.87,synthetic,IAB12 News
report facebook manipulated users emotions news fed unethical,,0.87,natural,IAB12 News
blood test could predict alzheimers good news,,0.87,natural,IAB12 News
news flash wikipedia horrible place get medical information,,0.87,natural,IAB12 News
news flash flash boys news,,0.87,natural,IAB12 News
gold per ounce spot gold per gram todays spot silver precious metal news,,0.87,natural,IAB12 News
khloe kardashian reportedly acting like real diva new reality,,0.87,natural,IAB12 News
news american idol blew judges away,,0.87,natural,IAB12 News
springfield doc future cancer deaths bad news,,0.87,natural,IAB12 News
mountain dirt suspected bridge closure 21 news local news,,0.87,natural,IAB12 News
credit suisse 26 bn fine omen lies ahead swiss banks,,0.86,natural,IAB12 News
probe done circus accident evidence provided wcbdtv news weather,,0.86,natural,IAB12 News
breaking news bobby womack dead 70,,0.86,natural,IAB12 News
gwars top 5 mainstream moments fox news beavis butthead,,0.86,natural,IAB12 News
national news rolf harris claims affair teen consensual,,0.86,natural,IAB12 News
new york times know fire someone,,0.86,natural,IAB12 News
sandy ridge news,,0.86,natural,IAB12 News
new report ranks us healthcare last,,0.86,natural,IAB12 News
today news pregnant pakistani woman stoned death,,0.86,natural,IAB12 News
apnewsbreak speed blame paul walker crash,,0.86,natural,IAB12 News
terminator 5 news arnold schwarzenegger defends brutal violence new,,0.86,natural,IAB12 News
fox news host bob beckel calls bachelorette star andi dorfman slut,,0.86,natural,IAB12 News
column good news medicare,,0.86,natural,IAB12 News
breaking news dancing stars scandal trophy wife rip,,0.86,natural,IAB12 News
delaware bridge tilt likely ground shifting 21 news local news,,0.86,natural,IAB12 News
lachlan murdoch reemerges contender top role news corp,,0.86,natural,IAB12 News
walters changed way see news,,0.86,natural,IAB12 News
better flappy bird works news need know,,0.86,natural,IAB12 News
fox news bob beckel analyzes bachelorette shes slut video,,0.86,natural,IAB12 News
colon cancer screening news number cases cancers,,0.86,natural,IAB12 News
fox news ban bossy campaign feminist plot gender equality,,0.85,natural,IAB12 News
reports shows us lacking health care efficiency equality,,0.85,natural,IAB12 News
breaking news sofia vergara goes nick loeb true bloods joe,,0.85,natural,IAB12 News
new warning obesity ignorance,,0.85,natural,IAB12 News
fox news interview hillary clinton,,0.85,natural,IAB12 News
stephen colbert informative tv news,,0.85,natural,IAB12 News
breaking news kerry washington lyn paolo debut scandal collection,,0.85,natural,IAB12 News
nobel prizewinning author gabriel garcia marquez died breaking news,,0.85,natural,IAB12 News
regulators accuse tmobile bogus billing fox 29 news philadelphia,,0.85,natural,IAB12 News
fox news hosts interview hillary clinton,,0.85,natural,IAB12 News
school lunch pushback sparks health politics debate tellusatoday,,0.85,natural,IAB12 News
apnewsbreak speed blame walker crash,,0.85,natural,IAB12 News
fox news anchor bob beckel calls bachelorette andi dorfman slut,,0.85,natural,IAB12 News
lindsay lohan totally confirms sex list real deal listen,,0.85,natural,IAB12 News
fox interview hillary clinton hit benghazi 2016 plans,,0.85,natural,IAB12 News
lachlan murdoch named lead news corp,,0.85,natural,IAB12 News
york fast obamacare good news,,0.85,natural,IAB12 News
nyc subway rail snapped derailment new,,0.85,natural,IAB12 News
new white house report 57 million people losing health care,,0.85,natural,IAB12 News
nbc news uncritically swallows hhs obamacare surge number,,0.85,natural,IAB12 News
today news lunar eclipse blood moon appear overnight,,0.85,natural,IAB12 News
kim kardashian kanye west marriage weedding news kimye,,0.85,natural,IAB12 News
kim kanye secretly got married report,,0.84,natural,IAB12 News
ny times maureen dowd describes paranoid pot freak became,,0.84,natural,IAB12 News
breaking news,,0.84,natural,IAB12 News
health news fix broken market antibiotics us citizen tested,,0.84,natural,IAB12 News
spoiler alert justice served privy council tyrion lannisters fate,,0.84,natural,IAB12 News
climate front burner,,0.84,natural,IAB12 News
fox newss elisabeth hasselbeck rips rosie odonnell,,0.84,natural,IAB12 News
ntsb faults pilot mismanagment asiana flight greenville nc news,,0.84,natural,IAB12 News
good news possible treatment mers middle eastern respiratory,,0.84,natural,IAB12 News
celebrity buzz cameron diaz sex tape esquire,,0.84,natural,IAB12 News
kasalanan ni pnoy yan readers react news hindi kitty si hello kitty,,0.84,natural,IAB12 News
good news obamacare mass reforms might saving 320 lives year,,0.84,natural,IAB12 News
newspapers hilarious kimye wedding announcement,,0.84,natural,IAB12 News
fox news baier van susteren land hillary clinton interview,,0.84,natural,IAB12 News
shocking revelation third worlds population obese overweight,,0.84,natural,IAB12 News
abc news announces major change evening news,,0.84,natural,IAB12 News
blood moon kmph fox 26 news viewers capture camera,,0.84,natural,IAB12 News
marijuana news wiz khalifa arrested pot possession texas,,0.84,natural,IAB12 News
sierra leone news vimetco doles le132m ebola fight,,0.84,natural,IAB12 News
erykah badu tries kiss reporter news broadcast video,,0.84,natural,IAB12 News
teenage mutant ninja turtles movie 2014 release date cast news update,,0.84,natural,IAB12 News
situation charged fight tanning salon wboctv 16 delmarvas news,,0.84,natural,IAB12 News
woman machine new robots look creepily human fox 32 news chicago,,0.84,natural,IAB12 News
ntsb faults pilot mismanagment asiana flight fox 32 news chicago,,0.84,natural,IAB12 News
celebrity news jodie foster gets married,,0.84,natural,IAB12 News
calling george clooney gay joke says fox news anchor,,0.84,natural,IAB12 News
diane sawyer signs anchor abcs world news thanks viewers,,0.84,natural,IAB12 News
surprising skin cancer symptom doctor shouldnt ignore,,0.84,natural,IAB12 News
pablo picassos hidden portrait blue room revealed breaking news,,0.84,natural,IAB12 News
heres news moving dow jones today,,0.84,natural,IAB12 News
joan lunden reveals breast cancer diagnosis good morning america,,0.84,natural,IAB12 News
abc news anchor shuffle,,0.84,natural,IAB12 News
morning edition duke deciding fate coal ash central ohio population,,0.84,natural,IAB12 News
minnesota news roundup minnesota tops senior health,,0.83,natural,IAB12 News
adrienne bailon snaps back kim k news note,,0.83,natural,IAB12 News
fox59 celebrates international day happiness,,0.83,natural,IAB12 News
breaking news high court gives raging bull copyright suit 1 round,,0.83,natural,IAB12 News
523 cnn houston airport near miss investigation,,0.83,natural,IAB12 News
search missing malaysian airliner turns new debris 12 news kbmt,,0.83,natural,IAB12 News
new report cites danger payday loans,,0.83,natural,IAB12 News
new york probes special deals highspeed traders,,0.83,natural,IAB12 News
