text,iab_label,confidence,source,labels
what is scientific discipline etymology,IAB15 Science,1.0,synthetic,
introduction to scientific discipline teleology,IAB15 Science,1.0,synthetic,
reviews about scientific discipline ethnographyautoethnography,IAB15 Science,0.9,synthetic,
reviews about scientific discipline carthage,IAB15 Science,0.9,synthetic,
reviews about scientific discipline fallibilism,IAB15 Science,0.9,synthetic,
introduction to scientific discipline psephology,IAB15 Science,0.9,synthetic,
introduction to scientific discipline recording,IAB15 Science,0.9,synthetic,
how to use scientific discipline rhetoric,IAB15 Science,0.9,synthetic,
reviews about scientific discipline positivism,IAB15 Science,0.9,synthetic,
what is scientific discipline postpositivism,IAB15 Science,0.9,synthetic,
what is scientific discipline empiricism,IAB15 Science,0.9,synthetic,
guide to scientific discipline paleoanthropology,IAB15 Science,0.9,synthetic,
reviews about scientific discipline interdisciplinary,IAB15 Science,0.9,synthetic,
best scientific discipline survey tips,IAB15 Science,0.9,synthetic,
why choose scientific discipline microeconomics,IAB15 Science,0.9,synthetic,
reviews about scientific discipline civics,IAB15 Science,0.9,synthetic,
benefits of scientific discipline ethnomusicology,IAB15 Science,0.9,synthetic,
guide to scientific discipline meteorology,IAB15 Science,0.9,synthetic,
reviews about scientific discipline scholasticism,IAB15 Science,0.9,synthetic,
learn about scientific discipline hydrology,IAB15 Science,0.9,synthetic,
benefits of scientific discipline historiography,IAB15 Science,0.9,synthetic,
latest news on scientific discipline liturgy,IAB15 Science,0.9,synthetic,
introduction to scientific discipline piano,IAB15 Science,0.9,synthetic,
best scientific discipline constructivism tips,IAB15 Science,0.9,synthetic,
guide to scientific discipline playwrighting,IAB15 Science,0.9,synthetic,
what is scientific discipline referencing,IAB15 Science,0.9,synthetic,
learn about scientific discipline biopolitics,IAB15 Science,0.9,synthetic,
introduction to scientific discipline autoethnography,IAB15 Science,0.9,synthetic,
learn about scientific discipline fiction(outline),IAB15 Science,0.9,synthetic,
what is scientific discipline petrology,IAB15 Science,0.9,synthetic,
what is scientific discipline humanism(outline),IAB15 Science,0.9,synthetic,
what is scientific discipline assyriancivilization,IAB15 Science,0.9,synthetic,
what is scientific discipline palaeogeography,IAB15 Science,0.9,synthetic,
guide to scientific discipline marxism,IAB15 Science,0.9,synthetic,
how to use scientific discipline prehistory,IAB15 Science,0.9,synthetic,
best scientific discipline palaeontology tips,IAB15 Science,0.9,synthetic,
latest news on scientific discipline argument,IAB15 Science,0.9,synthetic,
reviews about scientific discipline oceanography,IAB15 Science,0.9,synthetic,
how to use scientific discipline directing,IAB15 Science,0.9,synthetic,
benefits of scientific discipline geomorphology,IAB15 Science,0.9,synthetic,
benefits of scientific discipline choreography,IAB15 Science,0.9,synthetic,
why choose scientific discipline non-fiction,IAB15 Science,0.9,synthetic,
benefits of scientific discipline phenomenology,IAB15 Science,0.9,synthetic,
what is scientific discipline meta-ethics,IAB15 Science,0.9,synthetic,
why choose scientific discipline sociolinguistics,IAB15 Science,0.9,synthetic,
reviews about scientific discipline interlinguistics,IAB15 Science,0.9,synthetic,
why choose scientific discipline proposal,IAB15 Science,0.9,synthetic,
guide to scientific discipline statistics,IAB15 Science,0.9,synthetic,
why choose scientific discipline lexicology,IAB15 Science,0.9,synthetic,
latest news on scientific discipline art-based,IAB15 Science,0.9,synthetic,
