text,iab_label,confidence,source,labels
Veterinary Medicine,IAB16 Pets,0.95,subcategories,
Cats,IAB16 Pets,0.95,subcategories,
Aquariums,IAB16 Pets,0.95,subcategories,
Birds,IAB16 Pets,0.95,subcategories,
Reptiles,IAB16 Pets,0.95,subcategories,
Dogs,IAB16 Pets,0.95,subcategories,
Large Animals,IAB16 Pets,0.95,subcategories,
portland boil water alert need boil water pets,IAB16 Pets,0.9,pseudo labeled,
poll fixing vets health care high priority,IAB16 Pets,0.9,pseudo labeled,
petsmart inc stock jumped today,IAB16 Pets,0.9,pseudo labeled,
dog park paws top request list,IAB16 Pets,0.87,pseudo labeled,
fully grown adults care much pets dying,IAB16 Pets,0.86,pseudo labeled,
kitty litter cause radiation leak,IAB16 Pets,0.86,pseudo labeled,
experimental breed toxoplasmosis,IAB16 Pets,0.85,scraped,
experimental breed united kingdom,IAB16 Pets,0.85,scraped,
experimental breed new zealand,IAB16 Pets,0.85,scraped,
experimental breed japan,IAB16 Pets,0.85,scraped,
experimental breed canada,IAB16 Pets,0.85,scraped,
experimental breed australia,IAB16 Pets,0.85,scraped,
experimental breed viral rhinotracheitis,IAB16 Pets,0.85,scraped,
experimental breed chronic kidney disease,IAB16 Pets,0.85,scraped,
experimental breed tick,IAB16 Pets,0.85,scraped,
experimental breed skin disorders,IAB16 Pets,0.85,scraped,
experimental breed roundworm,IAB16 Pets,0.85,scraped,
experimental breed individual cats,IAB16 Pets,0.85,scraped,
dog breed colombian fino hound,IAB16 Pets,0.85,scraped,
experimental breed calicivirus,IAB16 Pets,0.85,scraped,
experimental breed acne,IAB16 Pets,0.85,scraped,
dog breed bull arab,IAB16 Pets,0.85,scraped,
experimental breed united states,IAB16 Pets,0.85,scraped,
experimental breed tritrichomonas foetus,IAB16 Pets,0.85,scraped,
experimental breed longest-living cats,IAB16 Pets,0.85,scraped,
experimental breed feline corneal sequestrum,IAB16 Pets,0.85,scraped,
experimental breed immunodeficiency virus,IAB16 Pets,0.85,scraped,
experimental breed polydactyly,IAB16 Pets,0.85,scraped,
experimental breed hypertrophic cardiomyopathy,IAB16 Pets,0.85,scraped,
experimental breed heartworm,IAB16 Pets,0.85,scraped,
experimental breed coccidia,IAB16 Pets,0.85,scraped,
experimental breed flea,IAB16 Pets,0.85,scraped,
experimental breed diabetes,IAB16 Pets,0.85,scraped,
experimental breed cats in folklore,IAB16 Pets,0.85,scraped,
experimental breed congenital sensorineural deafness,IAB16 Pets,0.85,scraped,
experimental breed hepatic lipidosis,IAB16 Pets,0.85,scraped,
experimental breed rabies,IAB16 Pets,0.85,scraped,
dog breed ca rater mallorquí,IAB16 Pets,0.85,scraped,
experimental breed ringworm,IAB16 Pets,0.85,scraped,
experimental breed category,IAB16 Pets,0.85,scraped,
dog breed bully kutta,IAB16 Pets,0.85,scraped,
dog breed cane paratore,IAB16 Pets,0.85,scraped,
dog breed calupoh,IAB16 Pets,0.85,scraped,
dog breed american bully,IAB16 Pets,0.85,scraped,
dog breed andalusian terrier,IAB16 Pets,0.85,scraped,
dog breed ariège pointer,IAB16 Pets,0.85,scraped,
dog breed argentine pila,IAB16 Pets,0.85,scraped,
dog breed armenian gampr,IAB16 Pets,0.85,scraped,
dog breed bắc hà,IAB16 Pets,0.85,scraped,
dog breed bakharwal,IAB16 Pets,0.85,scraped,
dog breed bankhar dog,IAB16 Pets,0.85,scraped,
dog breed barak hound,IAB16 Pets,0.85,scraped,
dog breed biewer terrier,IAB16 Pets,0.85,scraped,
experimental breed asthma,IAB16 Pets,0.85,scraped,
dog breed sinhala hound,IAB16 Pets,0.85,scraped,
dog breed small međimurje dog,IAB16 Pets,0.85,scraped,
dog breed smithfield,IAB16 Pets,0.85,scraped,
dog breed livestock guardian dog,IAB16 Pets,0.85,scraped,
dog breed sheep dog,IAB16 Pets,0.85,scraped,
dog breed american leopard hound,IAB16 Pets,0.85,scraped,
dog breed alopekis,IAB16 Pets,0.85,scraped,
dog breed campeiro bulldog,IAB16 Pets,0.85,scraped,
dog breed aksaray malaklisi,IAB16 Pets,0.85,scraped,
dog breed can de chira,IAB16 Pets,0.85,scraped,
dog breed bulgarian scenthound,IAB16 Pets,0.85,scraped,
dog breed can de palleiro,IAB16 Pets,0.85,scraped,
experimental breed leukemia virus,IAB16 Pets,0.85,scraped,
dog breed cantabrian water dog,IAB16 Pets,0.85,scraped,
dog breed carea leonés,IAB16 Pets,0.85,scraped,
dog breed chilean terrier,IAB16 Pets,0.85,scraped,
dog breed chongqing,IAB16 Pets,0.85,scraped,
dog breed chukotka sled dog,IAB16 Pets,0.85,scraped,
dog breed cane di oropa,IAB16 Pets,0.85,scraped,
dog breed bulgarian hound,IAB16 Pets,0.85,scraped,
dog breed briquet de provence,IAB16 Pets,0.85,scraped,
dog breed bohemian spotted dog,IAB16 Pets,0.85,scraped,
experimental breed toyger,IAB16 Pets,0.85,scraped,
experimental breed serengeti,IAB16 Pets,0.85,scraped,
