text,iab_label,confidence,source,labels
fashion designer jean-charles de elbajac,IAB18 Style & Fashion,1.0,synthetic,
why choose fashion designer chiaki,IAB18 Style & Fashion,1.0,synthetic,
why choose fashion designer maripol,IAB18 Style & Fashion,0.9,synthetic,
benefits of fashion designer mana,IAB18 Style & Fashion,0.9,synthetic,
benefits of fashion designer meg,IAB18 Style & Fashion,0.9,synthetic,
benefits of fashion designer dejzi,IAB18 Style & Fashion,0.9,synthetic,
Beauty,IAB18 Style & Fashion,0.76,subcategories,
Accessories,IAB18 Style & Fashion,0.76,subcategories,
Body Art,IAB18 Style & Fashion,0.76,subcategories,
Fashion,IAB18 Style & Fashion,0.76,subcategories,
Jewelry,IAB18 Style & Fashion,0.76,subcategories,
Clothing,IAB18 Style & Fashion,0.76,subcategories,
fashion designer zandra rhodes,IAB18 Style & Fashion,0.68,scraped,
fashion designer stuart stockdale,IAB18 Style & Fashion,0.68,scraped,
fashion designer joanne stoker,IAB18 Style & Fashion,0.68,scraped,
fashion designer graham smith,IAB18 Style & Fashion,0.68,scraped,
fashion designer bunny roger,IAB18 Style & Fashion,0.68,scraped,
fashion designer john richmond,IAB18 Style & Fashion,0.68,scraped,
fashion designer melissa percy,IAB18 Style & Fashion,0.68,scraped,
fashion designer beatrix ong,IAB18 Style & Fashion,0.68,scraped,
fashion designer kelly osbourne,IAB18 Style & Fashion,0.68,scraped,
fashion designer jenny packham,IAB18 Style & Fashion,0.68,scraped,
fashion designer stewart parvin,IAB18 Style & Fashion,0.68,scraped,
fashion designer victor stiebel,IAB18 Style & Fashion,0.68,scraped,
fashion designer gladys emma peto,IAB18 Style & Fashion,0.68,scraped,
fashion designer stevie stewart,IAB18 Style & Fashion,0.68,scraped,
fashion designer paul smith,IAB18 Style & Fashion,0.68,scraped,
fashion designer tomasz starzewski,IAB18 Style & Fashion,0.68,scraped,
fashion designer claire stansfield,IAB18 Style & Fashion,0.68,scraped,
fashion designer simon spurr,IAB18 Style & Fashion,0.68,scraped,
fashion designer philip somerville,IAB18 Style & Fashion,0.68,scraped,
fashion designer richard smith,IAB18 Style & Fashion,0.68,scraped,
fashion designer alice pollock,IAB18 Style & Fashion,0.68,scraped,
fashion designer justin smith,IAB18 Style & Fashion,0.68,scraped,
fashion designer tabitha simmons,IAB18 Style & Fashion,0.68,scraped,
fashion designer jeffrey rogers,IAB18 Style & Fashion,0.68,scraped,
fashion designer david shilling,IAB18 Style & Fashion,0.68,scraped,
fashion designer michael sherard,IAB18 Style & Fashion,0.68,scraped,
fashion designer christopher shannon,IAB18 Style & Fashion,0.68,scraped,
fashion designer janie schaffer,IAB18 Style & Fashion,0.68,scraped,
fashion designer arabella pollen,IAB18 Style & Fashion,0.68,scraped,
fashion designer gareth pugh,IAB18 Style & Fashion,0.68,scraped,
fashion designer thea porter,IAB18 Style & Fashion,0.68,scraped,
fashion designer mark powell,IAB18 Style & Fashion,0.68,scraped,
fashion designer aida woolf,IAB18 Style & Fashion,0.68,scraped,
fashion designer trinny woodall,IAB18 Style & Fashion,0.68,scraped,
fashion designer louise wilson,IAB18 Style & Fashion,0.68,scraped,
fashion designer matthew williamson,IAB18 Style & Fashion,0.68,scraped,
fashion designer stephen williams,IAB18 Style & Fashion,0.68,scraped,
fashion designer ashley williams,IAB18 Style & Fashion,0.68,scraped,
fashion designer vivienne westwood,IAB18 Style & Fashion,0.68,scraped,
fashion designer kim west,IAB18 Style & Fashion,0.68,scraped,
fashion designer dan sullivan,IAB18 Style & Fashion,0.68,scraped,
fashion designer ian stuart,IAB18 Style & Fashion,0.68,scraped,
fashion designer charlotte olympia,IAB18 Style & Fashion,0.68,scraped,
fashion designer helen storey,IAB18 Style & Fashion,0.68,scraped,
fashion designer bernard rhodes,IAB18 Style & Fashion,0.68,scraped,
fashion designer kate reily,IAB18 Style & Fashion,0.68,scraped,
fashion designer janet reger,IAB18 Style & Fashion,0.68,scraped,
fashion designer john reed-crawford,IAB18 Style & Fashion,0.68,scraped,
fashion designer john redfern,IAB18 Style & Fashion,0.68,scraped,
fashion designer catherine rayner,IAB18 Style & Fashion,0.68,scraped,
fashion designer edward rayne,IAB18 Style & Fashion,0.68,scraped,
fashion designer michael rainey,IAB18 Style & Fashion,0.68,scraped,
fashion designer christopher raeburn,IAB18 Style & Fashion,0.68,scraped,
fashion designer richard quinn,IAB18 Style & Fashion,0.68,scraped,
fashion designer mary quant,IAB18 Style & Fashion,0.68,scraped,
fashion designer samata,IAB18 Style & Fashion,0.68,scraped,
fashion designer harvey proctor,IAB18 Style & Fashion,0.68,scraped,
fashion designer antony price,IAB18 Style & Fashion,0.68,scraped,
fashion designer nigel preston,IAB18 Style & Fashion,0.68,scraped,
fashion designer david sassoon,IAB18 Style & Fashion,0.68,scraped,
fashion designer gina fratini,IAB18 Style & Fashion,0.68,scraped,
fashion designer philip sallon,IAB18 Style & Fashion,0.68,scraped,
fashion designer keren craig,IAB18 Style & Fashion,0.68,scraped,
fashion designer marianne alvoni,IAB18 Style & Fashion,0.68,scraped,
fashion designer pimdao sukhahuta,IAB18 Style & Fashion,0.68,scraped,
fashion designer anya ayoung-chee,IAB18 Style & Fashion,0.68,scraped,
fashion designer marion foale,IAB18 Style & Fashion,0.68,scraped,
fashion designer azzedine alaïa,IAB18 Style & Fashion,0.68,scraped,
fashion designer irina belotelkin,IAB18 Style & Fashion,0.68,scraped,
fashion designer lubov azria,IAB18 Style & Fashion,0.68,scraped,
fashion designer maryna asauliuk,IAB18 Style & Fashion,0.68,scraped,
fashion designer rubanda-mayonza,IAB18 Style & Fashion,0.68,scraped,
fashion designer sylvia owori,IAB18 Style & Fashion,0.68,scraped,
fashion designer suzan mutesi,IAB18 Style & Fashion,0.68,scraped,
fashion designer housen mushema,IAB18 Style & Fashion,0.68,scraped,
fashion designer abbas kaijuka,IAB18 Style & Fashion,0.68,scraped,
