text,labels,confidence,source,iab_label
The Influence of Mac Support on Technology & Computing,,0.96,synthetic,IAB19 Technology & Computing
C/C++'s Influence on Technology & Computing,,0.93,synthetic,IAB19 Technology & Computing
### 6. Influence on Technology & Computing: The Role of PC Support in Advancing Technology,,0.92,synthetic,IAB19 Technology & Computing
### 5. Influence on Technology & Computing: Email's Impact on the Digital Landscape,,0.92,synthetic,IAB19 Technology & Computing
samsung galaxy ace 4 core ii young 2 get priced,,0.9,manual,IAB19 Technology & Computing
apple cuts macbook air prices 100 improves hardware,,0.9,manual,IAB19 Technology & Computing
apple resurrects iphone 5c 8gb model 42999,,0.9,manual,IAB19 Technology & Computing
microsoft working bringing popular features xbox 360 xbox one,,0.9,manual,IAB19 Technology & Computing
samsung unveils new line tablets featuring screens richer colours,,0.9,manual,IAB19 Technology & Computing
microsoft office ipad touchdown march 27th,,0.9,manual,IAB19 Technology & Computing
amazon unveils longawaited fire phone,,0.9,manual,IAB19 Technology & Computing
google nexus 8 tablet could better ipad,,0.9,manual,IAB19 Technology & Computing
apple launches 8 gb iphone 5c europe,,0.9,manual,IAB19 Technology & Computing
samsung galaxy note 80 vs ipad air stylus deciding factor,,0.9,manual,IAB19 Technology & Computing
apple launches new colourful ipod touch rear camera rs 16900 onwards,,0.9,manual,IAB19 Technology & Computing
apple google et al land grab home automation says raymond james,,0.9,manual,IAB19 Technology & Computing
apple samsung finally stop legal battles,,0.9,manual,IAB19 Technology & Computing
micro 3d printer blows past 22 million kickstarter days,,0.9,manual,IAB19 Technology & Computing
candy crushmaker king digital sees ipo valuation 76 billion,,0.9,manual,IAB19 Technology & Computing
apple google tech workers near settlement,,0.9,manual,IAB19 Technology & Computing
touch id every new iphone ipad available apple,,0.9,manual,IAB19 Technology & Computing
samsung galaxy tab 4 hit tmobile shelves summer,,0.9,manual,IAB19 Technology & Computing
amazon betting therell 3d smartphone future,,0.9,manual,IAB19 Technology & Computing
finally ios devices get good keyboard quicktype,,0.9,manual,IAB19 Technology & Computing
refreshed macbook pro retina laptops launch tuesday report,,0.9,manual,IAB19 Technology & Computing
amazons topsecret gadget lab building plenty thinner kindle could,,0.9,manual,IAB19 Technology & Computing
samsung introduces galaxy tab super amoled tablet,,0.9,manual,IAB19 Technology & Computing
microsoft unveils lowcost office 365 personal,,0.9,manual,IAB19 Technology & Computing
nadella brings ms office suiteto apple ipad,,0.9,manual,IAB19 Technology & Computing
samsung unveils galaxy s5 mini quadcore smartphone,,0.9,manual,IAB19 Technology & Computing
apple charge 100 55inch iphone 6,,0.9,manual,IAB19 Technology & Computing
nadella microsoft isnt giving xbox bing,,0.9,manual,IAB19 Technology & Computing
samsungs new galaxy tab tablet,,0.9,manual,IAB19 Technology & Computing
samsung unveils new line tablets featuring screens richer colors,,0.9,manual,IAB19 Technology & Computing
nvidia co plans quarterly dividend 009 nvda,,0.9,manual,IAB19 Technology & Computing
lenovo launches pair new affordable chromebooks starting 279,,0.9,manual,IAB19 Technology & Computing
htc ceo htc one m8 best phone ever launched,,0.9,manual,IAB19 Technology & Computing
microsofts nuclear option mobile,,0.9,manual,IAB19 Technology & Computing
specs fight samsung galaxy s5 vs htc one m8 vs sony xperia z2 vs lg g3,,0.9,manual,IAB19 Technology & Computing
apple stops selling aging ipad 2 relaunches ipad 4 cheapest large tablet,,0.9,manual,IAB19 Technology & Computing
android exec takes stand samsung patent trial apple,,0.9,manual,IAB19 Technology & Computing
axe threat hangs exnokians microsoft,,0.9,manual,IAB19 Technology & Computing
microsoft office ipad sets gold standard tablet productivity,,0.9,manual,IAB19 Technology & Computing
lgs laser focus created g3 super smartphone qa,,0.9,manual,IAB19 Technology & Computing
samsung chairman hospitalized heart attack,,0.9,manual,IAB19 Technology & Computing
os x yosemite beta features download software better links mac ios,,0.9,manual,IAB19 Technology & Computing
blackberry acquires antieavesdropping firm secusmart focuses security,,0.9,manual,IAB19 Technology & Computing
samsungs galaxy tab jawdropping screen handson,,0.9,manual,IAB19 Technology & Computing
apple launches iphone 5c 8gb variant,,0.9,manual,IAB19 Technology & Computing
mozilla ceo pressure resign homophobic beliefs,,0.9,manual,IAB19 Technology & Computing
apple updates macbook air starts 899 quick facts,,0.9,manual,IAB19 Technology & Computing
"### 5. Influence on Technology & Computing: Java's Impact on the Internet, Mobile Computing, and Enterprise Applications",,0.89,synthetic,IAB19 Technology & Computing
The Dot-Com Bubble and the Tech Stock Crash,,0.89,synthetic,IAB19 Technology & Computing
### 5. Influence on Technology & Computing: A Catalyst for Innovation and Advancement,,0.87,synthetic,IAB19 Technology & Computing
3-D Graphics: Influence on Technology and Computing,,0.87,synthetic,IAB19 Technology & Computing
VB is a notable event in the history of Technology & Computing.,,0.86,synthetic,IAB19 Technology & Computing
VB is a key figure in the history of Technology & Computing.,,0.85,synthetic,IAB19 Technology & Computing
The Dot-Com Bubble of 1999-2000,,0.83,synthetic,IAB19 Technology & Computing
cisco invest 1b cloud computer technology,,0.81,natural,IAB19 Technology & Computing
cisco invest 1b cloud computing,,0.81,natural,IAB19 Technology & Computing
Windows: A Dominant Force in the Computing Landscape,,0.81,synthetic,IAB19 Technology & Computing
ibm watson pioneering new era computing,,0.81,natural,IAB19 Technology & Computing
apple ios mac os software takes centre stage wwdc,,0.8,natural,IAB19 Technology & Computing
"### 13. Influence on Technology & Computing: Revolutionizing Photography, Design, and Web Development",,0.8,synthetic,IAB19 Technology & Computing
aereo decision means tech cloud computing,,0.8,natural,IAB19 Technology & Computing
vmware inc vmw stock jumps earnings beat,,0.8,natural,IAB19 Technology & Computing
C/C++: A Cornerstone of Modern Computing,,0.8,synthetic,IAB19 Technology & Computing
"Network security is a critical aspect of technology and computing, ensuring the protection of data and systems from unauthorized access, use, disclosure, disruption, modification, or destruction.",,0.8,synthetic,IAB19 Technology & Computing
brazil bandits steal mln samsung phones computers,,0.79,natural,IAB19 Technology & Computing
"Influence on Technology: Windows Revolutionized the Way Users Interact with Computers, Making Them More Accessible and User-Friendly",,0.79,synthetic,IAB19 Technology & Computing
att cisco ge ibm intel band better internet,,0.78,natural,IAB19 Technology & Computing
symantec tumbles 13 five downgrades bulls urge shares cheap sell,,0.78,natural,IAB19 Technology & Computing
robbers loot samsung phones computers brazil factory,,0.78,natural,IAB19 Technology & Computing
Influence on Computing: Windows Fostered the Development of Software Applications and Hardware Peripherals,,0.78,synthetic,IAB19 Technology & Computing
Influence on Technology: Windows Contributed to the Standardization of Computing Platforms and Applications,,0.78,synthetic,IAB19 Technology & Computing
Visual Basic (VB) is a programming language developed by Microsoft that has had a significant impact on the field of Technology & Computing.,,0.78,synthetic,IAB19 Technology & Computing
samsung intel dell team gadgets,,0.78,natural,IAB19 Technology & Computing
htcs google nexus 9 tablet,,0.77,natural,IAB19 Technology & Computing
investors look microsofts next moves,,0.77,natural,IAB19 Technology & Computing
occupy google protesters arrested outside tech giants mountain view,,0.77,natural,IAB19 Technology & Computing
intel cisco ibm collaborate internet things,,0.77,natural,IAB19 Technology & Computing
Influence on Computing: Windows Facilitated the Adoption of Cloud Computing and Virtualization Technologies,,0.76,synthetic,IAB19 Technology & Computing
computex intel unveils worlds first 14nanometer processor,,0.76,natural,IAB19 Technology & Computing
bandits raid samsung plant brazil make massive haul electronics,,0.75,natural,IAB19 Technology & Computing
The Launch of the Macintosh,,0.75,synthetic,IAB19 Technology & Computing
intel moves bring core pc chips tablets,,0.75,natural,IAB19 Technology & Computing
intel rockchip deliver nextgen atom chips android tablets,,0.74,natural,IAB19 Technology & Computing
many alleged lives microsofts office ios,,0.74,natural,IAB19 Technology & Computing
cisco invests 1b cloud computing,,0.74,natural,IAB19 Technology & Computing
new mediatek chipset goes qualcomms best,,0.74,natural,IAB19 Technology & Computing
intel shares jump raising forecasts,,0.74,natural,IAB19 Technology & Computing
dell intel samsung form internet things partnership,,0.74,natural,IAB19 Technology & Computing
apple updates iwork icloud macios updates coming,,0.74,natural,IAB19 Technology & Computing
The evolution of web design has been closely intertwined with the development of technology and computing.,,0.73,synthetic,IAB19 Technology & Computing
rev jesse jackson targets apple google hp others tech racial diversity,,0.73,natural,IAB19 Technology & Computing
satya nadella office ipad big new microsoft vision,,0.73,natural,IAB19 Technology & Computing
"### 19. Influence on Technology & Computing: Enabling Precision Design, Typography, and Illustration",,0.73,synthetic,IAB19 Technology & Computing
"Home video has had a significant influence on technology and computing, driving the development of new technologies such as DVD players, Blu-ray players, and streaming devices.",,0.73,synthetic,IAB19 Technology & Computing
far good microsofts nadella,,0.73,natural,IAB19 Technology & Computing
tech fccs wheeler try ag,,0.73,natural,IAB19 Technology & Computing
samsung intel dell others team help gadgets talk,,0.73,natural,IAB19 Technology & Computing
silicon valley technology battle pitting apple samsung nears close,,0.73,natural,IAB19 Technology & Computing
hewlettpackard earnings preview analysts see strong pc sales still,,0.73,natural,IAB19 Technology & Computing
microsoft layoffs would fourthbiggest techs modern history,,0.73,natural,IAB19 Technology & Computing
brief cisco invest 1 billion cloud computing,,0.73,natural,IAB19 Technology & Computing
cisco invest 1 billion cloud computing,,0.72,natural,IAB19 Technology & Computing
another drop profit likely troubled samsung,,0.72,natural,IAB19 Technology & Computing
computex intel unveils broadwellbased core chip,,0.72,natural,IAB19 Technology & Computing
intels new core chips turn pc processors tabletfriendly,,0.72,natural,IAB19 Technology & Computing
The Role of C/C++ in High-Performance Computing,,0.72,synthetic,IAB19 Technology & Computing
amazon kindle fire hdx consumption tablet deliver productivity,,0.72,natural,IAB19 Technology & Computing
computex intel shows internet thingspowered wireless future video,,0.72,natural,IAB19 Technology & Computing
htc working google 89inch nexus tablet,,0.71,natural,IAB19 Technology & Computing
ecigs good bad,,0.71,natural,IAB19 Technology & Computing
microsoft divorcing xbox one kinect reasons split hurts,,0.71,natural,IAB19 Technology & Computing
intel talks tablets pc profit slides,,0.71,natural,IAB19 Technology & Computing
macrumors chart suggests speedbumped 15inch retina macbook pros,,0.71,natural,IAB19 Technology & Computing
intel intc stock hours,,0.71,natural,IAB19 Technology & Computing
apple computer unveils new affordable imac,,0.71,natural,IAB19 Technology & Computing
cisco plans invest 1b cloud computing next 2 years,,0.71,natural,IAB19 Technology & Computing
meet volantis next 9inch google tablet htc,,0.71,natural,IAB19 Technology & Computing
apple updates iwork mac ios icloud,,0.7,natural,IAB19 Technology & Computing
cisco systems inc share price shifts focus towards cloud computing,,0.7,natural,IAB19 Technology & Computing
microsoft releases office 365 personal ipad,,0.7,natural,IAB19 Technology & Computing
computex intel unveils broadwell architecturebased core chip 2in1,,0.7,natural,IAB19 Technology & Computing
microsoft sony winning console war,,0.7,natural,IAB19 Technology & Computing
next dotcom bust,,0.7,natural,IAB19 Technology & Computing
Mac Support as a Model for Other Tech Companies,,0.7,synthetic,IAB19 Technology & Computing
microsofts nadella postpost pc vision,,0.7,natural,IAB19 Technology & Computing
samsung galaxy note 4 killer features 2k display 64bit cpu 207mp cam,,0.7,natural,IAB19 Technology & Computing
sneak peek microsofts selfie phone,,0.7,natural,IAB19 Technology & Computing
show us microsoft surface mini satya nadella,,0.69,natural,IAB19 Technology & Computing
dell cisco microsoft google friends shower openssl make,,0.69,natural,IAB19 Technology & Computing
apple inc aapl google inc goog tablet shipments take hit,,0.69,natural,IAB19 Technology & Computing
crytek demo cryengine linux gdc,,0.69,natural,IAB19 Technology & Computing
protest planned comcasts shareholders meeting,,0.69,natural,IAB19 Technology & Computing
armed thieves raid samsung factory brazil,,0.69,natural,IAB19 Technology & Computing
intel gets serious chromebook,,0.69,natural,IAB19 Technology & Computing
google launches nextgen intel powered chromebooks,,0.69,natural,IAB19 Technology & Computing
jdcoms ipo lands strongly shares currently 8,,0.69,natural,IAB19 Technology & Computing
high time investors buy samsung,,0.69,natural,IAB19 Technology & Computing
jdcoms ipo could represent great opportunity,,0.69,natural,IAB19 Technology & Computing
future microsoft nasdaq msft stock hinges cloud,,0.69,natural,IAB19 Technology & Computing
cisco introduces billion dollar intercloud,,0.69,natural,IAB19 Technology & Computing
tech overlord emc swallows cloud firm twinstrata,,0.68,natural,IAB19 Technology & Computing
selfielovers microsoft making windows phone,,0.68,natural,IAB19 Technology & Computing
"They continue to play a vital role in the technology and computing landscape, and their influence is likely to continue to grow in the years to come.",,0.68,synthetic,IAB19 Technology & Computing
macrumors microsoft launching word excel powerpoint ipad today,,0.68,natural,IAB19 Technology & Computing
startup within cisco fights cloud fatigue 1b internet clouds,,0.68,natural,IAB19 Technology & Computing
tech stocks buy avoid facebook inc linkedin corp twitter inc cisco,,0.68,natural,IAB19 Technology & Computing
cisco partners ingram micro others intercloud,,0.68,natural,IAB19 Technology & Computing
google making 3d tablet,,0.68,natural,IAB19 Technology & Computing
microsoft promises solve whatsapp issue windows phone,,0.68,natural,IAB19 Technology & Computing
"### 25. Influence on Technology & Computing: Transforming Film, Gaming, and Industrial Design",,0.68,synthetic,IAB19 Technology & Computing
cisco plans worlds largest global intercloud,,0.68,natural,IAB19 Technology & Computing
ciscos billion dollar cloud plan internet everything,,0.68,natural,IAB19 Technology & Computing
intels new core i7 chip hits 5ghz,,0.68,natural,IAB19 Technology & Computing
qualcomms snapdragon 805 powers ltea smartphone samsung,,0.68,natural,IAB19 Technology & Computing
expect googles developer conference io,,0.68,natural,IAB19 Technology & Computing
adobe announces photoshop mix ipad lightroom iphone,,0.68,natural,IAB19 Technology & Computing
cisco wants win cloud,,0.68,natural,IAB19 Technology & Computing
apple inc aapl ipad could struggle beat high tech galaxy tab,,0.68,natural,IAB19 Technology & Computing
cisco powers dow races hundredpoint gain,,0.68,natural,IAB19 Technology & Computing
rumor low priced mediatek google nexus smartphone works,,0.68,natural,IAB19 Technology & Computing
htc make next nexus tablet,,0.67,natural,IAB19 Technology & Computing
office coming ipad microsofts stock stuck neutral,,0.67,natural,IAB19 Technology & Computing
The Release of macOS X,,0.67,synthetic,IAB19 Technology & Computing
microsofts satya nadellas mobile first cloud first strategy focus,,0.67,natural,IAB19 Technology & Computing
let us rule internet stuff say chipzilla dell samsung chums,,0.67,natural,IAB19 Technology & Computing
cisco investing 1bn cloud network internet everything,,0.67,natural,IAB19 Technology & Computing
way buy windows pc,,0.67,natural,IAB19 Technology & Computing
apple devices hit hack demanding ransom,,0.67,natural,IAB19 Technology & Computing
nvidia nvda stock gaining today,,0.67,natural,IAB19 Technology & Computing
update 1brazil bandits steal 63 mln samsung phones computers,,0.67,natural,IAB19 Technology & Computing
todays market play tech recent news apple inc google inc,,0.67,natural,IAB19 Technology & Computing
nvidia higher following earnings,,0.67,natural,IAB19 Technology & Computing
cisco csco plans massive global intercloud push invest 1b mstr,,0.67,natural,IAB19 Technology & Computing
intel earnings pass muster pc data income climbs,,0.67,natural,IAB19 Technology & Computing
daily brief blackberry fights android amazon fights ftc htc fights back,,0.67,natural,IAB19 Technology & Computing
googles new nexus tablet leaked image shows impressive specifications,,0.66,natural,IAB19 Technology & Computing
windows xps death breathe life microsoft intel amd shares,,0.66,natural,IAB19 Technology & Computing
google reportedly working 89in nexus tablet,,0.66,natural,IAB19 Technology & Computing
google inc nasdaqgoog facebook google tech cold war,,0.66,natural,IAB19 Technology & Computing
acers core i3 chromebook,,0.66,natural,IAB19 Technology & Computing
wii u energy efficient nextgen console,,0.66,natural,IAB19 Technology & Computing
microsofts new surface pro 3 aims make laptops history,,0.66,natural,IAB19 Technology & Computing
