text,iab_label,confidence,source,labels
cast of Platoon,IAB1 Arts & Entertainment,1.0,synthetic,
cast of Ving Rhames,IAB1 Arts & Entertainment,1.0,synthetic,
cast of To Have and Have Not,IAB1 Arts & Entertainment,1.0,synthetic,
cast of The Pledge,IAB1 Arts & Entertainment,1.0,synthetic,
plot of Nicholas Hoult,IAB1 Arts & Entertainment,1.0,synthetic,
plot of Rufus,IAB1 Arts & Entertainment,1.0,synthetic,
plot of best guillermo del toro tips,IAB1 Arts & Entertainment,1.0,synthetic,
is Peter Farrelly worth watching,IAB1 Arts & Entertainment,1.0,synthetic,
plot of Nick Frost,IAB1 Arts & Entertainment,1.0,synthetic,
watch latest news on lethal weapon online,IAB1 Arts & Entertainment,1.0,synthetic,
reviews for Patrick Stewart,IAB1 Arts & Entertainment,1.0,synthetic,
listen to Sinister soundtrack,IAB1 Arts & Entertainment,1.0,synthetic,
is Robert Forster worth watching,IAB1 Arts & Entertainment,1.0,synthetic,
plot of what is zoe saldaña,IAB1 Arts & Entertainment,1.0,synthetic,
who directed stream danny lloyd now,IAB1 Arts & Entertainment,1.0,synthetic,
release date for Megan Moroney,IAB1 Arts & Entertainment,1.0,synthetic,
listen to learn about barkhad abdi soundtrack,IAB1 Arts & Entertainment,1.0,synthetic,
release date for Wes Anderson,IAB1 Arts & Entertainment,1.0,synthetic,
release date for Van Johnson,IAB1 Arts & Entertainment,1.0,synthetic,
plot of Trainspotting,IAB1 Arts & Entertainment,1.0,synthetic,
trailer for Miranda Richardson,IAB1 Arts & Entertainment,1.0,synthetic,
plot of North by Northwest,IAB1 Arts & Entertainment,1.0,synthetic,
watch Tony Moran online,IAB1 Arts & Entertainment,1.0,synthetic,
listen to Sam Raimi soundtrack,IAB1 Arts & Entertainment,1.0,synthetic,
is Will Forte worth watching,IAB1 Arts & Entertainment,1.0,synthetic,
who directed Patricia Arquette,IAB1 Arts & Entertainment,1.0,synthetic,
main actors in why choose la cage aux folles,IAB1 Arts & Entertainment,1.0,synthetic,
watch Session 9 online,IAB1 Arts & Entertainment,1.0,synthetic,
is introduction to mystic river worth watching,IAB1 Arts & Entertainment,1.0,synthetic,
release date for best david fincher tips,IAB1 Arts & Entertainment,1.0,synthetic,
release date for Linda Hamilton,IAB1 Arts & Entertainment,1.0,synthetic,
reviews for Mamma Mia!,IAB1 Arts & Entertainment,1.0,synthetic,
who directed use jaume colletserra online,IAB1 Arts & Entertainment,1.0,synthetic,
who directed Nicole de Boer,IAB1 Arts & Entertainment,1.0,synthetic,
main actors in reviews about kimberly peirce,IAB1 Arts & Entertainment,1.0,synthetic,
cast of Tom Sizemore,IAB1 Arts & Entertainment,1.0,synthetic,
watch William Sylvester online,IAB1 Arts & Entertainment,1.0,synthetic,
listen to Marathon Man soundtrack,IAB1 Arts & Entertainment,1.0,synthetic,
watch The Incredible Shrinking Man online,IAB1 Arts & Entertainment,1.0,synthetic,
reviews for Mulholland Drive,IAB1 Arts & Entertainment,1.0,synthetic,
who directed why choose jonathan mostow,IAB1 Arts & Entertainment,1.0,synthetic,
plot of Some Like It Hot,IAB1 Arts & Entertainment,1.0,synthetic,
is michael fassbender season 2 a good movie,IAB1 Arts & Entertainment,1.0,synthetic,
trailer for Sam Mendes,IAB1 Arts & Entertainment,1.0,synthetic,
actors in when was catherine keener released,IAB1 Arts & Entertainment,1.0,synthetic,
reviews about susan sarandon,IAB1 Arts & Entertainment,1.0,synthetic,
is The Royal Tenenbaums worth watching,IAB1 Arts & Entertainment,1.0,synthetic,
is introduction to hugh keays-byrne worth watching,IAB1 Arts & Entertainment,1.0,synthetic,
cast of Mía Maestro,IAB1 Arts & Entertainment,1.0,synthetic,
"is MAG, Benito Antonio Martinez Ocasio worth watching",IAB1 Arts & Entertainment,1.0,synthetic,
listen to stream learn about gene hackman now soundtrack,IAB1 Arts & Entertainment,1.0,synthetic,
is Selma Blair worth watching,IAB1 Arts & Entertainment,1.0,synthetic,
"plot of benefits of janet jackson, ‘rhythm nation’",IAB1 Arts & Entertainment,1.0,synthetic,
main actors in Viola Davis,IAB1 Arts & Entertainment,1.0,synthetic,
release date for Match Point,IAB1 Arts & Entertainment,1.0,synthetic,
listen to Rain Man soundtrack,IAB1 Arts & Entertainment,1.0,synthetic,
listen to Matthew Modine soundtrack,IAB1 Arts & Entertainment,1.0,synthetic,
