text,iab_label,confidence,source,labels
guide to tourist attraction islands,IAB20 Travel,1.0,synthetic,
learn about tourist attraction lgbt,IAB20 Travel,1.0,synthetic,
learn about tourist attraction les,IAB20 Travel,1.0,synthetic,
guide to air travel,IAB20 Travel,0.9,synthetic,
why choose tourist attraction internationalvolunteering,IAB20 Travel,0.9,synthetic,
best tourist attraction jungle tips,IAB20 Travel,0.9,synthetic,
reviews about tourist attraction fashion,IAB20 Travel,0.9,synthetic,
learn about tourist attraction culturalarchaeologicalfilmliterarybookstoretolkienmusicpop-culture,IAB20 Travel,0.9,synthetic,
how to use tourist attraction stadia,IAB20 Travel,0.9,synthetic,
benefits of tourist attraction birth,IAB20 Travel,0.9,synthetic,
learn about tourist attraction castles,IAB20 Travel,0.9,synthetic,
benefits of tourist attraction justice,IAB20 Travel,0.9,synthetic,
reviews about tourist attraction aquaria,IAB20 Travel,0.9,synthetic,
learn about tourist attraction velodromes,IAB20 Travel,0.9,synthetic,
why choose tourist attraction industrial,IAB20 Travel,0.9,synthetic,
reviews about tourist attraction beaches,IAB20 Travel,0.9,synthetic,
how to use national parks,IAB20 Travel,0.9,synthetic,
reviews about mexico & central america,IAB20 Travel,0.9,synthetic,
how to use tourist attraction darkdisasterholocaustwar,IAB20 Travel,0.9,synthetic,
best tourist attraction genealogyheritageidentity tips,IAB20 Travel,0.9,synthetic,
guide to tourist attraction adventure,IAB20 Travel,0.9,synthetic,
learn about tourist attraction landmark,IAB20 Travel,0.9,synthetic,
why choose tourist attraction alternative,IAB20 Travel,0.9,synthetic,
best tourist attraction memorials tips,IAB20 Travel,0.9,synthetic,
learn about tourist attraction garden,IAB20 Travel,0.9,synthetic,
reviews about tourist attraction nautical,IAB20 Travel,0.9,synthetic,
learn about tourist attraction festivals,IAB20 Travel,0.9,synthetic,
what is tourist attraction domestic,IAB20 Travel,0.9,synthetic,
why choose tourist attraction culinaryenotourism,IAB20 Travel,0.9,synthetic,
why choose bed & breakfasts,IAB20 Travel,0.9,synthetic,
guide to tourist attraction airshows,IAB20 Travel,0.9,synthetic,
what is tourist attraction medical,IAB20 Travel,0.9,synthetic,
how to use tourist attraction atomic,IAB20 Travel,0.9,synthetic,
introduction to australia & new zealand,IAB20 Travel,0.9,synthetic,
Europe,IAB20 Travel,0.76,subcategories,
Honeymoons/Getaways,IAB20 Travel,0.76,subcategories,
Greece,IAB20 Travel,0.76,subcategories,
France,IAB20 Travel,0.76,subcategories,
Caribbean,IAB20 Travel,0.76,subcategories,
Eastern Europe,IAB20 Travel,0.76,subcategories,
Business Travel,IAB20 Travel,0.76,subcategories,
Budget Travel,IAB20 Travel,0.76,subcategories,
Cruises,IAB20 Travel,0.76,subcategories,
By US Locale,IAB20 Travel,0.76,subcategories,
Canada,IAB20 Travel,0.76,subcategories,
Africa,IAB20 Travel,0.76,subcategories,
Adventure Travel,IAB20 Travel,0.76,subcategories,
Mexico & Central America,IAB20 Travel,0.76,subcategories,
Air Travel,IAB20 Travel,0.76,subcategories,
United Kingdom,IAB20 Travel,0.76,subcategories,
Traveling with Kids,IAB20 Travel,0.76,subcategories,
Australia & New Zealand,IAB20 Travel,0.76,subcategories,
Camping,IAB20 Travel,0.76,subcategories,
Spas,IAB20 Travel,0.76,subcategories,
South America,IAB20 Travel,0.76,subcategories,
Theme Parks,IAB20 Travel,0.76,subcategories,
National Parks,IAB20 Travel,0.76,subcategories,
Bed & Breakfasts,IAB20 Travel,0.76,subcategories,
Japan,IAB20 Travel,0.76,subcategories,
Italy,IAB20 Travel,0.76,subcategories,
Hotels,IAB20 Travel,0.76,subcategories,
Influence on Travel: Expanding Horizons and Redefining Boundaries,IAB20 Travel,0.752,synthetic,
The Role of Tourism in Promoting Peace and Understanding,IAB20 Travel,0.752,synthetic,
The Role of Tourism in Promoting Cultural Exchange,IAB20 Travel,0.7440000000000001,synthetic,
Category: Travel,IAB20 Travel,0.7440000000000001,synthetic,
The Role of Tourism in Promoting Sustainable Development,IAB20 Travel,0.7360000000000001,synthetic,
Japan's Influence on Global Travel,IAB20 Travel,0.7280000000000001,synthetic,
Adventure Travel: Exploring the Untamed Wilderness,IAB20 Travel,0.7280000000000001,synthetic,
Adventure Travel: A Thrilling Niche within the Travel Industry,IAB20 Travel,0.7280000000000001,synthetic,
The Role of Tourism in Japan's Economy,IAB20 Travel,0.7200000000000001,synthetic,
Influence on Travel: A Melting Pot of Cultures and Landscapes,IAB20 Travel,0.7200000000000001,synthetic,
Air travel is a major source of stress for many people.,IAB20 Travel,0.7200000000000001,synthetic,
Key Figures: Pioneers and Innovators in Adventure Travel,IAB20 Travel,0.7200000000000001,synthetic,
Notable Events in Japanese Travel History,IAB20 Travel,0.7120000000000001,synthetic,
gas prices wont deter july 4 travel,IAB20 Travel,0.7120000000000001,pseudo labeled,
journey noah finds rough seas,IAB20 Travel,0.7120000000000001,pseudo labeled,
bachelorette 2014 andi dorfman guys travel episode 6,IAB20 Travel,0.7120000000000001,pseudo labeled,
Tourism can play a vital role in promoting peace and understanding between different cultures.,IAB20 Travel,0.7120000000000001,synthetic,
The Impact of Tourism on Japan's Environment,IAB20 Travel,0.7120000000000001,synthetic,
kimks daughter becomes victim racial slur plane journey,IAB20 Travel,0.7120000000000001,pseudo labeled,
Mexico & Central America: A Rich Tapestry of Travel Experiences,IAB20 Travel,0.7120000000000001,synthetic,
travel chaos channel tunnel evacuation morning,IAB20 Travel,0.7120000000000001,pseudo labeled,
The Role of Tourism in Shaping Japan's National Identity,IAB20 Travel,0.7120000000000001,synthetic,
"Air travel is a major target for terrorists, who have used airplanes to carry out attacks in the past.",IAB20 Travel,0.7040000000000001,synthetic,
The cruise industry is a major force in the travel industry.,IAB20 Travel,0.7040000000000001,synthetic,
The Importance of Responsible Tourism Practices,IAB20 Travel,0.7040000000000001,synthetic,
sector movers travel stocks drop air france profit warning,IAB20 Travel,0.7040000000000001,pseudo labeled,
"Air travel has had a significant impact on the global economy, creating jobs and facilitating trade.",IAB20 Travel,0.6960000000000001,synthetic,
"The tourism industry is a major contributor to the Italian economy, accounting for over 10% of GDP.",IAB20 Travel,0.6960000000000001,synthetic,
Historical Context of Japanese Travel,IAB20 Travel,0.6960000000000001,synthetic,
localities want say transportation spending,IAB20 Travel,0.6880000000000001,pseudo labeled,
Responsible Travel: Minimizing Environmental and Social Impacts,IAB20 Travel,0.6880000000000001,synthetic,
Mexico & Central America: A Region of Endless Travel Possibilities,IAB20 Travel,0.6880000000000001,synthetic,
busy travel weekend ahead,IAB20 Travel,0.6880000000000001,pseudo labeled,
tourism vector mosquitos travelers spread viral infection,IAB20 Travel,0.6880000000000001,pseudo labeled,
planes porn racism travels biggest twitter fails,IAB20 Travel,0.6880000000000001,pseudo labeled,
tourist attraction tourism in azad jammu & kashmir,IAB20 Travel,0.68,scraped,
tourist attraction tourism in karachilist of tourist attractions in karachilist of parks and gardens in karachi,IAB20 Travel,0.68,scraped,
