text,labels,confidence,source,iab_label
desperate product amazon tweet shopping,,0.91,natural,IAB22 Shopping
woman due court accused shoplifting,,0.86,natural,IAB22 Shopping
amazon google expand sameday shopping,,0.84,natural,IAB22 Shopping
shopping amazon lets add basket items via twitter,,0.8,natural,IAB22 Shopping
saffo amazon fire phone shopping mall,,0.8,natural,IAB22 Shopping
shopping habits internet,,0.79,natural,IAB22 Shopping
shopping tips moms gifts,,0.79,natural,IAB22 Shopping
kim kardashian repeats shirt two days row shopping,,0.78,natural,IAB22 Shopping
kim kardashian shopping sisters steals kylie jenners,,0.78,natural,IAB22 Shopping
confessions shopaholic debtstruck glencore splashes caracal,,0.76,natural,IAB22 Shopping
tweet straight shopping cart,,0.76,natural,IAB22 Shopping
kim kardashian north west shopping mother baby nori givenchy,,0.76,natural,IAB22 Shopping
shopping rates,,0.76,natural,IAB22 Shopping
kim kardashian goes shopping north,,0.75,natural,IAB22 Shopping
photos dubai build worlds biggest shopping centre,,0.74,natural,IAB22 Shopping
shop online without leaving facebook,,0.74,natural,IAB22 Shopping
beyonce jay z enjoy shopping east hampton blue ivy wears pigtails,,0.74,natural,IAB22 Shopping
google delivers shopping express nyc west la,,0.74,natural,IAB22 Shopping
supermarket sweep,,0.73,natural,IAB22 Shopping
miley cyrus indulged tons online shopping hospital stay talks,,0.72,natural,IAB22 Shopping
overkill amazoncart lets shop twitter,,0.72,natural,IAB22 Shopping
kim kardashian nori shopping paris,,0.71,natural,IAB22 Shopping
shop amazon comfort twitter,,0.71,natural,IAB22 Shopping
facebook testing shopping feature hit buy ads goods,,0.7,natural,IAB22 Shopping
amazon basket links shopping twitter,,0.7,natural,IAB22 Shopping
shop facebook,,0.7,natural,IAB22 Shopping
kardashian ladies snap selfies glamorous shopping spree see,,0.7,natural,IAB22 Shopping
amazon makes room shopping tweets,,0.7,natural,IAB22 Shopping
record store day 2014 shopping guide,,0.69,natural,IAB22 Shopping
amazon fire phone lets go shopping,,0.69,natural,IAB22 Shopping
logic facebooks multibilliondollar shopping spree,,0.68,natural,IAB22 Shopping
lindsay lohans credit card gets rejected soho shopping ways,,0.68,natural,IAB22 Shopping
heres amazon dash could revolutionize shopping,,0.68,natural,IAB22 Shopping
blue ivy made friends shopping rents,,0.68,natural,IAB22 Shopping
soon shop online facebook,,0.67,natural,IAB22 Shopping
real fire amazons smartphone shopping spree,,0.67,natural,IAB22 Shopping
shopping list market pullback disney starbucks chipotle mexican grill,,0.67,natural,IAB22 Shopping
amazon links twitter shopping,,0.67,natural,IAB22 Shopping
tweet shopping order,,0.67,natural,IAB22 Shopping
beyoncé shopping apartment,,0.66,natural,IAB22 Shopping
wave goodbye shopping lists,,0.66,natural,IAB22 Shopping
google glass back publics shopping cart,,0.66,natural,IAB22 Shopping
bride kim kardashian goes shopping spree ahead kanye west,,0.66,natural,IAB22 Shopping
amazon launches shopping twitter,,0.66,natural,IAB22 Shopping
shoppers react market basket upheaval,,0.65,natural,IAB22 Shopping
macklemore denies mocking jewish stereotypes thrift shop,,0.65,natural,IAB22 Shopping
amazons fire phone takes shopping mobile,,0.65,natural,IAB22 Shopping
dubai build worlds biggest shopping centre,,0.65,natural,IAB22 Shopping
lets boycott amazon buy stuff,,0.65,natural,IAB22 Shopping
facebook integrates buy button ads test new shopping style,,0.65,natural,IAB22 Shopping
twitter amazon link shopbytweet function,,0.64,natural,IAB22 Shopping
time buy amazon,,0.64,natural,IAB22 Shopping
shop stalk facebook begins testing buy button website,,0.64,natural,IAB22 Shopping
fill amazon cart twitter,,0.64,natural,IAB22 Shopping
shop look like katie holmes cover glamour,,0.63,natural,IAB22 Shopping
google inc goog expands shopping express west la manhattan,,0.63,natural,IAB22 Shopping
shop amazon twitter feed,,0.63,natural,IAB22 Shopping
target faces identity crisis looks find place world retailing,,0.63,natural,IAB22 Shopping
The influence of engines on the shopping experience is likely to continue to grow in the years to come.,,0.62,synthetic,IAB22 Shopping
take mom shopping mothers day krystle dsouza,,0.62,natural,IAB22 Shopping
hey amazon lovers shop til drop twitter,,0.62,natural,IAB22 Shopping
mila kunis brand new baby bump go shopping together,,0.62,natural,IAB22 Shopping
amazon launches shopping via twitter,,0.61,natural,IAB22 Shopping
google shopping express android,,0.61,natural,IAB22 Shopping
google shopping express takes amazon sameday delivery la,,0.61,natural,IAB22 Shopping
amazon dash kindle online grocery shopping,,0.61,natural,IAB22 Shopping
rex going mall,,0.61,natural,IAB22 Shopping
amazon new shopping tieup twitter,,0.6,natural,IAB22 Shopping
lindsay lohans credit cards declined shopping nyc,,0.6,natural,IAB22 Shopping
dubai build worlds biggest shopping center,,0.6,natural,IAB22 Shopping
shop dvfs google glass frames available,,0.6,natural,IAB22 Shopping
facebook tests button let people shop website,,0.59,natural,IAB22 Shopping
twitter facebook square shoppers,,0.59,natural,IAB22 Shopping
amazon says shop somewh,,0.59,natural,IAB22 Shopping
amazon launches dash magic wand shopping,,0.58,natural,IAB22 Shopping
google expands sameday shopping express delivery service manhattan,,0.58,natural,IAB22 Shopping
kim kardashian changes two dresses paris shopping spree,,0.58,natural,IAB22 Shopping
amazon fire phone knocked shopping machine game changer,,0.58,natural,IAB22 Shopping
goog google expands sameday shopping two cities,,0.57,natural,IAB22 Shopping
Current trends in the development of engines are shaping the future of online shopping.,,0.57,synthetic,IAB22 Shopping
google expanding shopping service manhattan west la,,0.57,natural,IAB22 Shopping
kim kardashian goes shopping daughter north ahead wedding,,0.56,natural,IAB22 Shopping
google shopping express sameday delivery service expands west la,,0.56,natural,IAB22 Shopping
buy stuff amazon twitter,,0.56,natural,IAB22 Shopping
amazon shopping hashtags wont boon twitter,,0.56,natural,IAB22 Shopping
kim kardashian shopping bigger apartment nyc source says,,0.56,natural,IAB22 Shopping
google shopping offering free sameday delivery manhattan,,0.55,natural,IAB22 Shopping
sale schumacher medical file disgusting manager,,0.55,natural,IAB22 Shopping
google shopping express samedaydelivery service expands,,0.55,natural,IAB22 Shopping
manager says shop early,,0.55,natural,IAB22 Shopping
amazons new twitter hashtag puts items shopping cart,,0.54,natural,IAB22 Shopping
amazons fire phone made shopping,,0.54,natural,IAB22 Shopping
medical notes michael schumacher stolen documents offered sale,,0.54,natural,IAB22 Shopping
kim kardashian goes prewedding shopping spree,,0.54,natural,IAB22 Shopping
facebook may let users shop website,,0.54,natural,IAB22 Shopping
prom bridal dress shopping online beware,,0.54,natural,IAB22 Shopping
new amazoncart hashtag brings gear shopping twitter,,0.54,natural,IAB22 Shopping
shopping site ebay warns users change passwords database hit,,0.54,natural,IAB22 Shopping
google shopping launches sameday delivery las westside,,0.54,natural,IAB22 Shopping
starbucks hook wireless charging stations shops,,0.53,natural,IAB22 Shopping
"Engines have made a significant impact on the shopping experience, making it easier, faster, and more convenient for consumers to find and purchase products.",,0.53,synthetic,IAB22 Shopping
partys kids abercrombie fitch returns retail 101,,0.53,natural,IAB22 Shopping
"Future possibilities for engines include the development of personalized search experiences and the use of engines to power new shopping experiences, such as augmented reality (AR) and virtual reality (VR) shopping.",,0.53,synthetic,IAB22 Shopping
attention target shoppers leave guns home,,0.53,natural,IAB22 Shopping
facebook buys oculus zuck shopaholic,,0.53,natural,IAB22 Shopping
subanchor 80 chinese online shopping dominated alibaba,,0.53,natural,IAB22 Shopping
michael schumacher medical documents stolen offered sale medical,,0.53,natural,IAB22 Shopping
miley cyrus recuperated hospital stay shopping,,0.53,natural,IAB22 Shopping
google shopping express making masterful play amazons customers,,0.52,natural,IAB22 Shopping
khloe kardashian stripes prewedding shopping spree fam,,0.52,natural,IAB22 Shopping
