text,iab_label,confidence,source,labels
why choose religion srikula,IAB23 Religion & Spirituality,1.0,synthetic,
why choose religion warao religion,IAB23 Religion & Spirituality,1.0,synthetic,
best religion tairona religion tips,IAB23 Religion & Spirituality,1.0,synthetic,
learn about religion christian identity,IAB23 Religion & Spirituality,1.0,synthetic,
why choose religion gafatar,IAB23 Religion & Spirituality,1.0,synthetic,
how to use religion evangelical anglicanism,IAB23 Religion & Spirituality,1.0,synthetic,
best religion wotansvolk tips,IAB23 Religion & Spirituality,1.0,synthetic,
learn about religion omaha religion,IAB23 Religion & Spirituality,1.0,synthetic,
what is religion subud,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion yoga (philosophy),IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion gardnerian wicca,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion bell religion,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion lobi animism,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion messianic judaism,IAB23 Religion & Spirituality,0.9,synthetic,
guide to religion lurianic kabbalah,IAB23 Religion & Spirituality,0.9,synthetic,
best religion espiritismo tips,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion atba-i-malak vakil,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion caodaism,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion mbole religion,IAB23 Religion & Spirituality,0.9,synthetic,
best religion omnism tips,IAB23 Religion & Spirituality,0.9,synthetic,
what is religion himba religion,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion mahima dharma,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion daesun jinrihoe,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion koore religion,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion krama,IAB23 Religion & Spirituality,0.9,synthetic,
best religion czech brethren tips,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion tensegrity,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion kaharingan,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion kam religion,IAB23 Religion & Spirituality,0.9,synthetic,
best religion suika tips,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion temuan religion,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion tengir ordo,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion maturidihanafibarelvideobandigedimu,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion open-source religion,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion suomenusko,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion kashmir shaivism,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion progressive christianity,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion jingukyo,IAB23 Religion & Spirituality,0.9,synthetic,
guide to religion christian science,IAB23 Religion & Spirituality,0.9,synthetic,
best religion dōkai tips,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion mina,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion aymara religion,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion ni'matullāhī,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion cultural muslims,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion saminism movement,IAB23 Religion & Spirituality,0.9,synthetic,
what is religion nyakyusa religion,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion dongba,IAB23 Religion & Spirituality,0.9,synthetic,
guide to religion nung religion,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion kurozumikyō,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion huna,IAB23 Religion & Spirituality,0.9,synthetic,
guide to religion mazdakism(historical)mazdaznan,IAB23 Religion & Spirituality,0.9,synthetic,
guide to religion neo-advaita,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion otokan linerinzai,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion jingi tiu,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion shangpa kagyu,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion adidam,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion syro-malabar church,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion zealots (judea)sicarii,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion semang animism,IAB23 Religion & Spirituality,0.9,synthetic,
best religion mixe religion tips,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion rejang religion,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion mexicayotl,IAB23 Religion & Spirituality,0.9,synthetic,
what is religion balondo religion,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion liberal theism,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion feraferia,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion bektashism,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion aguaruna religion,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion neo-calvinism,IAB23 Religion & Spirituality,0.9,synthetic,
best religion yuzu nembutsu tips,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion bushongo religion,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion batriyya,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion black theology,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion yarsanism,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion lisu religion,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion muismgasin faith,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion rangfrah,IAB23 Religion & Spirituality,0.9,synthetic,
best religion blackfoot religion tips,IAB23 Religion & Spirituality,0.9,synthetic,
"what is religion amyraldism(a.k.a.""four-point calvinism"")",IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion russell's teapot,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion paulicianism,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion eventualism,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion five-percent nation,IAB23 Religion & Spirituality,0.9,synthetic,
best religion carolinian religion tips,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion karaite judaism,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion jadid,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion aztec religion,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion commandment keepers,IAB23 Religion & Spirituality,0.9,synthetic,
best religion indonesian confucianism tips,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion illinois religion,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion black shamanism,IAB23 Religion & Spirituality,0.9,synthetic,
best religion bokononism tips,IAB23 Religion & Spirituality,0.9,synthetic,
guide to religion umbanda,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion arará,IAB23 Religion & Spirituality,0.9,synthetic,
guide to religion eckankar,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion q'eqchi' religion,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion mapuche religion,IAB23 Religion & Spirituality,0.9,synthetic,
introduction to religion vattisen yaly,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion meivazhi,IAB23 Religion & Spirituality,0.9,synthetic,
why choose religion tampuan animism,IAB23 Religion & Spirituality,0.9,synthetic,
what is religion toda religion,IAB23 Religion & Spirituality,0.9,synthetic,
what is religion peterburgian vedism,IAB23 Religion & Spirituality,0.9,synthetic,
learn about religion practical atheism,IAB23 Religion & Spirituality,0.9,synthetic,
reviews about religion myal,IAB23 Religion & Spirituality,0.9,synthetic,
benefits of religion elcesaites,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion religious humanism,IAB23 Religion & Spirituality,0.9,synthetic,
best religion jōdo-shūchinzei tips,IAB23 Religion & Spirituality,0.9,synthetic,
how to use religion taensa religion,IAB23 Religion & Spirituality,0.9,synthetic,
latest news on religion frankism,IAB23 Religion & Spirituality,0.9,synthetic,
what is religion roshani,IAB23 Religion & Spirituality,0.9,synthetic,
