text,iab_label,confidence,source,labels
1500 valves fukushima plant still untagged,IAB24 Uncategorized,0.93,pseudo labeled,
ecb nothing,IAB24 Uncategorized,0.88,pseudo labeled,
bubonic plague survivor dies unrelated illness,IAB24 Uncategorized,0.88,pseudo labeled,
climate change nothing nothing,IAB24 Uncategorized,0.88,pseudo labeled,
actually latest beyoncé scandal isnt scandal,IAB24 Uncategorized,0.87,pseudo labeled,
san diego comic con irrelevant,IAB24 Uncategorized,0.86,pseudo labeled,
miscellaneous slow fire,IAB24 Uncategorized,0.85,scraped,
miscellaneous reference desk,IAB24 Uncategorized,0.85,scraped,
miscellaneous reference management software,IAB24 Uncategorized,0.85,scraped,
miscellaneous registrar,IAB24 Uncategorized,0.85,scraped,
miscellaneous research methods,IAB24 Uncategorized,0.85,scraped,
miscellaneous medical toxicology,IAB24 Uncategorized,0.85,scraped,
miscellaneous special library,IAB24 Uncategorized,0.85,scraped,
miscellaneous records management,IAB24 Uncategorized,0.85,scraped,
miscellaneous music therapy,IAB24 Uncategorized,0.85,scraped,
miscellaneous nursing,IAB24 Uncategorized,0.85,scraped,
miscellaneous reference,IAB24 Uncategorized,0.85,scraped,
miscellaneous prospect research,IAB24 Uncategorized,0.85,scraped,
miscellaneous readers' advisory,IAB24 Uncategorized,0.85,scraped,
miscellaneous citation analysis,IAB24 Uncategorized,0.85,scraped,
miscellaneous sleep medicine,IAB24 Uncategorized,0.85,scraped,
miscellaneous object conservation,IAB24 Uncategorized,0.85,scraped,
miscellaneous museum educationmuseum administration,IAB24 Uncategorized,0.85,scraped,
miscellaneous museology,IAB24 Uncategorized,0.85,scraped,
miscellaneous ethics,IAB24 Uncategorized,0.85,scraped,
miscellaneous proposal,IAB24 Uncategorized,0.85,scraped,
miscellaneous question,IAB24 Uncategorized,0.85,scraped,
miscellaneous writingargumentreferencing,IAB24 Uncategorized,0.85,scraped,
miscellaneous cytohematology,IAB24 Uncategorized,0.85,scraped,
miscellaneous surgerybariatric surgerycardiothoracic surgeryneurosurgeryorthopticsorthopedic surgeryplastic surgerytrauma surgerytraumatology,IAB24 Uncategorized,0.85,scraped,
miscellaneous speech–language pathology,IAB24 Uncategorized,0.85,scraped,
miscellaneous sports medicine,IAB24 Uncategorized,0.85,scraped,
miscellaneous radiology,IAB24 Uncategorized,0.85,scraped,
miscellaneous recreational therapy,IAB24 Uncategorized,0.85,scraped,
miscellaneous rehabilitation medicine,IAB24 Uncategorized,0.85,scraped,
miscellaneous respiratory therapy,IAB24 Uncategorized,0.85,scraped,
hello kitty isnt cat apparently,IAB24 Uncategorized,0.85,pseudo labeled,
miscellaneous oral and maxillofacial surgery,IAB24 Uncategorized,0.85,scraped,
miscellaneous implantology,IAB24 Uncategorized,0.85,scraped,
miscellaneous endodontics,IAB24 Uncategorized,0.85,scraped,
miscellaneous dental surgery,IAB24 Uncategorized,0.85,scraped,
miscellaneous dental hygieneandepidemiology,IAB24 Uncategorized,0.85,scraped,
miscellaneous clinical microbiology,IAB24 Uncategorized,0.85,scraped,
miscellaneous clinical immunology,IAB24 Uncategorized,0.85,scraped,
miscellaneous haemostasiology,IAB24 Uncategorized,0.85,scraped,
miscellaneous nutrition(outline) anddietetics,IAB24 Uncategorized,0.85,scraped,
miscellaneous cytology(outline),IAB24 Uncategorized,0.85,scraped,
miscellaneous cytogenetics,IAB24 Uncategorized,0.85,scraped,
miscellaneous clinical biochemistry,IAB24 Uncategorized,0.85,scraped,
miscellaneous veterinary medicine,IAB24 Uncategorized,0.85,scraped,
miscellaneous urologyandrology,IAB24 Uncategorized,0.85,scraped,
miscellaneous traditional medicine,IAB24 Uncategorized,0.85,scraped,
miscellaneous referencing,IAB24 Uncategorized,0.85,scraped,
miscellaneous argument,IAB24 Uncategorized,0.85,scraped,
miscellaneous library classification,IAB24 Uncategorized,0.85,scraped,
miscellaneous preservation,IAB24 Uncategorized,0.85,scraped,
miscellaneous multimethodology,IAB24 Uncategorized,0.85,scraped,
miscellaneous television studies,IAB24 Uncategorized,0.85,scraped,
miscellaneous acting,IAB24 Uncategorized,0.85,scraped,
miscellaneous administrative law,IAB24 Uncategorized,0.85,scraped,
miscellaneous canon law,IAB24 Uncategorized,0.85,scraped,
miscellaneous civil lawadmiralty lawanimal law/animal rightscivil procedurecommon lawcontract lawcorporationsenvironmental lawfamily lawfederal lawinternational lawpublic international lawsupranational lawlabor lawproperty lawtax lawtort law(outline),IAB24 Uncategorized,0.85,scraped,
miscellaneous comparative law,IAB24 Uncategorized,0.85,scraped,
miscellaneous competition law,IAB24 Uncategorized,0.85,scraped,
miscellaneous constitutional law,IAB24 Uncategorized,0.85,scraped,
miscellaneous criminal lawcriminal justice(outline)criminal procedureforensic science(outline)police science,IAB24 Uncategorized,0.85,scraped,
miscellaneous islamic law,IAB24 Uncategorized,0.85,scraped,
miscellaneous jewish law(outline),IAB24 Uncategorized,0.85,scraped,
miscellaneous jurisprudence(philosophy of law),IAB24 Uncategorized,0.85,scraped,
miscellaneous legal management (academic discipline)commercial lawcorporate law,IAB24 Uncategorized,0.85,scraped,
miscellaneous procedural law,IAB24 Uncategorized,0.85,scraped,
miscellaneous substantive law,IAB24 Uncategorized,0.85,scraped,
miscellaneous admiralty law,IAB24 Uncategorized,0.85,scraped,
miscellaneous animal law/animal rights,IAB24 Uncategorized,0.85,scraped,
miscellaneous civil procedure,IAB24 Uncategorized,0.85,scraped,
miscellaneous contract law,IAB24 Uncategorized,0.85,scraped,
miscellaneous corporations,IAB24 Uncategorized,0.85,scraped,
miscellaneous southern literature,IAB24 Uncategorized,0.85,scraped,
miscellaneous history of dance,IAB24 Uncategorized,0.85,scraped,
miscellaneous dermatology,IAB24 Uncategorized,0.85,scraped,
miscellaneous statistical classification,IAB24 Uncategorized,0.85,scraped,
miscellaneous geriatrics,IAB24 Uncategorized,0.85,scraped,
miscellaneous occupational hygiene,IAB24 Uncategorized,0.85,scraped,
miscellaneous scientific classification,IAB24 Uncategorized,0.85,scraped,
miscellaneous internal medicinecardiologycardiac electrophysiologyendocrinologygastroenterologyhepatologynephrologyneurologyoncologypulmonologyrheumatology,IAB24 Uncategorized,0.85,scraped,
miscellaneous intensive care medicine,IAB24 Uncategorized,0.85,scraped,
miscellaneous infectious disease,IAB24 Uncategorized,0.85,scraped,
miscellaneous holistic medicine,IAB24 Uncategorized,0.85,scraped,
miscellaneous hematology,IAB24 Uncategorized,0.85,scraped,
miscellaneous health informatics/clinical informatics,IAB24 Uncategorized,0.85,scraped,
miscellaneous gynaecology,IAB24 Uncategorized,0.85,scraped,
miscellaneous epidemiology,IAB24 Uncategorized,0.85,scraped,
miscellaneous security classification,IAB24 Uncategorized,0.85,scraped,
miscellaneous taxonomic classification,IAB24 Uncategorized,0.85,scraped,
miscellaneous emergency medicine(outline),IAB24 Uncategorized,0.85,scraped,
miscellaneous dentistry(outline)dental hygieneandepidemiologydental surgeryendodonticsimplantologyoral and maxillofacial surgeryorthodonticsperiodonticsprosthodontics,IAB24 Uncategorized,0.85,scraped,
miscellaneous clinical physiology,IAB24 Uncategorized,0.85,scraped,
miscellaneous clinical laboratory sciences/clinical pathology/laboratory medicineclinical biochemistrycytogeneticscytohematologycytology(outline)haemostasiologyhistologyclinical immunologyclinical microbiologymolecular geneticsparasitology,IAB24 Uncategorized,0.85,scraped,
miscellaneous audiology,IAB24 Uncategorized,0.85,scraped,
miscellaneous alternative medicine,IAB24 Uncategorized,0.85,scraped,
miscellaneous museum administration,IAB24 Uncategorized,0.85,scraped,
miscellaneous film classification,IAB24 Uncategorized,0.85,scraped,
