text,iab_label,confidence,source,labels
introduction to car culture,IAB2 Automotive,1.0,synthetic,
best buying/selling cars tips,IAB2 Automotive,1.0,synthetic,
why choose mustang turns 50,IAB2 Automotive,1.0,synthetic,
why choose vintage cars,IAB2 Automotive,0.9,synthetic,
latest news on 2015 volkswagen jetta,IAB2 Automotive,0.9,synthetic,
why choose mustang 50th birthday,IAB2 Automotive,0.9,synthetic,
latest news on 2015 volkwagen jetta,IAB2 Automotive,0.9,synthetic,
guide to road-side assistance,IAB2 Automotive,0.9,synthetic,
best electric vehicle tips,IAB2 Automotive,0.9,synthetic,
best 2014 cadillac elr tips,IAB2 Automotive,0.9,synthetic,
why choose auto parts,IAB2 Automotive,0.9,synthetic,
latest news on certified pre-owned,IAB2 Automotive,0.9,synthetic,
how to use cadillac elr,IAB2 Automotive,0.9,synthetic,
reviews about auto repair,IAB2 Automotive,0.9,synthetic,
what is toyota camry,IAB2 Automotive,0.9,synthetic,
learn about off-road vehicles,IAB2 Automotive,0.9,synthetic,
introduction to performance vehicles,IAB2 Automotive,0.9,synthetic,
Auto Repair,IAB2 Automotive,0.76,subcategories,
Hatchback,IAB2 Automotive,0.76,subcategories,
Diesel,IAB2 Automotive,0.76,subcategories,
Crossover,IAB2 Automotive,0.76,subcategories,
Wagon,IAB2 Automotive,0.76,subcategories,
Coupe,IAB2 Automotive,0.76,subcategories,
Convertible,IAB2 Automotive,0.76,subcategories,
Certified Pre-Owned,IAB2 Automotive,0.76,subcategories,
Mororcycles,IAB2 Automotive,0.76,subcategories,
Car Culture,IAB2 Automotive,0.76,subcategories,
Hybrid,IAB2 Automotive,0.76,subcategories,
Electric Vehicle,IAB2 Automotive,0.76,subcategories,
MiniVan,IAB2 Automotive,0.76,subcategories,
Sedan,IAB2 Automotive,0.76,subcategories,
Luxury,IAB2 Automotive,0.76,subcategories,
Off-Road Vehicles,IAB2 Automotive,0.76,subcategories,
Trucks & Accessories,IAB2 Automotive,0.76,subcategories,
Auto Parts,IAB2 Automotive,0.76,subcategories,
Vintage Cars,IAB2 Automotive,0.76,subcategories,
Road-Side Assistance,IAB2 Automotive,0.76,subcategories,
Pickup,IAB2 Automotive,0.76,subcategories,
Performance Vehicles,IAB2 Automotive,0.76,subcategories,
Buying/Selling Cars,IAB2 Automotive,0.76,subcategories,
hard hit camaro key turn,IAB2 Automotive,0.752,pseudo labeled,
fiat sinks red q1,IAB2 Automotive,0.7440000000000001,pseudo labeled,
Influence on Automotive Design and Engineering,IAB2 Automotive,0.7440000000000001,synthetic,
gm recall crisis lesson auto industry,IAB2 Automotive,0.7440000000000001,pseudo labeled,
The automotive industry has been a major driver of economic growth and innovation throughout the world.,IAB2 Automotive,0.7360000000000001,synthetic,
2014 cadillac elr,IAB2 Automotive,0.7280000000000001,pseudo labeled,
Auto repair is a challenging but rewarding field that offers opportunities for career growth and the satisfaction of helping others.,IAB2 Automotive,0.7280000000000001,synthetic,
cadillac elr,IAB2 Automotive,0.7280000000000001,pseudo labeled,
mustang turns 50,IAB2 Automotive,0.7280000000000001,pseudo labeled,
video cadillac elr v chevy volt smoking tire,IAB2 Automotive,0.7200000000000001,pseudo labeled,
mustang celebrating 50th birthday,IAB2 Automotive,0.7200000000000001,pseudo labeled,
burglary miley cyrus house maserati stolen,IAB2 Automotive,0.7200000000000001,pseudo labeled,
"The automotive industry is a major global industry that produces and sells motor vehicles, including cars, trucks, buses, and motorcycles.",IAB2 Automotive,0.7120000000000001,synthetic,
miley cyrus maserati stolen burglary,IAB2 Automotive,0.7120000000000001,pseudo labeled,
2015 volkwagen jetta,IAB2 Automotive,0.7120000000000001,pseudo labeled,
2015 volkswagen jetta,IAB2 Automotive,0.7120000000000001,pseudo labeled,
fiat chrysler boss pumps magic gas tank,IAB2 Automotive,0.7120000000000001,pseudo labeled,
hot executive revive acura,IAB2 Automotive,0.7040000000000001,pseudo labeled,
jeep grand cherokee srt8 lives 300 srt8,IAB2 Automotive,0.7040000000000001,pseudo labeled,
Key Figures: Pioneers of Automotive Innovation,IAB2 Automotive,0.7040000000000001,synthetic,
ford rolling 50 year mustang,IAB2 Automotive,0.7040000000000001,pseudo labeled,
toyota camry,IAB2 Automotive,0.7040000000000001,pseudo labeled,
toyota valuable auto brand,IAB2 Automotive,0.7040000000000001,pseudo labeled,
2014 cadillac cts right stuff,IAB2 Automotive,0.7040000000000001,pseudo labeled,
miley cyrus maserati quattroporte got stolen,IAB2 Automotive,0.7040000000000001,pseudo labeled,
2015 corvette z06 convertible big nasty drops top,IAB2 Automotive,0.7040000000000001,pseudo labeled,
"The buying and selling of cars is a key part of the automotive industry, and it has a significant impact on the economy.",IAB2 Automotive,0.7040000000000001,synthetic,
chrysler bmw others surge big may auto sales,IAB2 Automotive,0.7040000000000001,pseudo labeled,
lucky woman miley cyrus stolen maserati found,IAB2 Automotive,0.6960000000000001,pseudo labeled,
miley cyrus maserati stolen home,IAB2 Automotive,0.6960000000000001,pseudo labeled,
auto recalls time chrysler ford,IAB2 Automotive,0.6960000000000001,pseudo labeled,
corvette vs 911 rivalry rage forever,IAB2 Automotive,0.6960000000000001,pseudo labeled,
mustang 50th birthday,IAB2 Automotive,0.6960000000000001,pseudo labeled,
jeep ram tow fiat chrysler 50th straight sales gain,IAB2 Automotive,0.6960000000000001,pseudo labeled,
camaro switch glitch cited,IAB2 Automotive,0.6960000000000001,pseudo labeled,
mustang celebrates 50 years,IAB2 Automotive,0.6960000000000001,pseudo labeled,
fiat chrysler continues us sales increase streak,IAB2 Automotive,0.6960000000000001,pseudo labeled,
2015 corvette z06 convertible,IAB2 Automotive,0.6960000000000001,pseudo labeled,
lawsuit defect test automakers protection legal claims,IAB2 Automotive,0.6960000000000001,pseudo labeled,
2015 ford mustang convertible atop empire state building,IAB2 Automotive,0.6960000000000001,pseudo labeled,
2015 vw jetta superefficient toyota engines new york auto show todays,IAB2 Automotive,0.6960000000000001,pseudo labeled,
major auto recall mazda honda nissan,IAB2 Automotive,0.6960000000000001,pseudo labeled,
didnt take long another automaker make fun cadillacs poolside ad,IAB2 Automotive,0.6960000000000001,pseudo labeled,
auto manufacturer stocks tesla motors nasdaqtsla kandi technologies,IAB2 Automotive,0.6960000000000001,pseudo labeled,
miley cyrus stolen maserati found investigation continues,IAB2 Automotive,0.6960000000000001,pseudo labeled,
Historical Context: The Birth of the Automobile,IAB2 Automotive,0.6880000000000001,synthetic,
miley cyrus maserati stolen north hollywood home,IAB2 Automotive,0.6880000000000001,pseudo labeled,
2015 corvette z06 convertible revealed photovideo,IAB2 Automotive,0.6880000000000001,pseudo labeled,
2014 ford mustang gt overview,IAB2 Automotive,0.6880000000000001,pseudo labeled,
miley cyrus stolen maserati found,IAB2 Automotive,0.6880000000000001,pseudo labeled,
ford f150 pickup tops list americanmade,IAB2 Automotive,0.6880000000000001,pseudo labeled,
"The buying and selling of cars is a key part of the automotive industry, and it is likely to continue to evolve in the years to come.",IAB2 Automotive,0.6880000000000001,synthetic,
truck drive mercedes shows self driving system,IAB2 Automotive,0.6880000000000001,pseudo labeled,
2015 corvette z06 convertible inevitable,IAB2 Automotive,0.6880000000000001,pseudo labeled,
mercedesbenz g63 amg 6x6 gets stuck beach happened,IAB2 Automotive,0.68,pseudo labeled,
flextronics automotive group provides engineering support new jeep,IAB2 Automotive,0.68,pseudo labeled,
new 2015 camry ready take comers,IAB2 Automotive,0.68,pseudo labeled,
ford f150 chevrolet corvette dodge viper american vehicles america,IAB2 Automotive,0.68,pseudo labeled,
recent happenings auto industry tesla motors inc nasdaqtsla ford,IAB2 Automotive,0.68,pseudo labeled,
cadillac introduce wireless charging,IAB2 Automotive,0.68,pseudo labeled,
video ford mustang turns 50 today,IAB2 Automotive,0.68,pseudo labeled,
new york auto show jaguar f type alfa romeo dodge,IAB2 Automotive,0.68,pseudo labeled,
ford mustang proudly sitting atop empire state building pictures,IAB2 Automotive,0.68,pseudo labeled,
new cadillacs offer wireless phone charging,IAB2 Automotive,0.68,pseudo labeled,
fiat 500l recalled faulty knee airbags,IAB2 Automotive,0.68,pseudo labeled,
porsche tops jd power quality survey,IAB2 Automotive,0.68,pseudo labeled,
google android developers show 2014 android auto automobiles,IAB2 Automotive,0.68,pseudo labeled,
2015 jeep renegade close,IAB2 Automotive,0.68,pseudo labeled,
earnings toyota motor expected fall,IAB2 Automotive,0.68,pseudo labeled,
camaro wishes mustang happy 50th birthday,IAB2 Automotive,0.68,pseudo labeled,
ipo preview truecar true,IAB2 Automotive,0.68,pseudo labeled,
someone stole miley cyrus maserati,IAB2 Automotive,0.68,pseudo labeled,
tesla motors musk auto industry patents belong,IAB2 Automotive,0.68,pseudo labeled,
still another recall general motors time camaro,IAB2 Automotive,0.68,pseudo labeled,
miley cyrus stolen maserati found days burglary,IAB2 Automotive,0.68,pseudo labeled,
mustang birthday,IAB2 Automotive,0.68,pseudo labeled,
android auto simplified android car,IAB2 Automotive,0.672,pseudo labeled,
editorial toyota loss latest example failed leadership,IAB2 Automotive,0.672,pseudo labeled,
chrysler 690m,IAB2 Automotive,0.672,pseudo labeled,
mileys maserati stolen,IAB2 Automotive,0.672,pseudo labeled,
google becoming car manufacturer,IAB2 Automotive,0.672,pseudo labeled,
paul walkers accident investigators say porsche carrera gt 93 mph,IAB2 Automotive,0.672,pseudo labeled,
miley cyruss 61000 maserati quattroporte stolen,IAB2 Automotive,0.672,pseudo labeled,
new volkswagen jetta promises improved efficiency safety,IAB2 Automotive,0.672,pseudo labeled,
fiat chryslers 5year plan americans,IAB2 Automotive,0.672,pseudo labeled,
2015 ford mustang convertible recreate empire state building stunt,IAB2 Automotive,0.672,pseudo labeled,
fiat shares sink plan financing,IAB2 Automotive,0.672,pseudo labeled,
auto sales,IAB2 Automotive,0.672,pseudo labeled,
The pickup truck is a testament to the ingenuity and adaptability of the automotive industry.,IAB2 Automotive,0.672,synthetic,
fiat chrysler shares plunge poor results,IAB2 Automotive,0.672,pseudo labeled,
motorolas next handset roll may,IAB2 Automotive,0.672,pseudo labeled,
2015 volkswagen jetta first look,IAB2 Automotive,0.672,pseudo labeled,
batman arkham knight batmobile car tank,IAB2 Automotive,0.672,pseudo labeled,
take ford mustang turns 50,IAB2 Automotive,0.664,pseudo labeled,
omg french bought khloe jeep 30th birthday,IAB2 Automotive,0.664,pseudo labeled,
gm recalling camaro,IAB2 Automotive,0.664,pseudo labeled,
2015 cadillac ats feature wireless smartphone charging,IAB2 Automotive,0.664,pseudo labeled,
miley cyrus stolen maserati found simi valley police say,IAB2 Automotive,0.664,pseudo labeled,
tmobile faces accusations,IAB2 Automotive,0.664,pseudo labeled,
fiat chryslers 5year plan italians,IAB2 Automotive,0.664,pseudo labeled,
perfect formula consumer reports ranks bmw m235i porsche 911,IAB2 Automotive,0.664,pseudo labeled,
obamas robot pal tapped honda driverlessauto edge cars,IAB2 Automotive,0.664,pseudo labeled,
fords mustang turns 50,IAB2 Automotive,0.664,pseudo labeled,
auto boom continues big 3 despite numbers,IAB2 Automotive,0.664,pseudo labeled,
fiat chrysler automobiles headquartered italy us,IAB2 Automotive,0.664,pseudo labeled,
teslas new model called model 3,IAB2 Automotive,0.664,pseudo labeled,
2014 jeep cherokee review,IAB2 Automotive,0.664,pseudo labeled,
2015 jeep renegade capablemighty capable,IAB2 Automotive,0.664,pseudo labeled,
burglars stole miley cyruss new maserati,IAB2 Automotive,0.664,pseudo labeled,
google brings android car android auto,IAB2 Automotive,0.664,pseudo labeled,
fiat chrysler posts small profit special charge,IAB2 Automotive,0.664,pseudo labeled,
"The automotive industry is facing a number of challenges, but it is expected to continue to grow in the coming years.",IAB2 Automotive,0.664,synthetic,
chrysler dropping minivan avenger dodge,IAB2 Automotive,0.664,pseudo labeled,
miley cyrus stolen maserati located police,IAB2 Automotive,0.664,pseudo labeled,
miley cyrus los angeles mansion burglarized new maserati,IAB2 Automotive,0.664,pseudo labeled,
fiat chrysler lays global push,IAB2 Automotive,0.664,pseudo labeled,
meet corvette z06 convertible,IAB2 Automotive,0.664,pseudo labeled,
volvo audi roll android autoenabled cars year,IAB2 Automotive,0.656,pseudo labeled,
fiat chrysler automobiles earns shareholder approval,IAB2 Automotive,0.656,pseudo labeled,
miley cyrus stolen maserati recovered police,IAB2 Automotive,0.656,pseudo labeled,
fords fields follows legend leaving automaker prime,IAB2 Automotive,0.656,pseudo labeled,
mustang turns half century,IAB2 Automotive,0.656,pseudo labeled,
chrysler issues minivan recall,IAB2 Automotive,0.656,pseudo labeled,
honda mazda nissan recall autos airbag issue,IAB2 Automotive,0.656,pseudo labeled,
google appears heading car business,IAB2 Automotive,0.656,pseudo labeled,
buick shaking recall stigma ease enjoying sales growth,IAB2 Automotive,0.656,pseudo labeled,
ford cadillac theres another america,IAB2 Automotive,0.656,pseudo labeled,
"The automotive industry is constantly evolving, and the way that cars are bought and sold is changing as well.",IAB2 Automotive,0.656,synthetic,
extra scoop miley cyrus stolen maserati found,IAB2 Automotive,0.656,pseudo labeled,
commence burnouts 2015 mustang gt gets standard line lock,IAB2 Automotive,0.656,pseudo labeled,
fiat chrysler relaunch alfa romeo,IAB2 Automotive,0.656,pseudo labeled,
2015 mercedesbenz gla45 amg first drive,IAB2 Automotive,0.656,pseudo labeled,
mustang conquered america,IAB2 Automotive,0.656,pseudo labeled,
fiat shares lower doubts capital structure fiat chrysler automobiles,IAB2 Automotive,0.656,pseudo labeled,
auto sales 2 percent march chrysler jeep leading pack,IAB2 Automotive,0.656,pseudo labeled,
output indian ambassador car halted,IAB2 Automotive,0.6480000000000001,pseudo labeled,
fords new ad tweaks cadillac theyre making point,IAB2 Automotive,0.6480000000000001,pseudo labeled,
automakers dynamite march,IAB2 Automotive,0.6480000000000001,pseudo labeled,
jeep renegade arrives china beijing auto show,IAB2 Automotive,0.6480000000000001,pseudo labeled,
air bag recall spreads automakers,IAB2 Automotive,0.6480000000000001,pseudo labeled,
next cadillac srx built former saturn factory,IAB2 Automotive,0.6480000000000001,pseudo labeled,
2015 vw jetta makes global debut new york auto show,IAB2 Automotive,0.6480000000000001,pseudo labeled,
video mercedesbenz amg gt spied ring,IAB2 Automotive,0.6480000000000001,pseudo labeled,
someone stole miley cyrus maserati quattroporte,IAB2 Automotive,0.6480000000000001,pseudo labeled,
mustang celebrates milestone atop empire state building,IAB2 Automotive,0.6480000000000001,pseudo labeled,
cadillacs new wireless charging probably wont work phone,IAB2 Automotive,0.6480000000000001,pseudo labeled,
police found miley cyrus stolen maserati youre hook,IAB2 Automotive,0.6480000000000001,pseudo labeled,
investors rev engines truecars ipo true,IAB2 Automotive,0.6480000000000001,pseudo labeled,
halo effect ford mustang turns 50,IAB2 Automotive,0.6480000000000001,pseudo labeled,
may auto sales canada chrysler ford,IAB2 Automotive,0.6480000000000001,pseudo labeled,
tesla tsla doesnt crack top 50 mostvaluable auto brands f gm,IAB2 Automotive,0.6480000000000001,pseudo labeled,
car industry struggles solve air bag explosions,IAB2 Automotive,0.6480000000000001,pseudo labeled,
2015 mercedes mclass facelift rendered,IAB2 Automotive,0.6480000000000001,pseudo labeled,
better watch guys car,IAB2 Automotive,0.6480000000000001,pseudo labeled,
google brings android os car android auto,IAB2 Automotive,0.6480000000000001,pseudo labeled,
official report paul walker crashed porsche driving 94 mph,IAB2 Automotive,0.6480000000000001,pseudo labeled,
"Auto repair has a significant influence on the automotive industry by ensuring the safety and reliability of vehicles, reducing downtime, and enhancing customer satisfaction.",IAB2 Automotive,0.6480000000000001,synthetic,
The Role of Vintage Cars in Automotive Museums,IAB2 Automotive,0.6480000000000001,synthetic,
honda motor hmc stock higher today,IAB2 Automotive,0.6400000000000001,pseudo labeled,
miley cyrus stolen maserati spotted simi valley police investigate incident,IAB2 Automotive,0.6400000000000001,pseudo labeled,
