text,iab_label,confidence,source,labels
introduction to employment career break,IAB4 Careers,1.0,synthetic,
how to use employment avocation,IAB4 Careers,1.0,synthetic,
employment contributions are not being recognized (21%),IAB4 Careers,1.0,synthetic,
benefits of employment wage curve,IAB4 Careers,1.0,synthetic,
best careers general doctor tips,IAB4 Careers,1.0,synthetic,
best employment pink slip tips,IAB4 Careers,1.0,synthetic,
how to use jobs hardware engineer,IAB4 Careers,1.0,synthetic,
guide to careers cardiac scientist,IAB4 Careers,0.9,synthetic,
guide to employment personality hire,IAB4 Careers,0.9,synthetic,
learn about jobs virtual assistant,IAB4 Careers,0.9,synthetic,
why choose employment bullshit job,IAB4 Careers,0.9,synthetic,
what is careers otorhinolaryngologyphysician assistant,IAB4 Careers,0.9,synthetic,
benefits of workplace parkinson's law,IAB4 Careers,0.9,synthetic,
why choose careers podiatrist,IAB4 Careers,0.9,synthetic,
guide to workplace emotions,IAB4 Careers,0.9,synthetic,
introduction to works geoprofessions,IAB4 Careers,0.9,synthetic,
learn about workplace coworking,IAB4 Careers,0.9,synthetic,
best careers dermatologist tips,IAB4 Careers,0.9,synthetic,
latest news on career professional degree,IAB4 Careers,0.9,synthetic,
introduction to works geographer,IAB4 Careers,0.9,synthetic,
learn about works astronaut,IAB4 Careers,0.9,synthetic,
learn about workplace employment,IAB4 Careers,0.9,synthetic,
what is workplace goofing off,IAB4 Careers,0.9,synthetic,
why choose workplace diversity,IAB4 Careers,0.9,synthetic,
guide to career semiprofession,IAB4 Careers,0.9,synthetic,
what is employment unemployment insurance,IAB4 Careers,0.9,synthetic,
latest news on works petrochemicalengineer,IAB4 Careers,0.9,synthetic,
latest news on workplace toxic leader,IAB4 Careers,0.9,synthetic,
latest news on employment maximum wage,IAB4 Careers,0.9,synthetic,
introduction to employment creative class,IAB4 Careers,0.9,synthetic,
what is careers orthopedic physician,IAB4 Careers,0.9,synthetic,
best workplace phobia tips,IAB4 Careers,0.9,synthetic,
reviews about works petroleum geologist,IAB4 Careers,0.9,synthetic,
reviews about employment wrongful dismissal,IAB4 Careers,0.9,synthetic,
what is workplace drug tests,IAB4 Careers,0.9,synthetic,
