text,labels,confidence,source,iab_label
big sodas ban,,0.9,manual,IAB8 Food & Drink
pizza hut sponsor viacom music groups coverage hangout music festival,,0.9,manual,IAB8 Food & Drink
switch made pi day pie apple,,0.9,manual,IAB8 Food & Drink
burger king baby finds mom abandoned,,0.9,manual,IAB8 Food & Drink
eating apples pears could cut stroke risk,,0.9,manual,IAB8 Food & Drink
smoking coffee increasing trend among teenagers doctors say,,0.9,manual,IAB8 Food & Drink
red wine chocolate arent sadly key living long preventing,,0.9,manual,IAB8 Food & Drink
steviasweetened cocacola life launched us,,0.9,manual,IAB8 Food & Drink
potato salad kickstarter rakes 3700,,0.9,manual,IAB8 Food & Drink
happy ben jerrys free cone day,,0.9,manual,IAB8 Food & Drink
dominos pizza hackers demand 24k ransom,,0.9,natural,IAB8 Food & Drink
How to pad thai?,,0.9,manual,IAB8 Food & Drink
kraft recalls 12m cases cottage cheese refrigeration fears,,0.9,manual,IAB8 Food & Drink
mcdonalds profit falls us diners lovin,,0.9,manual,IAB8 Food & Drink
much red wine drink ask italian,,0.9,manual,IAB8 Food & Drink
cupcake craze coming end,,0.9,manual,IAB8 Food & Drink
celebrate grilled cheese day important cheese facts,,0.9,manual,IAB8 Food & Drink
big red soda ad prepare age extinction,,0.9,manual,IAB8 Food & Drink
chocolate cure hangry couples,,0.9,manual,IAB8 Food & Drink
It is a cuisine ,,0.9,manual,IAB8 Food & Drink
coffee machine works space,,0.9,manual,IAB8 Food & Drink
kraft recalls cottage cheese due impromper storage,,0.9,manual,IAB8 Food & Drink
pepsi says drinks snacks go together like peanut butter jelly,,0.9,manual,IAB8 Food & Drink
longbow research upgrades chipotle mexican grill neutral cmg,,0.9,manual,IAB8 Food & Drink
burger king baby reunited biological mom facebook post,,0.9,manual,IAB8 Food & Drink
gwyneth paltrow annoying restaurants,,0.9,manual,IAB8 Food & Drink
abandoned burger king baby meets mom,,0.9,manual,IAB8 Food & Drink
7 pictures breakfast sandwich outrageous taco bells waffle,,0.88,natural,IAB8 Food & Drink
finally taco bell every meal,,0.87,natural,IAB8 Food & Drink
dominos pizza hackers demand 30000 ransom,,0.86,natural,IAB8 Food & Drink
quiero taco bell breakfast,,0.86,natural,IAB8 Food & Drink
dominos pizza targeted hackers 24000 data ransom,,0.86,natural,IAB8 Food & Drink
dominos pizza hacked customer data held ransom,,0.86,natural,IAB8 Food & Drink
bossier city man appears taco bell commercial,,0.86,natural,IAB8 Food & Drink
burger king offers new breakfast value menu get 1,,0.85,natural,IAB8 Food & Drink
heres taco bells entire breakfast menu,,0.85,natural,IAB8 Food & Drink
2 pizza chains look like good investments,,0.85,natural,IAB8 Food & Drink
sbarro pizza files bankruptcy,,0.85,natural,IAB8 Food & Drink
17062014dominos pizza refuses cave hackers extortion attempt,,0.84,natural,IAB8 Food & Drink
dominos pizza hacked customer database held ransom,,0.84,natural,IAB8 Food & Drink
cheesecake factory leads fanny pack 2014 xtreme eating awards,,0.84,natural,IAB8 Food & Drink
heating burger king latest frenzy,,0.84,natural,IAB8 Food & Drink
taco bell takes another shot mcdonalds new commercial,,0.84,natural,IAB8 Food & Drink
ohio senator boycott burger king,,0.84,natural,IAB8 Food & Drink
breakfast challenge free mcdonalds coffee taco bells waffle taco,,0.83,natural,IAB8 Food & Drink
rise fall crumbs americas first public cupcake company,,0.83,natural,IAB8 Food & Drink
transcript breakfast wars mcdonalds vs taco bell,,0.83,natural,IAB8 Food & Drink
taco bell going thermonuclear breakfast war mcdonalds,,0.83,natural,IAB8 Food & Drink
video taste testing entire taco bell breakfast menu,,0.83,natural,IAB8 Food & Drink
dominos pizza customers exposed massive data breach,,0.83,natural,IAB8 Food & Drink
millennials mcdonalds lovin,,0.83,natural,IAB8 Food & Drink
mcdonalds free coffee eat breakfast taco bell,,0.82,natural,IAB8 Food & Drink
burger king adds gay pride whopper menu,,0.82,natural,IAB8 Food & Drink
burger king offering breakfast value menu,,0.82,natural,IAB8 Food & Drink
red robins burger fries make list xtreme food,,0.82,natural,IAB8 Food & Drink
taco bell serves waffle taco,,0.82,natural,IAB8 Food & Drink
2780calorie french toast cheesecake factory tops calorie charts,,0.82,natural,IAB8 Food & Drink
dominos pizza hack takeaway lessons,,0.82,natural,IAB8 Food & Drink
local man featured taco bell commercial,,0.82,natural,IAB8 Food & Drink
dominos pizza held ransom hackers customer data,,0.82,natural,IAB8 Food & Drink
The Role of Wine and Olive Oil in Italian Cuisine,,0.81,synthetic,IAB8 Food & Drink
bust margaritas heres youre celebrating cinco de mayo,,0.81,natural,IAB8 Food & Drink
todays fast food wage protests wont force companies pony,,0.81,natural,IAB8 Food & Drink
taco bell launches breakfast menu,,0.81,natural,IAB8 Food & Drink
topless florida woman destroying mcdonalds caught video,,0.81,natural,IAB8 Food & Drink
hot mild charlie sheen completely sauced taco bell parking lot,,0.8,natural,IAB8 Food & Drink
burger king offers proud whopper celebrate gay rights burger,,0.8,natural,IAB8 Food & Drink
taco bell corner breakfast market,,0.8,natural,IAB8 Food & Drink
dominos pizza hacked held ransom 30000,,0.8,natural,IAB8 Food & Drink
long live waffle tacos taco bell gets disruptive breakfast,,0.8,natural,IAB8 Food & Drink
krispy kreme stock getting crushed,,0.8,natural,IAB8 Food & Drink
taste testing entire taco bell breakfast menu,,0.8,natural,IAB8 Food & Drink
todays premarket trading positive chipotle mexican grill cmg,,0.8,natural,IAB8 Food & Drink
sbarro closure leaves hole mall st matthews food court,,0.8,natural,IAB8 Food & Drink
taco bell ads dinging mcdonalds raise interesting question,,0.8,natural,IAB8 Food & Drink
help brilliant goofball kickstart potato salad,,0.8,natural,IAB8 Food & Drink
cheesecake factory red robin lead 2014 xtreme eating awards,,0.79,natural,IAB8 Food & Drink
drunk charlie sheen totally cool fans taco bell drive thru video,,0.79,natural,IAB8 Food & Drink
ronald mcdonald loves taco bell cheeky new ad states,,0.79,natural,IAB8 Food & Drink
video topless woman destroys mcdonalds st petersburg,,0.79,natural,IAB8 Food & Drink
taco bell breakfast menu ad features ronald mcdonald,,0.79,natural,IAB8 Food & Drink
oprah chai tea comes starbucks,,0.79,natural,IAB8 Food & Drink
video internet abuzz topless woman trashed mcdonalds pinellas,,0.79,natural,IAB8 Food & Drink
consumer minute iphones held ransom starbucks dinner,,0.79,natural,IAB8 Food & Drink
mexican mob holds margaritas hostage,,0.79,natural,IAB8 Food & Drink
domino pizza gets served hefty slice hack,,0.79,natural,IAB8 Food & Drink
taco bell launches waffle taco amazing breakfast items today,,0.79,natural,IAB8 Food & Drink
ronald mcdonald kane taco bell tv ads,,0.79,natural,IAB8 Food & Drink
starbucks experiment burgers,,0.79,natural,IAB8 Food & Drink
ate taco bell waffle taco liked,,0.79,natural,IAB8 Food & Drink
chipotle continue dominance fast casual,,0.79,natural,IAB8 Food & Drink
"The vegan movement has had a significant impact on the food and drink industry, leading to the development of a wide range of vegan products and the growth of vegan restaurants and cafes.",,0.78,synthetic,IAB8 Food & Drink
taco bell wont win breakfast,,0.78,natural,IAB8 Food & Drink
americans totally mcdonalds taco bell kfc,,0.78,natural,IAB8 Food & Drink
hammered charlie sheen makes friends taco bell drivethru,,0.78,natural,IAB8 Food & Drink
dominos pizza customer info held ransom hackers june 17,,0.78,natural,IAB8 Food & Drink
taco bell win breakfast,,0.78,natural,IAB8 Food & Drink
chipotle continue surge higher postearnings,,0.78,natural,IAB8 Food & Drink
video topless woman ransacks florida mcdonalds helps ice cream,,0.78,natural,IAB8 Food & Drink
new grilled cheese bar celebrates grand opening dc friday,,0.78,natural,IAB8 Food & Drink
taco bell outronalds mcdonalds,,0.78,natural,IAB8 Food & Drink
cheesecake factory red robin dishes receive xtreme eating awards,,0.78,natural,IAB8 Food & Drink
Coffee and tea are both beverages that can be enjoyed with friends and family.,,0.78,synthetic,IAB8 Food & Drink
ronald mcdonald grabs breakfast taco bell,,0.78,natural,IAB8 Food & Drink
