iab_label,num_samples,avg_confidence,num_synthetic,num_pseudo_labeled,num_scraped,num_subcategories,pct_synthetic,pct_pseudo_labeled,pct_scraped,pct_subcategories,Synthetic,Pseudo Labeled,Scraped,Subcategories
IAB1 Arts & Entertainment,2000,0.8465799999999999,1,110,1882,7,0.0,0.055,0.941,0.004,1,110,1882,7
IAB2 Automotive,2000,0.65603,96,1881,0,23,0.048,0.94,0.0,0.012,96,1881,0,23
IAB3 Business,2000,0.650725,42,1946,0,12,0.021,0.973,0.0,0.006,42,1946,0,12
IAB4 Careers,2000,0.7790549999999999,68,140,1781,11,0.034,0.07,0.89,0.006,68,140,1781,11
IAB5 Education,2000,0.8324600000000001,102,73,1810,15,0.051,0.036,0.905,0.008,102,73,1810,15
IAB6 Family & Parenting,2000,0.7985749999999999,20,341,1630,9,0.01,0.17,0.815,0.004,20,341,1630,9
IAB7 Health & Fitness,2000,0.7318049999999999,92,248,1615,45,0.046,0.124,0.808,0.022,92,248,1615,45
IAB8 Food & Drink,2000,0.71366,200,988,794,18,0.1,0.494,0.397,0.009,200,988,794,18
IAB9 Hobbies & Interests,2000,0.845625,0,0,1969,31,0.0,0.0,0.984,0.016,0,0,1969,31
IAB10 Home & Garden,2000,0.848915,9,3,1979,9,0.004,0.002,0.99,0.004,9,3,1979,9
"IAB11 Law, Gov’t & Politics",2000,0.8502649999999999,1,0,1994,5,0.0,0.0,0.997,0.002,1,0,1994,5
IAB12 News,2000,0.70236,25,1972,0,3,0.012,0.986,0.0,0.002,25,1972,0,3
IAB13 Personal Finance,2000,0.71774,1160,435,393,12,0.58,0.218,0.196,0.006,1160,435,393,12
IAB14 Society,2000,0.8152999999999999,43,248,1701,8,0.022,0.124,0.85,0.004,43,248,1701,8
IAB15 Science,2000,0.6876899999999999,52,1408,530,10,0.026,0.704,0.265,0.005,52,1408,530,10
IAB16 Pets,2000,0.6853199999999999,59,735,1199,7,0.03,0.368,0.6,0.004,59,735,1199,7
IAB17 Sports,2000,0.6896749999999999,589,1274,97,40,0.294,0.637,0.048,0.02,589,1274,97,40
IAB18 Style & Fashion,2000,0.82189,16,188,1790,6,0.008,0.094,0.895,0.003,16,188,1790,6
IAB19 Technology & Computing,2000,0.69171,76,1095,793,36,0.038,0.548,0.396,0.018,76,1095,793,36
IAB20 Travel,2000,0.65589,168,1558,247,27,0.084,0.779,0.124,0.014,168,1558,247,27
IAB21 Real Estate,2000,0.809125,32,371,1594,3,0.016,0.186,0.797,0.002,32,371,1594,3
IAB22 Shopping,2000,0.6926100000000001,852,573,571,4,0.426,0.286,0.286,0.002,852,573,571,4
IAB23 Religion & Spirituality,2000,0.81024,44,308,1638,10,0.022,0.154,0.819,0.005,44,308,1638,10
IAB24 Uncategorized,2000,0.80155,6,413,1581,0,0.003,0.206,0.79,0.0,6,413,1581,0
