text,labels,confidence,source,iab_label
terracotta garden tiles,,0.44,synthetic,IAB10 Home & Garden
stone pebble garden paths,,0.44,synthetic,IAB10 Home & Garden
balinese coral stone garden walls,,0.43,synthetic,IAB10 Home & Garden
hive mind home gardeners help save bees food supply,,0.43,natural,IAB10 Home & Garden
60 receive medical attention aviciis td garden show,,0.43,natural,IAB10 Home & Garden
painted iron garden shelves,,0.42,synthetic,IAB10 Home & Garden
gelzinis td garden gets blame disaster,,0.42,natural,IAB10 Home & Garden
balinese coconut fiber garden mats,,0.42,synthetic,IAB10 Home & Garden
solar powered garden lights,,0.42,synthetic,IAB10 Home & Garden
spanish iron scroll garden gates,,0.41,synthetic,IAB10 Home & Garden
organizing garden shed,,0.41,synthetic,IAB10 Home & Garden
bamboo garden fences,,0.4,synthetic,IAB10 Home & Garden
wicker garden storage boxes,,0.4,synthetic,IAB10 Home & Garden
solar garden light installation,,0.4,synthetic,IAB10 Home & Garden
english wooden garden cold frames,,0.39,synthetic,IAB10 Home & Garden
"Gardening can be a great way to relax, beautify homes, and grow food.",,0.39,synthetic,IAB10 Home & Garden
english knot gardens,,0.39,synthetic,IAB10 Home & Garden
balinese carved garden gates,,0.39,synthetic,IAB10 Home & Garden
"Landscaping is an important part of home and garden design, and it can have a significant impact on the overall appearance and functionality of a property.",,0.39,synthetic,IAB10 Home & Garden
greek mosaic floor garden pathways,,0.39,synthetic,IAB10 Home & Garden
choosing wood for garden furniture,,0.39,synthetic,IAB10 Home & Garden
irish stone carved garden animals,,0.38,synthetic,IAB10 Home & Garden
venetian stained glass garden windows,,0.38,synthetic,IAB10 Home & Garden
balinese garden water spouts,,0.38,synthetic,IAB10 Home & Garden
irish slate garden sculptures,,0.38,synthetic,IAB10 Home & Garden
greek mosaic garden borders,,0.38,synthetic,IAB10 Home & Garden
keeping gardening,,0.38,natural,IAB10 Home & Garden
mosquitoes spring garden test positive west nile virus,,0.37,natural,IAB10 Home & Garden
dwarf planet discovered astronomers solar systems backyard,,0.37,natural,IAB10 Home & Garden
slate garden pathways,,0.37,synthetic,IAB10 Home & Garden
balinese river stone garden tables,,0.37,synthetic,IAB10 Home & Garden
scottish river pebble garden paths,,0.37,synthetic,IAB10 Home & Garden
indian phad painting garden screens,,0.37,synthetic,IAB10 Home & Garden
teak garden tables,,0.37,synthetic,IAB10 Home & Garden
strike halts gm plant union rejects offer,,0.37,natural,IAB10 Home & Garden
balinese garden statues,,0.37,synthetic,IAB10 Home & Garden
himalayan quartz garden lights,,0.37,synthetic,IAB10 Home & Garden
building a colonial American garden,,0.37,synthetic,IAB10 Home & Garden
painted iron garden arches,,0.37,synthetic,IAB10 Home & Garden
irish stone garden walling,,0.37,synthetic,IAB10 Home & Garden
bike stolen garden shed sheffield,,0.37,natural,IAB10 Home & Garden
russian birch plywood garden furniture,,0.36,synthetic,IAB10 Home & Garden
greek cycladic garden seating,,0.36,synthetic,IAB10 Home & Garden
painted wood garden gates,,0.36,synthetic,IAB10 Home & Garden
venetian glass mosaic garden tiles,,0.36,synthetic,IAB10 Home & Garden
english rose garden design,,0.36,synthetic,IAB10 Home & Garden
"Gardening can be done in a variety of settings, including backyards, patios, and even indoors.",,0.36,synthetic,IAB10 Home & Garden
irish peat moss garden blocks,,0.36,synthetic,IAB10 Home & Garden
irish linen damask garden covers,,0.36,synthetic,IAB10 Home & Garden
solar garden lights,,0.35,synthetic,IAB10 Home & Garden
scottish slate roof garden sheds,,0.35,synthetic,IAB10 Home & Garden
growing strawberries at home,,0.35,synthetic,IAB10 Home & Garden
concrete garden planters,,0.35,synthetic,IAB10 Home & Garden
japanese stone basin gardens,,0.35,synthetic,IAB10 Home & Garden
greek marble garden stools,,0.35,synthetic,IAB10 Home & Garden
thai celadon pottery garden stools,,0.35,synthetic,IAB10 Home & Garden
english garden tool belts,,0.35,synthetic,IAB10 Home & Garden
french zinc garden watering cans,,0.35,synthetic,IAB10 Home & Garden
english sunken garden design,,0.35,synthetic,IAB10 Home & Garden
rustic wooden garden gates,,0.35,synthetic,IAB10 Home & Garden
swiss cowbell wind chimes for garden,,0.34,synthetic,IAB10 Home & Garden
cast iron garden benches,,0.34,synthetic,IAB10 Home & Garden
Gardening can also be a great way to learn about nature and the environment.,,0.34,synthetic,IAB10 Home & Garden
czech painted garden eggs,,0.34,synthetic,IAB10 Home & Garden
kim kardashian wed kanye west exclusive versailles garden,,0.34,natural,IAB10 Home & Garden
DIY garden irrigation system,,0.34,synthetic,IAB10 Home & Garden
soundtrack change life garden state,,0.34,natural,IAB10 Home & Garden
owns tim hortons,,0.34,natural,IAB10 Home & Garden
greek white stone garden sculptures,,0.34,synthetic,IAB10 Home & Garden
english oak raised garden beds,,0.34,synthetic,IAB10 Home & Garden
french zinc bathtubs in gardens,,0.33,synthetic,IAB10 Home & Garden
portuguese cork yoga mats for garden use,,0.33,synthetic,IAB10 Home & Garden
indoor olive trees,,0.33,synthetic,IAB10 Home & Garden
woven sisal garden mats,,0.33,synthetic,IAB10 Home & Garden
every song garden state soundtrack ranked,,0.33,natural,IAB10 Home & Garden
Gardening is a rewarding hobby that can be enjoyed by people of all ages and backgrounds.,,0.33,synthetic,IAB10 Home & Garden
tatami modular garden benches,,0.33,synthetic,IAB10 Home & Garden
english hand forged garden tools,,0.33,synthetic,IAB10 Home & Garden
painted iron garden chairs,,0.33,synthetic,IAB10 Home & Garden
installing garden pathway lights,,0.33,synthetic,IAB10 Home & Garden
greek white marble garden seats,,0.33,synthetic,IAB10 Home & Garden
ceramic garden stools,,0.33,synthetic,IAB10 Home & Garden
english copper garden dibbers,,0.33,synthetic,IAB10 Home & Garden
balinese carved stone garden orbs,,0.32,synthetic,IAB10 Home & Garden
growing basil indoors,,0.32,synthetic,IAB10 Home & Garden
install garden drip irrigation,,0.32,synthetic,IAB10 Home & Garden
irish bog pine garden benches,,0.32,synthetic,IAB10 Home & Garden
DIY garden hose holder,,0.32,synthetic,IAB10 Home & Garden
cast stone garden benches,,0.32,synthetic,IAB10 Home & Garden
louvre garden infested rats,,0.32,natural,IAB10 Home & Garden
creating a zen garden space,,0.32,synthetic,IAB10 Home & Garden
"Gardening has a number of benefits, including reducing stress, improving physical health, and providing a sense of accomplishment.",,0.32,synthetic,IAB10 Home & Garden
painting ideas for nursery,,0.32,synthetic,IAB10 Home & Garden
building a garden greenhouse,,0.31,synthetic,IAB10 Home & Garden
growing bell peppers indoors,,0.31,synthetic,IAB10 Home & Garden
swedish timber garden sheds,,0.31,synthetic,IAB10 Home & Garden
building a raised garden bed,,0.31,synthetic,IAB10 Home & Garden
japanese shibori garden banners,,0.31,synthetic,IAB10 Home & Garden
td garden cited underage drinking avicii concert incident,,0.31,natural,IAB10 Home & Garden
modular garden seating,,0.31,synthetic,IAB10 Home & Garden
"In the 19th century, gardening became increasingly popular as a way to beautify homes and provide food for families.",,0.31,synthetic,IAB10 Home & Garden
setting up a vertical herb garden,,0.31,synthetic,IAB10 Home & Garden
dwarf planet discovered solar systems backyard,,0.31,natural,IAB10 Home & Garden
reduce allergies gardening,,0.31,natural,IAB10 Home & Garden
balinese coconut husk garden baskets,,0.31,synthetic,IAB10 Home & Garden
garden dibbers wooden,,0.31,synthetic,IAB10 Home & Garden
cuban mosaic garden benches,,0.31,synthetic,IAB10 Home & Garden
elegant louvre garden becoming infested rats,,0.31,natural,IAB10 Home & Garden
DIY garden tool rack,,0.31,synthetic,IAB10 Home & Garden
how to build a garden fence,,0.3,synthetic,IAB10 Home & Garden
venetian glass garden lights,,0.3,synthetic,IAB10 Home & Garden
russian cast iron garden benches,,0.3,synthetic,IAB10 Home & Garden
tips for organizing garden tools,,0.3,synthetic,IAB10 Home & Garden
irish thatched garden gazebos,,0.3,synthetic,IAB10 Home & Garden
malaysian coconut wood garden benches,,0.3,synthetic,IAB10 Home & Garden
house gop leaders craft health plan,,0.3,natural,IAB10 Home & Garden
greek alabaster garden sculptures,,0.3,synthetic,IAB10 Home & Garden
wooden folding garden chairs,,0.3,synthetic,IAB10 Home & Garden
growing arugula at home,,0.3,synthetic,IAB10 Home & Garden
chinese lattice garden screens,,0.3,synthetic,IAB10 Home & Garden
concrete garden sculptures,,0.3,synthetic,IAB10 Home & Garden
create vertical herb garden,,0.3,synthetic,IAB10 Home & Garden
garden sculpture basalt,,0.3,synthetic,IAB10 Home & Garden
venetian stucco garden wall finishes,,0.3,synthetic,IAB10 Home & Garden
growing cilantro at home,,0.3,synthetic,IAB10 Home & Garden
mexican alebrijes garden figurines,,0.29,synthetic,IAB10 Home & Garden
russian malachite stone garden accents,,0.29,synthetic,IAB10 Home & Garden
"Gardening has been a popular hobby for centuries, with evidence of its practice dating back to ancient civilizations.",,0.29,synthetic,IAB10 Home & Garden
watch ham operators broadcast field day garden city,,0.29,natural,IAB10 Home & Garden
building a greenhouse with pallets,,0.29,synthetic,IAB10 Home & Garden
portuguese cork garden furniture,,0.29,synthetic,IAB10 Home & Garden
rats romp boldly louvre gardens,,0.29,natural,IAB10 Home & Garden
"Today, gardening is enjoyed by people of all ages and backgrounds, and it continues to be a popular way to relax, beautify homes, and grow food.",,0.29,synthetic,IAB10 Home & Garden
venetian mirror garden sculptures,,0.29,synthetic,IAB10 Home & Garden
venetian frosted glass garden panels,,0.29,synthetic,IAB10 Home & Garden
venetian mirrored garden screens,,0.29,synthetic,IAB10 Home & Garden
irish bog oak garden features,,0.29,synthetic,IAB10 Home & Garden
swedish folk art garden flags,,0.29,synthetic,IAB10 Home & Garden
irish linen garden aprons,,0.29,synthetic,IAB10 Home & Garden
grow kale indoors,,0.29,synthetic,IAB10 Home & Garden
portuguese stone garden sculptures,,0.29,synthetic,IAB10 Home & Garden
woven willow garden edging,,0.29,synthetic,IAB10 Home & Garden
swiss granite garden benches,,0.29,synthetic,IAB10 Home & Garden
DIY wooden garden signs,,0.29,synthetic,IAB10 Home & Garden
cuban retro garden lighting,,0.28,synthetic,IAB10 Home & Garden
garden wind chimes brass,,0.28,synthetic,IAB10 Home & Garden
japanese garden bridges,,0.28,synthetic,IAB10 Home & Garden
venetian glass garden torches,,0.28,synthetic,IAB10 Home & Garden
portuguese cork bark garden paths,,0.28,synthetic,IAB10 Home & Garden
turkish evil eye garden charms,,0.28,synthetic,IAB10 Home & Garden
greek olive jar garden planters,,0.28,synthetic,IAB10 Home & Garden
spacexs dragon carry robot legs vegetable garden nasas space station,,0.28,natural,IAB10 Home & Garden
irish flax linen garden tablecloths,,0.28,synthetic,IAB10 Home & Garden
roman mosaic garden paths,,0.28,synthetic,IAB10 Home & Garden
ios 8 apple opens garden keeps thorns sharper ever,,0.28,natural,IAB10 Home & Garden
DIY garden stepping stones,,0.28,synthetic,IAB10 Home & Garden
balinese driftwood garden sculptures,,0.28,synthetic,IAB10 Home & Garden
australian sandstone garden features,,0.28,synthetic,IAB10 Home & Garden
tunisian ceramic garden stools,,0.28,synthetic,IAB10 Home & Garden
irish moss decorative ground cover,,0.28,synthetic,IAB10 Home & Garden
building a Nordic greenhouse,,0.28,synthetic,IAB10 Home & Garden
building a Dutch herb spiral garden,,0.28,synthetic,IAB10 Home & Garden
venetian garden wrought iron grilles,,0.27,synthetic,IAB10 Home & Garden
grow rosemary indoors,,0.27,synthetic,IAB10 Home & Garden
japanese garden tsukubai sets,,0.27,synthetic,IAB10 Home & Garden
french wrought iron garden bridges,,0.27,synthetic,IAB10 Home & Garden
balinese garden parasols,,0.27,synthetic,IAB10 Home & Garden
thai celadon green garden pots,,0.27,synthetic,IAB10 Home & Garden
garden composting tips,,0.27,synthetic,IAB10 Home & Garden
venetian wrought iron garden gates,,0.27,synthetic,IAB10 Home & Garden
painted bamboo garden screens,,0.27,synthetic,IAB10 Home & Garden
portuguese cobblestone garden paths,,0.27,synthetic,IAB10 Home & Garden
balinese antique iron garden benches,,0.27,synthetic,IAB10 Home & Garden
