text,iab_label,confidence,source,labels
consumer spending edges 02 percent may,IAB13 Personal Finance,0.192,pseudo labeled,
surprise spike inflation driven cost clothing footwear nonalcoholic,IAB13 Personal Finance,0.192,pseudo labeled,
payday loans cost borrowers much,IAB13 Personal Finance,0.192,pseudo labeled,
sbarro files second bankruptcy protection,IAB13 Personal Finance,0.192,pseudo labeled,
nearly 3000 per month rent whitey bulgers old apartment,IAB13 Personal Finance,0.192,pseudo labeled,
3 best credit card consolidation companies minnesota residents,IAB13 Personal Finance,0.192,pseudo labeled,
consumer prices increase largest amount year,IAB13 Personal Finance,0.192,pseudo labeled,
wonder students turn porn pay college costs,IAB13 Personal Finance,0.192,pseudo labeled,
experts advise taxpayers file even cant pay,IAB13 Personal Finance,0.192,pseudo labeled,
homepurchase contracts soar 61 percent may,IAB13 Personal Finance,0.192,pseudo labeled,
lindsay lohans credit card declined 300 purchase,IAB13 Personal Finance,0.192,pseudo labeled,
consumer spending drives 2q gdp growth,IAB13 Personal Finance,0.192,pseudo labeled,
one third us adults debt collections,IAB13 Personal Finance,0.192,pseudo labeled,
detroit retirees denounce bankruptcy plan,IAB13 Personal Finance,0.192,pseudo labeled,
spend save five ways make tax refund,IAB13 Personal Finance,0.192,pseudo labeled,
tamiflu waste money,IAB13 Personal Finance,0.192,pseudo labeled,
consumer spending increase modest,IAB13 Personal Finance,0.192,pseudo labeled,
price hikes pump hurt merced wallets,IAB13 Personal Finance,0.192,pseudo labeled,
gas prices continue climb toward 4 gallon ways save money,IAB13 Personal Finance,0.192,pseudo labeled,
fewer portland homeowners underwater compared many cities,IAB13 Personal Finance,0.192,pseudo labeled,
cold cash keeps coming als ice bucket challenge,IAB13 Personal Finance,0.192,pseudo labeled,
interest rates could rise 225pc three years,IAB13 Personal Finance,0.192,pseudo labeled,
stocks gain rise consumer spending,IAB13 Personal Finance,0.192,pseudo labeled,
detroit retirees workers plead end bankruptcy pain,IAB13 Personal Finance,0.192,pseudo labeled,
solid income spending growth february,IAB13 Personal Finance,0.192,pseudo labeled,
consumer spending 02 percent may,IAB13 Personal Finance,0.192,pseudo labeled,
bacon costs rise due piglet death epidemic,IAB13 Personal Finance,0.192,pseudo labeled,
wasting water could end costing big bucks,IAB13 Personal Finance,0.192,pseudo labeled,
