text,labels,confidence,source,iab_label
"The fashion industry is constantly adapting to changing consumer preferences, embracing new technologies and trends.",,0.44,synthetic,IAB18 Style & Fashion
public reacts kim kardashian kanye wests vogue cover,,0.44,natural,IAB18 Style & Fashion
cfda fashion awards pictures,,0.44,natural,IAB18 Style & Fashion
lupita nyongo make first fashion misstep 2014 met gala,,0.44,natural,IAB18 Style & Fashion
unleashing passion creativity ford launches global fashion collaboration,,0.44,natural,IAB18 Style & Fashion
rihanna collects cdfa fashion icon award seethrough dress,,0.44,natural,IAB18 Style & Fashion
rihannas cfda sparkling dress almost showed,,0.44,natural,IAB18 Style & Fashion
kim kardashian flaunts figure sexy black jumpsuit deep vneck,,0.44,natural,IAB18 Style & Fashion
lena dunhams emmys dress fun,,0.44,natural,IAB18 Style & Fashion
emma stone outshines andrew garfield yellow dress,,0.44,natural,IAB18 Style & Fashion
demi lovato wows purple hair seethrough dress,,0.44,natural,IAB18 Style & Fashion
charlize theron glows sean penn looks dapper dior show,,0.44,natural,IAB18 Style & Fashion
charlize theron looks glamorous gold christian dior front row,,0.44,natural,IAB18 Style & Fashion
jennifer lopez wears pants dress time versace show,,0.44,natural,IAB18 Style & Fashion
kendall jenner swaps satin couture leather pants day met gala,,0.44,natural,IAB18 Style & Fashion
rihanna stuns red carpet seethrough dress cfda awards,,0.44,natural,IAB18 Style & Fashion
bday girl gaga dons nude dress,,0.44,natural,IAB18 Style & Fashion
geroge clooneys lady made fall love,,0.44,natural,IAB18 Style & Fashion
kristen stewart debuts new cropped orange hairstyle paris fashion week,,0.44,natural,IAB18 Style & Fashion
smithsonian honoring ralph lauren fashion flag,,0.44,natural,IAB18 Style & Fashion
2014 cannes film festival rita ora talks fifty shades grey fashion,,0.43,natural,IAB18 Style & Fashion
rihannas peekaboo dress cfda awards,,0.43,natural,IAB18 Style & Fashion
miley cyrus gets braids rocks snaggletooth wild weekend,,0.43,natural,IAB18 Style & Fashion
5 reasons love coachella festival fashion report,,0.43,natural,IAB18 Style & Fashion
vogue says kim kardashian dresses real good,,0.43,natural,IAB18 Style & Fashion
rihanna honoured fashion icon year,,0.43,natural,IAB18 Style & Fashion
emma watson grown stunning christian dior fashion show,,0.43,natural,IAB18 Style & Fashion
cfda awards rihanna best dressed fashion oscars pictures,,0.43,natural,IAB18 Style & Fashion
kanye west calls kim kardashians vogue cover dream come true,,0.43,natural,IAB18 Style & Fashion
gaga wears sheer outfit birthday bash,,0.43,natural,IAB18 Style & Fashion
cameron diazs espy awards dress sizzles plunging black dress,,0.43,natural,IAB18 Style & Fashion
kim kardashian wears jeans ripped may well daisy dukes,,0.43,natural,IAB18 Style & Fashion
