text,labels,confidence,source,iab_label
zac efron michelle rodriguez kissing vacation pics dating,,0.49,natural,IAB20 Travel
mad men goes airport teaser,,0.49,natural,IAB20 Travel
honeymoon night justin jennifer aniston plans prewedding crash diet,,0.49,natural,IAB20 Travel
jay zs top six touring partners,,0.49,natural,IAB20 Travel
jay z beyonce set tour together,,0.49,natural,IAB20 Travel
sky writer aa us airways tweak frequent flyer bag policies,,0.49,natural,IAB20 Travel
miley cyrus life coach lessons bangerz tour special,,0.49,natural,IAB20 Travel
space station computer outage could affect spacex launch,,0.49,natural,IAB20 Travel
kim kardashian plans return ireland heres 14 irish beaches,,0.49,natural,IAB20 Travel
close call bush intercontinental airport houston,,0.49,natural,IAB20 Travel
one smartest men tech thinks book tickets mars,,0.49,natural,IAB20 Travel
"With its rich cultural heritage, diverse landscapes, and abundant wildlife, Africa offers a unique and unforgettable travel experience.",,0.49,synthetic,IAB20 Travel
jpmorgans dimon plans use vacation cancer treatment,,0.49,natural,IAB20 Travel
miley cyrus reveals secret illness bangerz tour kicks london,,0.49,natural,IAB20 Travel
etihad boosts a380 services butlers board,,0.49,natural,IAB20 Travel
bachelorette recap andi men visit venice,,0.49,natural,IAB20 Travel
objects plucked ocean checked link flight,,0.49,natural,IAB20 Travel
man made hilarious video stuck overnight vegas airport,,0.49,natural,IAB20 Travel
american airlines us airways change bag fees mileage rewards,,0.49,natural,IAB20 Travel
jagger pays tribute stones halt tour,,0.49,natural,IAB20 Travel
us airways tweet fail airline tweets graphic link mistake,,0.49,natural,IAB20 Travel
phil collins donates alamo memorabilia may exploring new tour,,0.49,natural,IAB20 Travel
Budget travel can be a great way to experience new cultures and see the world on a shoestring budget.,,0.49,synthetic,IAB20 Travel
ryanair celebrates 11 million passengers manchester airport,,0.49,natural,IAB20 Travel
russian craft docks space station,,0.49,natural,IAB20 Travel
sir paul mccartney hospitalised japan tour cancellation,,0.49,natural,IAB20 Travel
mixed trading picture wall street dollar tree buys family dollar airline,,0.49,natural,IAB20 Travel
americans ride public transit record numbers ridership portland,,0.49,natural,IAB20 Travel
man travels 26 countries worldwide proposal video wnem tv 5,,0.49,natural,IAB20 Travel
mom says 3yearold forced pee seat jetblue plane new york,,0.49,natural,IAB20 Travel
rolling stones postpone australia tour mick jagger says struggling,,0.49,natural,IAB20 Travel
airlines asked pay elderly passenger,,0.49,natural,IAB20 Travel
nasa boeing powerful rocket deal take us mars,,0.49,natural,IAB20 Travel
going orlando bloom parties erica packer ex wife,,0.49,natural,IAB20 Travel
kim kanye refused pay honeymoon,,0.49,natural,IAB20 Travel
passenger dies flight phoenix honolulu,,0.49,natural,IAB20 Travel
dubaibased etihad airways offer bedandbath suites,,0.49,natural,IAB20 Travel
us russia impose dueling travel bans obama opens door russian energy,,0.49,natural,IAB20 Travel
metro sees increase bus decrease rail ridership 2012 2013,,0.49,natural,IAB20 Travel
The hotel industry is a major employer.,,0.49,synthetic,IAB20 Travel
Hotels will continue to evolve to meet the needs of travelers.,,0.49,synthetic,IAB20 Travel
zac efron dances atop table jason derulos wiggle italian vacation,,0.49,natural,IAB20 Travel
amanda bynes shows bangin bikini body birthday vacation cabo,,0.49,natural,IAB20 Travel
grand budapest hotel review enjoyable virtual postcard,,0.49,natural,IAB20 Travel
airlines perform worse passengers file fewer complaints,,0.49,natural,IAB20 Travel
130 contract norovirus cruise along california coast,,0.49,natural,IAB20 Travel
beyoncé debuts nearly nude pregnancy pics tour,,0.49,natural,IAB20 Travel
i495 bridge closure del cause traffic woes,,0.49,natural,IAB20 Travel
150 million flight ends wet,,0.49,natural,IAB20 Travel
