text,iab_label,confidence,source,labels
draft day review crowdpleasing sports drama fans nonfans alike,IAB17 Sports,0.7040000000000001,pseudo labeled,
benefits of miscellaneous combinatorics(outline)coding theory,IAB24 Uncategorized,0.9,synthetic,
workplace harassment,IAB4 Careers,0.68,scraped,
childcare buddha-like parenting,IAB6 Family & Parenting,0.68,scraped,
architecture australian architectural styles,IAB21 Real Estate,0.68,scraped,
architecture circular linhay,IAB21 Real Estate,0.68,scraped,
ebay settles icahn proxy fight adds independent director,IAB3 Business,0.5519999999999999,pseudo labeled,
miscellaneous convex geometry,IAB24 Uncategorized,0.68,scraped,
exercise endurance training,IAB7 Health & Fitness,0.68,scraped,
exercises lateral raise(i),IAB7 Health & Fitness,0.68,scraped,
"field planetary science(alternatively, a part ofspace science)",IAB5 Education,0.68,scraped,
Sigourney Weaver,IAB1 Arts & Entertainment,0.68,scraped,
psychologist jonathan potter,IAB6 Family & Parenting,0.68,scraped,
winter jacket from AliExpress on sale,IAB22 Shopping,0.6400000000000001,synthetic,
miscellaneous marine engineering,IAB24 Uncategorized,0.68,scraped,
soulkilling dangerous underpaid goingnowhere careers,IAB4 Careers,0.7040000000000001,pseudo labeled,
benefits of architecture etruscan700–200 bc,IAB21 Real Estate,0.9,synthetic,
why choose dog breed mcnab,IAB16 Pets,0.9,synthetic,
"governor, bank of lithuania lithuania gediminas simkus","IAB11 Law, Gov’t & Politics",0.68,scraped,
latest news on miscellaneous occupational toxicology,IAB24 Uncategorized,0.9,synthetic,
religion longhouse religion,IAB23 Religion & Spirituality,0.68,scraped,
football flick draft day gains yards doesnt win,IAB17 Sports,0.6080000000000001,pseudo labeled,
architecture art nouveauc. 1885–1910,IAB21 Real Estate,0.68,scraped,
LED lights in stock Target,IAB22 Shopping,0.6400000000000001,synthetic,
Rian Johnson,IAB1 Arts & Entertainment,0.68,scraped,
marc marquez pole todays motogp race austin,IAB17 Sports,0.576,pseudo labeled,
programming language klerer-may system,IAB19 Technology & Computing,0.68,scraped,
housing industry wonders mel watt want,IAB21 Real Estate,0.7200000000000001,scraped,
psychologist richard wiseman,IAB6 Family & Parenting,0.68,scraped,
experimental breed savannah,IAB16 Pets,0.68,scraped,
fashion designer jean muir,IAB18 Style & Fashion,0.68,scraped,
scientific discipline indian english literature,IAB15 Science,0.68,scraped,
heavy trading zebra technologies corporation zbra market open,IAB3 Business,0.52,pseudo labeled,
how to say no to social spending,IAB13 Personal Finance,0.76,synthetic,
reviews online limited offer,IAB22 Shopping,0.6400000000000001,synthetic,
miscellaneous obstetrics(outline),IAB24 Uncategorized,0.68,scraped,
fashion designer sanae orchi,IAB18 Style & Fashion,0.68,scraped,
taco bell going thermonuclear breakfast war mcdonalds,IAB8 Food & Drink,0.664,pseudo labeled,
need ebola panic sa aaron motsoaledi,IAB2 Automotive,0.5519999999999999,pseudo labeled,
field sexology,IAB5 Education,0.68,scraped,
fashion designer simon rademan,IAB18 Style & Fashion,0.68,scraped,
field complex system,IAB5 Education,0.68,scraped,
architecture organic architecture,IAB21 Real Estate,0.68,scraped,
religion rokugō manzan,IAB23 Religion & Spirituality,0.68,scraped,
real estate unowned property,IAB21 Real Estate,0.68,scraped,
draft day star tom welling fans football film 5 highlights,IAB17 Sports,0.672,pseudo labeled,
psychologist andrew meltzoff,IAB6 Family & Parenting,0.68,scraped,
miscellaneous mechatronics,IAB24 Uncategorized,0.68,scraped,
psychologist hugo münsterberg,IAB6 Family & Parenting,0.68,scraped,
introduction to susannah york,IAB1 Arts & Entertainment,0.9,synthetic,
religion chrislam,IAB23 Religion & Spirituality,0.68,scraped,
report ultimate warrior cause death revealed,IAB12 News,0.6320000000000001,pseudo labeled,
ram pickup jeep grand cherokee push improvement chrysler,IAB2 Automotive,0.6320000000000001,pseudo labeled,
programming language pari/gp,IAB19 Technology & Computing,0.68,scraped,
tourist attraction world heritage sites in portugal,IAB20 Travel,0.68,scraped,
religion saek religion,IAB23 Religion & Spirituality,0.68,scraped,
why choose field school psychology,IAB5 Education,0.9,synthetic,
real estate kenya,IAB21 Real Estate,0.68,scraped,
exxon mobil corporation xom trading review,IAB3 Business,0.592,pseudo labeled,
health men's health– broad subject that encompasses all facets of men's health,IAB7 Health & Fitness,0.68,scraped,
fashion designer wavy the creator,IAB18 Style & Fashion,0.68,scraped,
dog breed african village dog,IAB16 Pets,0.68,scraped,
miscellaneous nanoengineering,IAB24 Uncategorized,0.68,scraped,
courts ok settlement economic loss toyota unintended acceleration case,IAB2 Automotive,0.536,pseudo labeled,
miscellaneous cytohematology,IAB24 Uncategorized,0.68,scraped,
biodelivery sciences international inc stock soared,IAB15 Science,0.576,pseudo labeled,
free delivery winter jacket at Zara,IAB22 Shopping,0.6400000000000001,synthetic,
learn about jane adams,IAB1 Arts & Entertainment,0.9,synthetic,
miscellaneous materials engineering,IAB24 Uncategorized,0.68,scraped,
bank security (finance),IAB13 Personal Finance,0.68,scraped,
latest news on pet deer,IAB16 Pets,0.9,synthetic,
business briefs hps whitman adds chairman ceo role,IAB3 Business,0.6240000000000001,pseudo labeled,
diets vanadium,IAB7 Health & Fitness,0.68,scraped,
cat breed mango,IAB16 Pets,0.68,scraped,
cara delevingne michelle rodriguez frolic romantic getaway,IAB20 Travel,0.5599999999999999,pseudo labeled,
why choose programming language comal,IAB19 Technology & Computing,0.9,synthetic,
best Bluetooth speaker at Target,IAB22 Shopping,0.6400000000000001,synthetic,
fashion designer ashley williams,IAB18 Style & Fashion,0.68,scraped,
exercises close-grip bench press(c),IAB7 Health & Fitness,0.68,scraped,
"sociology quantitative designsapproach social phenomena through quantifiable evidence, and often rely on statistical analysis of many cases (or across intentionally designed treatments in an experiment) to establish valid and reliable general claims.",IAB14 Society,0.68,scraped,
apps that give money for walking,IAB13 Personal Finance,0.76,synthetic,
The Importance of Responsible Tourism Practices,IAB20 Travel,0.7040000000000001,synthetic,
Rear Window,IAB1 Arts & Entertainment,0.68,scraped,
barnes noble split book nook business,IAB3 Business,0.6880000000000001,pseudo labeled,
tourist attraction tennis venues,IAB20 Travel,0.68,scraped,
civil rights convention on the elimination of all forms of racial discrimination,IAB14 Society,0.68,scraped,
2014 new york auto show live ford mustang 50th anniversary edition,IAB2 Automotive,0.592,pseudo labeled,
religion nauruan indigenous religion,IAB23 Religion & Spirituality,0.68,scraped,
why choose psychologist florence goodenough,IAB6 Family & Parenting,0.9,synthetic,
scientific discipline differential psychology,IAB15 Science,0.68,scraped,
"minister of trade, commerce, food security, & co-operative development sri lanka wasantha samarasingha","IAB11 Law, Gov’t & Politics",0.68,scraped,
boeings earnings dip 13,IAB3 Business,0.6240000000000001,pseudo labeled,
"psychologist b. f. skinner, (founder ofradical behaviorism)",IAB6 Family & Parenting,0.68,scraped,
mercedes h1 sales tally record,IAB2 Automotive,0.6240000000000001,pseudo labeled,
how to use sport sur-papakh,IAB17 Sports,0.9,synthetic,
minister of justice luxembourg elisabeth margue,"IAB11 Law, Gov’t & Politics",0.68,scraped,
religion antoinism,IAB23 Religion & Spirituality,0.68,scraped,
tourist attraction culinaryenotourism,IAB20 Travel,0.68,scraped,
Eliminating digital clutter subscriptions,IAB13 Personal Finance,0.68,synthetic,
guide to board game roborally,IAB9 Hobbies & Interests,0.9,synthetic,
bank cips,IAB13 Personal Finance,0.68,scraped,
programming language joy,IAB19 Technology & Computing,0.68,scraped,
benefits of field christian theology(outline),IAB5 Education,0.9,synthetic,
careers surgeryphysician assistant,IAB4 Careers,0.68,scraped,
garden laelia(anorchidgenus),IAB10 Home & Garden,0.68,scraped,
real estate italy,IAB21 Real Estate,0.68,scraped,
fashion designer valentino,IAB18 Style & Fashion,0.68,scraped,
casualties falling failure,IAB7 Health & Fitness,0.7200000000000001,scraped,
2014 fifa world cup official theme song one ole ola feat pitbull,IAB17 Sports,0.6240000000000001,pseudo labeled,
civil rights satyagraha,IAB14 Society,0.68,scraped,
where to get glasses for $10,IAB13 Personal Finance,0.76,synthetic,
Updating beneficiaries and wills,IAB13 Personal Finance,0.68,synthetic,
programming language pop-2,IAB19 Technology & Computing,0.68,scraped,
careers occupational therapist- neonatal/ pediatric,IAB4 Careers,0.68,scraped,
diets u.s. military,IAB7 Health & Fitness,0.68,scraped,
field proof theory,IAB5 Education,0.68,scraped,
field histopathology,IAB5 Education,0.68,scraped,
fashion designer bunny roger,IAB18 Style & Fashion,0.68,scraped,
yahoo brings personalised sports app ios android uk,IAB17 Sports,0.6160000000000001,pseudo labeled,
health brahmavihārās,IAB7 Health & Fitness,0.68,scraped,
video scientists confirm universes growth spurt big bang,IAB15 Science,0.576,pseudo labeled,
"credit score ""financial consumer agency of canada"".",IAB13 Personal Finance,0.68,scraped,
2014 jeep mopar grand cherokee cherokee moab safari concepts,IAB2 Automotive,0.5519999999999999,pseudo labeled,
The Nightmare Before Christmas,IAB1 Arts & Entertainment,0.68,scraped,
miscellaneous paleontologypaleobiologypaleoecology,IAB24 Uncategorized,0.68,scraped,
Bandar laddu,IAB8 Food & Drink,0.68,scraped,
surf sail innovator hobie alter dies 80,IAB17 Sports,0.6080000000000001,pseudo labeled,
billion dollar automobile plant headed mexico,IAB2 Automotive,0.5519999999999999,pseudo labeled,
employment overqualification,IAB4 Careers,0.68,scraped,
sociology bourdieu,IAB14 Society,0.68,scraped,
latest news on parenting child care,IAB6 Family & Parenting,0.9,synthetic,
sport paragliding,IAB17 Sports,0.68,scraped,
brand food twisties,IAB22 Shopping,0.68,scraped,
programming language oz,IAB19 Technology & Computing,0.68,scraped,
failure meet deadline update atm software cost banks dear,IAB3 Business,0.6240000000000001,pseudo labeled,
diets category,IAB7 Health & Fitness,0.68,scraped,
stock market news march 28 2014 market news,IAB12 News,0.6240000000000001,pseudo labeled,
july 2014 car sales big six surge,IAB2 Automotive,0.5599999999999999,pseudo labeled,
programming language accent (rational synergy),IAB19 Technology & Computing,0.68,scraped,
Best practices for debt repayment,IAB13 Personal Finance,0.68,synthetic,
Knife collecting Indoor Collection hobby,IAB9 Hobbies & Interests,0.7200000000000001,scraped,
ASOS Marketplace,IAB22 Shopping,0.76,synthetic,
childcare concerted cultivation,IAB6 Family & Parenting,0.68,scraped,
"The sport has evolved significantly over the years, with advancements in equipment, techniques, and park design.",IAB17 Sports,0.592,synthetic,
minister for aviation pakistan khwaja muhammad asif,"IAB11 Law, Gov’t & Politics",0.68,scraped,
scientific discipline christian ethics,IAB15 Science,0.68,scraped,
civil rights cairo declaration on human rights in islam,IAB14 Society,0.68,scraped,
job profession,IAB4 Careers,0.68,scraped,
exercise israel,IAB7 Health & Fitness,0.68,scraped,
civil rights kathleen cleaver,IAB14 Society,0.68,scraped,
employment further education,IAB4 Careers,0.68,scraped,
Dancing Indoor Competitive hobby,IAB9 Hobbies & Interests,0.7200000000000001,scraped,
recall alert 20042008 chevrolet aveo,IAB2 Automotive,0.512,pseudo labeled,
Smart money moves in a recession,IAB13 Personal Finance,0.68,synthetic,
Selma Blair,IAB1 Arts & Entertainment,0.68,scraped,
new report alzheimers disease affects women men,IAB12 News,0.6160000000000001,pseudo labeled,
tourist attraction agritourism,IAB20 Travel,0.68,scraped,
attorney general malaysia ahmad terrirudin,"IAB11 Law, Gov’t & Politics",0.68,scraped,
"parenting styles hong, j.s. (2021). ""parenting style and bullying and victimization: comparing foreign-born asian, us-born asian, and white american adolescents"".journal of family violence.36(7):799–811.doi:10.1007/s10896-020-00176-y.s2cid220294556.",IAB6 Family & Parenting,0.68,scraped,
bust margaritas heres youre celebrating cinco de mayo,IAB8 Food & Drink,0.6480000000000001,pseudo labeled,
bank money creation,IAB13 Personal Finance,0.68,scraped,
board game reversi(othello),IAB9 Hobbies & Interests,0.68,scraped,
"Air travel has made the world a smaller place, connecting people and cultures from all over the globe.",IAB20 Travel,0.5599999999999999,synthetic,
2 cases chikungunya virus confirmed travelers dominican republic,IAB20 Travel,0.5519999999999999,pseudo labeled,
field critical management studies,IAB5 Education,0.68,scraped,
best figure skating tips,IAB17 Sports,0.9,synthetic,
brand food chicken of the sea,IAB22 Shopping,0.68,scraped,
why choose religion black shamanism,IAB23 Religion & Spirituality,0.9,synthetic,
architecture florida modern1950s ortropical modernism,IAB21 Real Estate,0.68,scraped,
Chakali,IAB8 Food & Drink,0.68,scraped,
best parenting sterilization tips,IAB6 Family & Parenting,0.9,synthetic,
reviews about creating a go-bag budget,IAB13 Personal Finance,0.9,synthetic,
Rodeo,IAB17 Sports,0.76,subcategories,
latest news on careers pulmonologist,IAB4 Careers,0.9,synthetic,
reviews about understanding quarterly tax deadlines,IAB13 Personal Finance,0.9,synthetic,
experimental breed european shorthair,IAB16 Pets,0.68,scraped,
latest news on movement anti-liberalism,IAB14 Society,0.9,synthetic,
programming language axum,IAB19 Technology & Computing,0.68,scraped,
programming language programming languages by type,IAB19 Technology & Computing,0.68,scraped,
garden pancratium(sea lily),IAB10 Home & Garden,0.68,scraped,
Kombdi vade,IAB8 Food & Drink,0.68,scraped,
religion muong ethnic religion,IAB23 Religion & Spirituality,0.68,scraped,
"governor, bank negara malaysia malaysia abdul rasheed adbul ghaffour","IAB11 Law, Gov’t & Politics",0.68,scraped,
garden moltkia,IAB10 Home & Garden,0.68,scraped,
health seven virtuescardinaltheological,IAB7 Health & Fitness,0.68,scraped,
Entertainment,IAB19 Technology & Computing,0.76,subcategories,
childcare sids,IAB6 Family & Parenting,0.68,scraped,
controversies around minister of of,"IAB11 Law, Gov’t & Politics",0.9,synthetic,
Ricardo Darín,IAB1 Arts & Entertainment,0.68,scraped,
best buy co inc nysebby reports quarterly drop gross margins,IAB3 Business,0.5519999999999999,pseudo labeled,
psychologist cognitive psychologists,IAB6 Family & Parenting,0.68,scraped,
real estate residential treatment center,IAB21 Real Estate,0.68,scraped,
childcare multiple birth,IAB6 Family & Parenting,0.68,scraped,
secretary. of information & communications technology philippines ivan uy,"IAB11 Law, Gov’t & Politics",0.68,scraped,
garden neillia,IAB10 Home & Garden,0.68,scraped,
brand food wander ag,IAB22 Shopping,0.68,scraped,
"The equestrian sport is a popular form of entertainment, with many people enjoying watching horse races and other equestrian events.",IAB17 Sports,0.672,synthetic,
workplace laziness in the workplace which could lead toindustrial accidentsor other things.,IAB4 Careers,0.68,scraped,
Retirement Planning,IAB13 Personal Finance,0.76,subcategories,
Michael Haneke,IAB1 Arts & Entertainment,0.68,scraped,
travelers like airlines loathe flying,IAB20 Travel,0.576,pseudo labeled,
"Boxing has played a significant role in shaping the world of sports, providing entertainment, inspiration, and a platform for athletes to showcase their skills and determination.",IAB17 Sports,0.6480000000000001,synthetic,
Radio,IAB9 Hobbies & Interests,0.76,subcategories,
minister of foreign affairs new zealand winston peters,"IAB11 Law, Gov’t & Politics",0.68,scraped,
Perfume: The Story of a Murderer,IAB1 Arts & Entertainment,0.68,scraped,
fashion designer sita abellán,IAB18 Style & Fashion,0.68,scraped,
Quidditch Outdoor Competitive hobby,IAB9 Hobbies & Interests,0.7200000000000001,scraped,
Galho,IAB8 Food & Drink,0.68,scraped,
employment induction training,IAB4 Careers,0.68,scraped,
1st 2015 chevrolet corvette z06 auctioned benefit detroitbased cancer,IAB2 Automotive,0.6000000000000001,pseudo labeled,
web25 sir tim bernerslees computer began show science,IAB15 Science,0.7120000000000001,pseudo labeled,
employment overspecialization,IAB4 Careers,0.68,scraped,
miscellaneous high-energy astrophysics,IAB24 Uncategorized,0.68,scraped,
WALL·E,IAB1 Arts & Entertainment,0.68,scraped,
board game barbarossa,IAB9 Hobbies & Interests,0.68,scraped,
scientists create insulinmaking cells dna diabetic woman,IAB15 Science,0.6160000000000001,pseudo labeled,
why choose garden aristea,IAB10 Home & Garden,0.9,synthetic,
gm recalls additional 33 million cars ignition problems,IAB2 Automotive,0.5599999999999999,pseudo labeled,
Physics,IAB15 Science,0.76,subcategories,
how to use dog breed bakharwal,IAB16 Pets,0.9,synthetic,
celebrate 75 wonderful wizard oz years travel destinations,IAB20 Travel,0.544,pseudo labeled,
psychologist averil leimon,IAB6 Family & Parenting,0.68,scraped,
Psycho,IAB1 Arts & Entertainment,0.68,scraped,
civilization beyond earth announced news,IAB12 News,0.568,pseudo labeled,
how to use pav bhaji,IAB8 Food & Drink,0.9,synthetic,
minister of natural resources and sustainability malaysia nik nazmi nik ahmad,"IAB11 Law, Gov’t & Politics",0.68,scraped,
what is garden bletilla(anorchidgenus),IAB10 Home & Garden,0.9,synthetic,
news analysis investor april 17 2014,IAB12 News,0.568,pseudo labeled,
parenting domestic violencepregnancy,IAB6 Family & Parenting,0.68,scraped,
high seas vietnam china play tense game,IAB17 Sports,0.568,pseudo labeled,
dog breed collie,IAB16 Pets,0.68,scraped,
stocks watch mcd gild cmcsa nflx,IAB17 Sports,0.5519999999999999,pseudo labeled,
dish pudding,IAB8 Food & Drink,0.68,scraped,
miscellaneous coastal geography/oceanography,IAB24 Uncategorized,0.68,scraped,
field sport psychology,IAB5 Education,0.68,scraped,
Protecting your savings during emergencies,IAB13 Personal Finance,0.68,synthetic,
childcare curfew,IAB6 Family & Parenting,0.68,scraped,
religion ananda,IAB23 Religion & Spirituality,0.68,scraped,
pet coccidia,IAB16 Pets,0.68,scraped,
religion sangirese religion,IAB23 Religion & Spirituality,0.68,scraped,
fashion designer sonya monina,IAB18 Style & Fashion,0.68,scraped,
garden platycerium(staghorn fern),IAB10 Home & Garden,0.68,scraped,
miscellaneous reading education,IAB24 Uncategorized,0.68,scraped,
Blueberry Pancakes Flour Sugar Butter Blueberries,IAB8 Food & Drink,0.68,scraped,
"scientific discipline ethics(outline)applied ethicsanimal rightsbioethicsenvironmental ethicsmeta-ethicsmoral psychology,descriptive ethics,value theorynormative ethicsvirtue ethics",IAB15 Science,0.68,scraped,
board game scrabble,IAB9 Hobbies & Interests,0.68,scraped,
miscellaneous polymer science,IAB24 Uncategorized,0.68,scraped,
office chair under $50 Zara,IAB22 Shopping,0.6400000000000001,synthetic,
programming language babbage,IAB19 Technology & Computing,0.68,scraped,
new grilled cheese bar celebrates grand opening dc friday,IAB8 Food & Drink,0.6240000000000001,pseudo labeled,
robin thicke paula patton relationship news askthicke bombs,IAB12 News,0.592,pseudo labeled,
garden melasphaerula,IAB10 Home & Garden,0.68,scraped,
architecture georgian architecture1720–1840s uk & us,IAB21 Real Estate,0.68,scraped,
minister of justice liberia oswald tweh,"IAB11 Law, Gov’t & Politics",0.68,scraped,
home news broken system mental illness takes toll,IAB12 News,0.5599999999999999,pseudo labeled,
Setting up a financial safety net,IAB13 Personal Finance,0.68,synthetic,
write resume resume manager,IAB4 Careers,0.7200000000000001,scraped,
civil rights donald l. hollowell,IAB14 Society,0.68,scraped,
sociology science and technology studies,IAB14 Society,0.68,scraped,
todays rates home mortgages hsbc,IAB21 Real Estate,0.7200000000000001,scraped,
experimental breed arabian mau,IAB16 Pets,0.68,scraped,
minister of foreign affairs kuwait abdullah ali abdullah al-yahya,"IAB11 Law, Gov’t & Politics",0.68,scraped,
"minister of state and minister of the interior, public security & territorial administration niger mohamed toumba boubacar,brig. gen.","IAB11 Law, Gov’t & Politics",0.68,scraped,
board game san marco,IAB9 Hobbies & Interests,0.68,scraped,
spacex cargo ship attached space station,IAB20 Travel,0.544,pseudo labeled,
minister of finance new zealand nicola willis,"IAB11 Law, Gov’t & Politics",0.68,scraped,
Road biking Outdoors and sports,IAB9 Hobbies & Interests,0.7200000000000001,scraped,
programming language google apps script,IAB19 Technology & Computing,0.68,scraped,
programming language arexx,IAB19 Technology & Computing,0.68,scraped,
architecture streamline moderne1930–1937,IAB21 Real Estate,0.68,scraped,
investment public choice,IAB13 Personal Finance,0.68,scraped,
mcdonalds profit falls us diners lovin,IAB8 Food & Drink,0.7200000000000001,scraped,
scientists develop dementia blood test,IAB15 Science,0.6320000000000001,pseudo labeled,
tourist attraction lists portal,IAB20 Travel,0.68,scraped,
hercules movie release cast news dwayne rock johnson talks,IAB12 News,0.592,pseudo labeled,
"workplace workplace morale: workplace events play a large part in changing employee morale, such as heavy layoffs, the cancellation of overtime, canceling benefits programs, and the lack of union representation.",IAB4 Careers,0.68,scraped,
Card Games,IAB9 Hobbies & Interests,0.76,subcategories,
astronauts play zero gravity football international space station,IAB17 Sports,0.592,pseudo labeled,
Understanding loan repayment options,IAB13 Personal Finance,0.68,synthetic,
fox news rips bioshock infinite logo,IAB12 News,0.664,pseudo labeled,
"Network security is a critical aspect of technology and computing, ensuring the protection of data and systems from unauthorized access, use, disclosure, disruption, modification, or destruction.",IAB19 Technology & Computing,0.6400000000000001,synthetic,
minister of mining malawi ken zikhale ng'oma,"IAB11 Law, Gov’t & Politics",0.68,scraped,
field mammalogycynologyfelinology,IAB5 Education,0.68,scraped,
guide to university canada,IAB5 Education,0.9,synthetic,
religion rajneesh movement,IAB23 Religion & Spirituality,0.68,scraped,
Misi roti,IAB8 Food & Drink,0.68,scraped,
latest news on bank postal savings,IAB13 Personal Finance,0.9,synthetic,
store appliances buy,IAB22 Shopping,0.6400000000000001,synthetic,
morrissey cancels rest us tour recover respiratory infection,IAB20 Travel,0.512,pseudo labeled,
Greece,IAB20 Travel,0.76,subcategories,
dog breed cantabrian water dog,IAB16 Pets,0.68,scraped,
benefits of house type masia,IAB21 Real Estate,0.9,synthetic,
civil rights sweatt v. painter(1950),IAB14 Society,0.68,scraped,
dow jones industrials expect week,IAB3 Business,0.5599999999999999,pseudo labeled,
psychologist eleanor maccoby,IAB6 Family & Parenting,0.68,scraped,
business update oil jumps 106 iraq violence,IAB3 Business,0.536,pseudo labeled,
Managing finances for aging parents,IAB13 Personal Finance,0.68,synthetic,
career japan,IAB4 Careers,0.68,scraped,
bank category,IAB13 Personal Finance,0.68,scraped,
police found miley cyrus stolen maserati youre hook,IAB2 Automotive,0.6480000000000001,pseudo labeled,
