text,labels,confidence,source,iab_label
wall street falls housing data disappoints,,0.9,manual,IAB21 Real Estate
home sales decline wisconsin 5th month,,0.9,manual,IAB21 Real Estate
california pending home sales spike march,,0.9,manual,IAB21 Real Estate
new homes sales february hit slowest pace 5 months,,0.9,manual,IAB21 Real Estate
existing home sales us uptick april,,0.9,manual,IAB21 Real Estate
sales new homes plunge march,,0.9,manual,IAB21 Real Estate
zillow buys real estate rival trulia,,0.9,manual,IAB21 Real Estate
home sales see biggest monthly gain nearly 3 years,,0.9,manual,IAB21 Real Estate
newhome sales slip nationally july,,0.9,manual,IAB21 Real Estate
existinghome sales increase 49 may,,0.9,manual,IAB21 Real Estate
new home sales soar sixyear high may,,0.9,manual,IAB21 Real Estate
nar existinghome sales rose 13 april,,0.9,manual,IAB21 Real Estate
march new home sales plunge 145,,0.9,manual,IAB21 Real Estate
new home sales soar may hit highest level since 2008,,0.9,manual,IAB21 Real Estate
sales new homes us plunge 145 percent march,,0.9,manual,IAB21 Real Estate
massachusetts home sales march,,0.9,manual,IAB21 Real Estate
existing home sales surge may housing market heats,,0.9,manual,IAB21 Real Estate
caseshiller reports slowing house price growth,,0.9,manual,IAB21 Real Estate
home price growth slows across 20 us cities,,0.9,manual,IAB21 Real Estate
newhome sales 64 april,,0.9,manual,IAB21 Real Estate
us new home sales sixyear high,,0.9,manual,IAB21 Real Estate
sales new us homes fall july,,0.9,manual,IAB21 Real Estate
housing industry wonders mel watt want,,0.9,manual,IAB21 Real Estate
housing crisis overtakes transport biggest concern londoners poll suggests,,0.9,manual,IAB21 Real Estate
us existing home sales hit 112 year low march,,0.9,manual,IAB21 Real Estate
brief sales new homes sink,,0.9,manual,IAB21 Real Estate
california pending home sales spike short sales drop,,0.9,manual,IAB21 Real Estate
The demand for apartments is expected to continue to grow in the years to come.,,0.9,manual,IAB21 Real Estate
us existinghome sales surge may,,0.9,manual,IAB21 Real Estate
contracts buy homes fall 8th straight month,,0.9,manual,IAB21 Real Estate
us new home sales fall,,0.9,manual,IAB21 Real Estate
us home sales april last years level,,0.9,manual,IAB21 Real Estate
us new home sales pull back february,,0.9,manual,IAB21 Real Estate
uk house prices slow,,0.9,manual,IAB21 Real Estate
us existing home sales jump expected may,,0.9,manual,IAB21 Real Estate
annual new housing starts drop million may,,0.9,manual,IAB21 Real Estate
dubai plans build worlds biggest mall,,0.9,manual,IAB21 Real Estate
todays rates home mortgages hsbc,,0.9,manual,IAB21 Real Estate
home condo sales fall may,,0.9,manual,IAB21 Real Estate
housing production dips 65 percent may,,0.9,manual,IAB21 Real Estate
us new home sales rise six months,,0.9,manual,IAB21 Real Estate
homebuilder confidence soars,,0.9,manual,IAB21 Real Estate
home builders pessimistic year,,0.9,manual,IAB21 Real Estate
mortgage applications fall latest week,,0.9,manual,IAB21 Real Estate
small interest rate changes mean big money home buyers,,0.9,manual,IAB21 Real Estate
The future of apartments is bright.,,0.9,manual,IAB21 Real Estate
uk house prices rise 19 february,,0.9,manual,IAB21 Real Estate
housing may hold keys,,0.9,manual,IAB21 Real Estate
hong kong property experts call new tack lure shoppers,,0.9,manual,IAB21 Real Estate
us new home sales 64,,0.9,manual,IAB21 Real Estate
