text,labels,confidence,source,iab_label
axe threat hangs exnokians microsoft,,0.9,manual,IAB19 Technology & Computing
microsoft unveils lowcost office 365 personal,,0.9,manual,IAB19 Technology & Computing
samsung galaxy ace 4 core ii young 2 get priced,,0.9,manual,IAB19 Technology & Computing
amazons topsecret gadget lab building plenty thinner kindle could,,0.9,manual,IAB19 Technology & Computing
apple cuts macbook air prices 100 improves hardware,,0.9,manual,IAB19 Technology & Computing
apple resurrects iphone 5c 8gb model 42999,,0.9,manual,IAB19 Technology & Computing
microsoft working bringing popular features xbox 360 xbox one,,0.9,manual,IAB19 Technology & Computing
microsofts nuclear option mobile,,0.9,manual,IAB19 Technology & Computing
samsung unveils new line tablets featuring screens richer colours,,0.9,manual,IAB19 Technology & Computing
nadella microsoft isnt giving xbox bing,,0.9,manual,IAB19 Technology & Computing
microsoft office ipad touchdown march 27th,,0.9,manual,IAB19 Technology & Computing
samsung introduces galaxy tab super amoled tablet,,0.9,manual,IAB19 Technology & Computing
amazon unveils longawaited fire phone,,0.9,manual,IAB19 Technology & Computing
google nexus 8 tablet could better ipad,,0.9,manual,IAB19 Technology & Computing
apple launches 8 gb iphone 5c europe,,0.9,manual,IAB19 Technology & Computing
samsung galaxy note 80 vs ipad air stylus deciding factor,,0.9,manual,IAB19 Technology & Computing
apple launches new colourful ipod touch rear camera rs 16900 onwards,,0.9,manual,IAB19 Technology & Computing
apple google et al land grab home automation says raymond james,,0.9,manual,IAB19 Technology & Computing
blackberry acquires antieavesdropping firm secusmart focuses security,,0.9,manual,IAB19 Technology & Computing
samsung chairman hospitalized heart attack,,0.9,manual,IAB19 Technology & Computing
nadella brings ms office suiteto apple ipad,,0.9,manual,IAB19 Technology & Computing
apple charge 100 55inch iphone 6,,0.9,manual,IAB19 Technology & Computing
apple stops selling aging ipad 2 relaunches ipad 4 cheapest large tablet,,0.9,manual,IAB19 Technology & Computing
samsungs new galaxy tab tablet,,0.9,manual,IAB19 Technology & Computing
samsung unveils new line tablets featuring screens richer colors,,0.9,manual,IAB19 Technology & Computing
nvidia co plans quarterly dividend 009 nvda,,0.9,manual,IAB19 Technology & Computing
lenovo launches pair new affordable chromebooks starting 279,,0.9,manual,IAB19 Technology & Computing
htc ceo htc one m8 best phone ever launched,,0.9,manual,IAB19 Technology & Computing
samsung unveils galaxy s5 mini quadcore smartphone,,0.9,manual,IAB19 Technology & Computing
specs fight samsung galaxy s5 vs htc one m8 vs sony xperia z2 vs lg g3,,0.9,manual,IAB19 Technology & Computing
os x yosemite beta features download software better links mac ios,,0.9,manual,IAB19 Technology & Computing
android exec takes stand samsung patent trial apple,,0.9,manual,IAB19 Technology & Computing
microsoft office ipad sets gold standard tablet productivity,,0.9,manual,IAB19 Technology & Computing
apple launches iphone 5c 8gb variant,,0.9,manual,IAB19 Technology & Computing
apple updates macbook air starts 899 quick facts,,0.9,manual,IAB19 Technology & Computing
mozilla ceo pressure resign homophobic beliefs,,0.9,manual,IAB19 Technology & Computing
samsungs galaxy tab jawdropping screen handson,,0.9,manual,IAB19 Technology & Computing
micro 3d printer blows past 22 million kickstarter days,,0.9,manual,IAB19 Technology & Computing
apple samsung finally stop legal battles,,0.9,manual,IAB19 Technology & Computing
lgs laser focus created g3 super smartphone qa,,0.9,manual,IAB19 Technology & Computing
candy crushmaker king digital sees ipo valuation 76 billion,,0.9,manual,IAB19 Technology & Computing
refreshed macbook pro retina laptops launch tuesday report,,0.9,manual,IAB19 Technology & Computing
apple google tech workers near settlement,,0.9,manual,IAB19 Technology & Computing
amazon betting therell 3d smartphone future,,0.9,manual,IAB19 Technology & Computing
samsung galaxy tab 4 hit tmobile shelves summer,,0.9,manual,IAB19 Technology & Computing
touch id every new iphone ipad available apple,,0.9,manual,IAB19 Technology & Computing
finally ios devices get good keyboard quicktype,,0.9,manual,IAB19 Technology & Computing
