text,labels,confidence,source,iab_label
abandoned burger king baby meets mom,,0.9,manual,IAB8 Food & Drink
gwyneth paltrow annoying restaurants,,0.9,manual,IAB8 Food & Drink
burger king baby reunited biological mom facebook post,,0.9,manual,IAB8 Food & Drink
longbow research upgrades chipotle mexican grill neutral cmg,,0.9,manual,IAB8 Food & Drink
switch made pi day pie apple,,0.9,manual,IAB8 Food & Drink
kraft recalls cottage cheese due impromper storage,,0.9,manual,IAB8 Food & Drink
chocolate cure hangry couples,,0.9,manual,IAB8 Food & Drink
celebrate grilled cheese day important cheese facts,,0.9,manual,IAB8 Food & Drink
cupcake craze coming end,,0.9,manual,IAB8 Food & Drink
pizza hut sponsor viacom music groups coverage hangout music festival,,0.9,manual,IAB8 Food & Drink
mcdonalds profit falls us diners lovin,,0.9,manual,IAB8 Food & Drink
big sodas ban,,0.9,manual,IAB8 Food & Drink
How to make sushi without a bamboo mat,,0.9,manual,IAB8 Food & Drink
coffee machine works space,,0.9,manual,IAB8 Food & Drink
How to pad thai?,,0.9,manual,IAB8 Food & Drink
It is a cuisine ,,0.9,manual,IAB8 Food & Drink
Best paella recipes to try at home,,0.9,manual,IAB8 Food & Drink
happy ben jerrys free cone day,,0.9,manual,IAB8 Food & Drink
Traditional yakitori food for festivals,,0.9,manual,IAB8 Food & Drink
Popular Thai street food dishes,,0.9,manual,IAB8 Food & Drink
smoking coffee increasing trend among teenagers doctors say,,0.9,manual,IAB8 Food & Drink
red wine chocolate arent sadly key living long preventing,,0.9,manual,IAB8 Food & Drink
much red wine drink ask italian,,0.9,manual,IAB8 Food & Drink
burger king baby finds mom abandoned,,0.9,manual,IAB8 Food & Drink
potato salad kickstarter rakes 3700,,0.9,manual,IAB8 Food & Drink
eating apples pears could cut stroke risk,,0.9,manual,IAB8 Food & Drink
steviasweetened cocacola life launched us,,0.9,manual,IAB8 Food & Drink
big red soda ad prepare age extinction,,0.9,manual,IAB8 Food & Drink
pepsi says drinks snacks go together like peanut butter jelly,,0.9,manual,IAB8 Food & Drink
kraft recalls 12m cases cottage cheese refrigeration fears,,0.9,manual,IAB8 Food & Drink
