text,iab_label,confidence,source
12 Angry Men,IAB1 Arts & Entertainment,0.85,natural
12 Years a Slave,IAB1 Arts & Entertainment,0.85,natural
127 Hours,IAB1 Arts & Entertainment,0.85,natural
13 Tzameti,IAB1 Arts & Entertainment,0.85,natural
2001: A Space Odyssey,IAB1 Arts & Entertainment,0.85,natural
21 Grams,IAB1 Arts & Entertainment,0.85,natural
8½,IAB1 Arts & Entertainment,0.85,natural
A Beautiful Mind,IAB1 Arts & Entertainment,0.85,natural
A Clockwork Orange,IAB1 Arts & Entertainment,0.85,natural
A Fish Called Wanda,IAB1 Arts & Entertainment,0.85,natural
A History of Violence,IAB1 Arts & Entertainment,0.85,natural
A Nightmare on Elm Street,IAB1 Arts & Entertainment,0.85,natural
A Single Man,IAB1 Arts & Entertainment,0.85,natural
A Very Long Engagement,IAB1 Arts & Entertainment,0.85,natural
A Walk Among the Tombstones,IAB1 Arts & Entertainment,0.85,natural
A.I. Artificial Intelligence,IAB1 Arts & Entertainment,0.85,natural
AC/DC,IAB1 Arts & Entertainment,0.85,natural
AD,IAB1 Arts & Entertainment,0.85,natural
Aaron Eckhart,IAB1 Arts & Entertainment,0.85,natural
Aaron Taylor-Johnson,IAB1 Arts & Entertainment,0.85,natural
"Abel Tesfaye, Carlo Montagnese, Dom McKinney, John Martin, Peter Clarke, Steven Severin, Susan Ballion",IAB1 Arts & Entertainment,0.85,natural
About Schmidt,IAB1 Arts & Entertainment,0.85,natural
Adar Beck,IAB1 Arts & Entertainment,0.85,natural
Adil Hussain,IAB1 Arts & Entertainment,0.85,natural
Adrian Lyne,IAB1 Arts & Entertainment,0.85,natural
Adrien Brody,IAB1 Arts & Entertainment,0.85,natural
Aesop Rock,IAB1 Arts & Entertainment,0.85,natural
Airplane!,IAB1 Arts & Entertainment,0.85,natural
Aitana Sánchez-Gijón,IAB1 Arts & Entertainment,0.85,natural
Al Pacino,IAB1 Arts & Entertainment,0.85,natural
Alan J. Pakula,IAB1 Arts & Entertainment,0.85,natural
Alan Parker,IAB1 Arts & Entertainment,0.85,natural
Alan Price,IAB1 Arts & Entertainment,0.85,natural
Alan Rickman,IAB1 Arts & Entertainment,0.85,natural
Albert Brooks,IAB1 Arts & Entertainment,0.85,natural
Albert Dupontel,IAB1 Arts & Entertainment,0.85,natural
Albert Finney,IAB1 Arts & Entertainment,0.85,natural
Alec Baldwin,IAB1 Arts & Entertainment,0.85,natural
Alec Guinness,IAB1 Arts & Entertainment,0.85,natural
Alejandro Amenábar,IAB1 Arts & Entertainment,0.85,natural
Alejandro G. Iñárritu,IAB1 Arts & Entertainment,0.85,natural
Alex Proyas,IAB1 Arts & Entertainment,0.85,natural
Alex Reid,IAB1 Arts & Entertainment,0.85,natural
Alex Warren,IAB1 Arts & Entertainment,0.85,natural
Alexander Payne,IAB1 Arts & Entertainment,0.85,natural
Alexandra Dahlström,IAB1 Arts & Entertainment,0.85,natural
Alexandra Maria Lara,IAB1 Arts & Entertainment,0.85,natural
Alexandre Aja,IAB1 Arts & Entertainment,0.85,natural
Alexandre Rodrigues,IAB1 Arts & Entertainment,0.85,natural
Alfonso Cuarón,IAB1 Arts & Entertainment,0.85,natural
Alfred Hitchcock,IAB1 Arts & Entertainment,0.85,natural
Alfred Molina,IAB1 Arts & Entertainment,0.85,natural
Ali Larter,IAB1 Arts & Entertainment,0.85,natural
"Ali Shaheed Jones-Muhammad, Dwayne Carter, Kamaal Fareed, Shondrae Crawford",IAB1 Arts & Entertainment,0.85,natural
Alice Braga,IAB1 Arts & Entertainment,0.85,natural
Alice In Chains,IAB1 Arts & Entertainment,0.85,natural
Alida Valli,IAB1 Arts & Entertainment,0.85,natural
Alien,IAB1 Arts & Entertainment,0.85,natural
Aliens,IAB1 Arts & Entertainment,0.85,natural
Alison Doody,IAB1 Arts & Entertainment,0.85,natural
Alive,IAB1 Arts & Entertainment,0.85,natural
All About My Mother,IAB1 Arts & Entertainment,0.85,natural
All the President's Men,IAB1 Arts & Entertainment,0.85,natural
Allen Danziger,IAB1 Arts & Entertainment,0.85,natural
Amanda Seyfried,IAB1 Arts & Entertainment,0.85,natural
Amber Tamblyn,IAB1 Arts & Entertainment,0.85,natural
American Beauty,IAB1 Arts & Entertainment,0.85,natural
American Gangster,IAB1 Arts & Entertainment,0.85,natural
American History X,IAB1 Arts & Entertainment,0.85,natural
American Psycho,IAB1 Arts & Entertainment,0.85,natural
Amores perros,IAB1 Arts & Entertainment,0.85,natural
Amour,IAB1 Arts & Entertainment,0.85,natural
Amy Irving,IAB1 Arts & Entertainment,0.85,natural
Amy Ryan,IAB1 Arts & Entertainment,0.85,natural
Amélie,IAB1 Arts & Entertainment,0.85,natural
An Affair to Remember,IAB1 Arts & Entertainment,0.85,natural
Andie MacDowell,IAB1 Arts & Entertainment,0.85,natural
Andrea Riseborough,IAB1 Arts & Entertainment,0.85,natural
Andrew Adamson,IAB1 Arts & Entertainment,0.85,natural
Andrew Davis,IAB1 Arts & Entertainment,0.85,natural
Andrew Garfield,IAB1 Arts & Entertainment,0.85,natural
Andrew Niccol,IAB1 Arts & Entertainment,0.85,natural
Andrew Robinson,IAB1 Arts & Entertainment,0.85,natural
Andrew Stanton,IAB1 Arts & Entertainment,0.85,natural
André Dussollier,IAB1 Arts & Entertainment,0.85,natural
Andy Garcia,IAB1 Arts & Entertainment,0.85,natural
Ang Lee,IAB1 Arts & Entertainment,0.85,natural
Angelina Jolie,IAB1 Arts & Entertainment,0.85,natural
Anjelica Huston,IAB1 Arts & Entertainment,0.85,natural
Annabella Sciorra,IAB1 Arts & Entertainment,0.85,natural
Anne Archer,IAB1 Arts & Entertainment,0.85,natural
Anne Bancroft,IAB1 Arts & Entertainment,0.85,natural
Anne Hathaway,IAB1 Arts & Entertainment,0.85,natural
Anne Heche,IAB1 Arts & Entertainment,0.85,natural
Annette Bening,IAB1 Arts & Entertainment,0.85,natural
Annie Corley,IAB1 Arts & Entertainment,0.85,natural
Anouk Aimée,IAB1 Arts & Entertainment,0.85,natural
Anthony Hopkins,IAB1 Arts & Entertainment,0.85,natural
Anthony Mackie,IAB1 Arts & Entertainment,0.85,natural
Anthony Mann,IAB1 Arts & Entertainment,0.85,natural
Anthony Minghella,IAB1 Arts & Entertainment,0.85,natural
Anthony Perkins,IAB1 Arts & Entertainment,0.85,natural
Anthony Quinn,IAB1 Arts & Entertainment,0.85,natural
Antoine Fuqua,IAB1 Arts & Entertainment,0.85,natural
Antonio Banderas,IAB1 Arts & Entertainment,0.85,natural
Antti Litja,IAB1 Arts & Entertainment,0.85,natural
Any Given Sunday,IAB1 Arts & Entertainment,0.85,natural
Anything for Her,IAB1 Arts & Entertainment,0.85,natural
Apocalypse Now,IAB1 Arts & Entertainment,0.85,natural
April Kent,IAB1 Arts & Entertainment,0.85,natural
Arctic Monkeys,IAB1 Arts & Entertainment,0.85,natural
Argo,IAB1 Arts & Entertainment,0.85,natural
Ariadna Gil,IAB1 Arts & Entertainment,0.85,natural
Ariana Grande,IAB1 Arts & Entertainment,0.85,natural
Ariane Ascaride,IAB1 Arts & Entertainment,0.85,natural
Armin Mueller-Stahl,IAB1 Arts & Entertainment,0.85,natural
Army of Darkness,IAB1 Arts & Entertainment,0.85,natural
Arnold Schwarzenegger,IAB1 Arts & Entertainment,0.85,natural
Art Carney,IAB1 Arts & Entertainment,0.85,natural
Artyom Bogucharskiy,IAB1 Arts & Entertainment,0.85,natural
"As Above, So Below",IAB1 Arts & Entertainment,0.85,natural
As Good as It Gets,IAB1 Arts & Entertainment,0.85,natural
"Atticus Matthew Ross, Kiowa Roukema, Michael Trent Reznor, Montero Lamar Hill",IAB1 Arts & Entertainment,0.85,natural
Audrey Hepburn,IAB1 Arts & Entertainment,0.85,natural
Audrey Tautou,IAB1 Arts & Entertainment,0.85,natural
Audrey Wells,IAB1 Arts & Entertainment,0.85,natural
Aurélien Recoing,IAB1 Arts & Entertainment,0.85,natural
Avanti!,IAB1 Arts & Entertainment,0.85,natural
Avatar,IAB1 Arts & Entertainment,0.85,natural
"Azealia Banks, Jef Martens",IAB1 Arts & Entertainment,0.85,natural
"Azealia Banks, ‘212’",IAB1 Arts & Entertainment,0.85,natural
Babel,IAB1 Arts & Entertainment,0.85,natural
Back to the Future,IAB1 Arts & Entertainment,0.85,natural
Back to the Future Part II,IAB1 Arts & Entertainment,0.85,natural
Bad Bunny,IAB1 Arts & Entertainment,0.85,natural
"Bad Bunny, ‘Titi Me Pregunto’",IAB1 Arts & Entertainment,0.85,natural
Bad Education,IAB1 Arts & Entertainment,0.85,natural
Bailey Zimmerman,IAB1 Arts & Entertainment,0.85,natural
Barbara Bach,IAB1 Arts & Entertainment,0.85,natural
Barbara Bel Geddes,IAB1 Arts & Entertainment,0.85,natural
Barbara Hershey,IAB1 Arts & Entertainment,0.85,natural
Barkhad Abdi,IAB1 Arts & Entertainment,0.85,natural
Barkhad Abdirahman,IAB1 Arts & Entertainment,0.85,natural
Barry Levinson,IAB1 Arts & Entertainment,0.85,natural
