text,confidence,iab_label
brands anamorphic format trade names,0.85,IAB22 Shopping
brands automotive fuel brands,0.85,IAB22 Shopping
"brands bottle types, brands and companies",0.85,IAB22 Shopping
brands british rail brand names,0.85,IAB22 Shopping
brands car audio manufacturers and brands,0.85,IAB22 Shopping
brands celebrity-branded perfumes,0.85,IAB22 Shopping
brands cigar brands,0.85,IAB22 Shopping
brands cigarette brands,0.85,IAB22 Shopping
brands defunct consumer brands,0.85,IAB22 Shopping
brands digital camera brands,0.85,IAB22 Shopping
brands dunlop (brands),0.85,IAB22 Shopping
brands electronics brands,0.85,IAB22 Shopping
brands firearm brands,0.85,IAB22 Shopping
brands perfumes,0.85,IAB22 Shopping
brands chained-brand hotels,0.85,IAB22 Shopping
brands ibuprofen brand names,0.85,IAB22 Shopping
brands icelandic brands,0.85,IAB22 Shopping
brands company and product names derived from indigenous peoples,0.85,IAB22 Shopping
brands italian brands,0.85,IAB22 Shopping
brands la marzocco products,0.85,IAB22 Shopping
brands laptop brands and manufacturers,0.85,IAB22 Shopping
brands lingerie brands,0.85,IAB22 Shopping
brands rolling papers,0.85,IAB22 Shopping
brands toys,0.85,IAB22 Shopping
brands marks & spencer brands,0.85,IAB22 Shopping
brands mexican brands,0.85,IAB22 Shopping
brands microbreweries,0.85,IAB22 Shopping
brands common microcontrollers,0.85,IAB22 Shopping
brands most valuable brands,0.85,IAB22 Shopping
brands paracetamol brand names,0.85,IAB22 Shopping
"brands pen types, brands and companies",0.85,IAB22 Shopping
brands piano brand names,0.85,IAB22 Shopping
brands procter & gamble brands,0.85,IAB22 Shopping
brands renamed products,0.85,IAB22 Shopping
brands romanian brands,0.85,IAB22 Shopping
brands royal enfield motorcycles,0.85,IAB22 Shopping
brands sewing machine brands,0.85,IAB22 Shopping
brands slovenian brands,0.85,IAB22 Shopping
brands smart cards,0.85,IAB22 Shopping
brands toy soldiers brands,0.85,IAB22 Shopping
brands convertible tablet computer brands,0.85,IAB22 Shopping
brands toothpaste brands,0.85,IAB22 Shopping
brands unilever brands,0.85,IAB22 Shopping
brands video telecommunication services and product brands,0.85,IAB22 Shopping
brands walmart brands,0.85,IAB22 Shopping
brands cider brands,0.85,IAB22 Shopping
brands coca-cola brands,0.85,IAB22 Shopping
brands dr pepper snapple brands,0.85,IAB22 Shopping
brands jones soda flavors,0.85,IAB22 Shopping
brands molson coors brands,0.85,IAB22 Shopping
brands pepsi variations,0.85,IAB22 Shopping
brands piscos,0.85,IAB22 Shopping
brands rum producers,0.85,IAB22 Shopping
brands brand name soft drinks products,0.85,IAB22 Shopping
brands soft drinks by country,0.85,IAB22 Shopping
brands tequilas,0.85,IAB22 Shopping
brands vodkas,0.85,IAB22 Shopping
brands whisky brands,0.85,IAB22 Shopping
brands bottled water brands,0.85,IAB22 Shopping
brands brand name breads,0.85,IAB22 Shopping
brands breakfast cereals,0.85,IAB22 Shopping
brands breath mints,0.85,IAB22 Shopping
brands top-selling candy brands,0.85,IAB22 Shopping
brands chewing gum brands,0.85,IAB22 Shopping
brands chocolate bar brands,0.85,IAB22 Shopping
brands conagra brands,0.85,IAB22 Shopping
brands confectionery brands,0.85,IAB22 Shopping
brands brand name food products,0.85,IAB22 Shopping
brands frozen dessert brands,0.85,IAB22 Shopping
brands frozen food brands,0.85,IAB22 Shopping
brands ice cream brands,0.85,IAB22 Shopping
brands instant noodle brands,0.85,IAB22 Shopping
brands japanese snacks,0.85,IAB22 Shopping
brands kraft brands,0.85,IAB22 Shopping
brands mustard brands,0.85,IAB22 Shopping
brands nestlé brands,0.85,IAB22 Shopping
brands popcorn brands,0.85,IAB22 Shopping
brands potato chip brands,0.85,IAB22 Shopping
brands brand name snack foods,0.85,IAB22 Shopping
brands bicycle brands and manufacturing companieslist of australian bicycle brands and manufacturerslist of japanese bicycle brands and manufacturers,0.85,IAB22 Shopping
brands bicycle part manufacturing companies,0.85,IAB22 Shopping
