text,iab_label,confidence
Tell me about yourself/your work experience,IAB4 Careers,0.85
Walk me through your resume,IAB4 Careers,0.85
How did you hear about this position?,IAB4 Careers,0.85
Why do you want to work at this company?,IAB4 Careers,0.85
Why do you want this job?,IAB4 Careers,0.85
Why should we hire you?,IAB4 Careers,0.85
What can you bring to the company?,IAB4 Careers,0.85
What are your strengths?,IAB4 Careers,0.85
What are your weaknesses?,IAB4 Careers,0.85
What is your greatest professional achievement?,IAB4 Careers,0.85
"Tell me about a challenge or conflict you’ve faced at work, and how you dealt with it",IAB4 Careers,0.85
Tell me about a time you demonstrated leadership skills,IAB4 Careers,0.85
What’s a time you disagreed with a decision that was made at work?,IAB4 Careers,0.85
Tell me about a time you made a mistake,IAB4 Careers,0.85
Tell me about a time you failed,IAB4 Careers,0.85
Why are you leaving your current job?,IAB4 Careers,0.85
Why were you fired?,IAB4 Careers,0.85
Can you explain your employment gap?,IAB4 Careers,0.85
Can you explain why you changed career paths?,IAB4 Careers,0.85
What’s your current salary?,IAB4 Careers,0.85
What do you like least about your job?,IAB4 Careers,0.85
What are you looking for in a new position?,IAB4 Careers,0.85
What type of work environment do you prefer?,IAB4 Careers,0.85
What’s your work style?,IAB4 Careers,0.85
What’s your management style?,IAB4 Careers,0.85
How would your boss and coworkers describe you?,IAB4 Careers,0.85
How do you handle stress?,IAB4 Careers,0.85
What do you like to do outside of work?,IAB4 Careers,0.85
Are you planning on having children?,IAB4 Careers,0.85
How do you stay organized?,IAB4 Careers,0.85
How do you prioritize your work?,IAB4 Careers,0.85
What are you passionate about?,IAB4 Careers,0.85
What motivates you?,IAB4 Careers,0.85
What are your pet peeves?,IAB4 Careers,0.85
How do you like to be managed?,IAB4 Careers,0.85
Do you consider yourself successful?,IAB4 Careers,0.85
Where do you see yourself in five years?,IAB4 Careers,0.85
How do you plan to achieve your career goals?,IAB4 Careers,0.85
What are your career aspirations?,IAB4 Careers,0.85
What’s your dream job?,IAB4 Careers,0.85
What other companies are you interviewing with?,IAB4 Careers,0.85
What makes you unique?,IAB4 Careers,0.85
What should I know that’s not on your resume?,IAB4 Careers,0.85
What would your first few months look like in this role?,IAB4 Careers,0.85
What are your salary requirements?,IAB4 Careers,0.85
What do you think we could do better or differently?,IAB4 Careers,0.85
When can you start?,IAB4 Careers,0.85
Are you willing to relocate?,IAB4 Careers,0.85
How many tennis balls can you fit into a limousine?,IAB4 Careers,0.85
"If you were an animal, which one would you want to be?",IAB4 Careers,0.85
Sell me this pen,IAB4 Careers,0.85
Is there anything else you’d like us to know?,IAB4 Careers,0.85
Do you have any questions?,IAB4 Careers,0.85
How would you describe yourself?,IAB4 Careers,0.85
How would a friend describe you?,IAB4 Careers,0.85
What do you know about the company?,IAB4 Careers,0.85
How do you define success?,IAB4 Careers,0.85
What are your future goals?,IAB4 Careers,0.85
Describe your leadership style,IAB4 Careers,0.85
Describe your ideal company culture,IAB4 Careers,0.85
What interests you about this role?,IAB4 Careers,0.85
Describe your work ethic,IAB4 Careers,0.85
What makes an effective team?,IAB4 Careers,0.85
How is your previous experience relevant?,IAB4 Careers,0.85
Can you work under pressure?,IAB4 Careers,0.85
Bonus questions,IAB4 Careers,0.85
Want even  advice for answering common interview questions?,IAB4 Careers,0.85
Start Your Summer With a New Job—These 23 Fantastic Companies Are Hiring in June Finding a Job,IAB4 Careers,0.85
Federal Resume 101: Everything You Need to Know Resumes,IAB4 Careers,0.85
Is It OK to Ask About Layoffs During an Interview? Yes—Here’s How Interviewing,IAB4 Careers,0.85
Looking for Work? Find Open Roles at These New Companies on The Muse Finding a Job,IAB4 Careers,0.85
How to Talk About a Layoff in an Interview (with Examples!) Interviewing,IAB4 Careers,0.85
Federal Job Interview Questions: What to Expect and How to Tackle Them Interviewing,IAB4 Careers,0.85
How to Be Confident in an Interview When You Keep Getting Rejected Interviewing,IAB4 Careers,0.85
13 Nursing Skills to Put on Your Resume (and How to Showcase Them) Resumes,IAB4 Careers,0.85
Meet Your Job Match: Get Hired at an East Coast-Based Company Finding a Job,IAB4 Careers,0.85
"If You’re Looking for Work, These Top Companies Are Hiring in May Finding a Job",IAB4 Careers,0.85
25 Questions to Ask About the Company During an Interview Interviewing,IAB4 Careers,0.85
Want to Work Abroad? These Top Companies Have Exciting APAC Opportunities Finding a Job,IAB4 Careers,0.85
Great Conversation Starters for Your Next Job Interview (No Weather Talk!) Interviewing,IAB4 Careers,0.85
9 Signs You’re Being Ghosted by a Recruiter Finding a Job,IAB4 Careers,0.85
How to Tailor Your Resume for Remote Jobs Resumes,IAB4 Careers,0.85
Get Your Dream Job This Spring—These 22 Companies Are Hiring in April Finding a Job,IAB4 Careers,0.85
Interview Body Language: 8 Mistakes You Don’t Want to Make Interviewing,IAB4 Careers,0.85
When to Send a Thank-you Email After an Interview Interviewing,IAB4 Careers,0.85
Job Hunting? Explore These 3 New Companies on The Muse Finding a Job,IAB4 Careers,0.85
What Companies Mean When They Say “Don’t Use AI in Your Job Applications” Finding a Job,IAB4 Careers,0.85
Amazing International Companies That Have Plenty of Job Openings Finding a Job,IAB4 Careers,0.85
professionals!POSITION role.What OvertimeJob,IAB4 Careers,0.75
performance.)Good leadershipRequired DUTIESThrough StatesExperience experienceThey,IAB4 Careers,0.75
position.EVO situationsJob Responsibilities:Clearly patient-team developmentQualifications:Bachelor's moreResponsibilities:Take,IAB4 Careers,0.75
Director/Director/Manager.Duties staff.#RN-DHResponsibilitiesESSENTIAL QualificationsQualificationsExperience:,IAB4 Careers,0.75
pm.BenefitsHealth JOB.NOTE: team!Now,IAB4 Careers,0.75
responsibilities/expectations.An experience! Promotions,IAB4 Careers,0.75
"timeframes.Experience supervisoryexperience Benefits?There dispositions, Qualifications/Education/Experience/Skills Hrs",IAB4 Careers,0.75
hourlyCandidates City!Job LicenseBLSExperience uno.SkillsExperience skills;Superior,IAB4 Careers,0.75
suppliesJob methods-Experience teamPAE hrImmediate,IAB4 Careers,0.75
"leadership.Oversee lives.ResponsibilitiesEveryday, Qualifications:Master's skillset! desirableExperienced",IAB4 Careers,0.75
andgrowth incidents.Salary teambuilding skills.Able Company/Property,IAB4 Careers,0.75
"skillsCritical CategorySkillSkill philanthropy, 1.Three weights.Position $13/hr.",IAB4 Careers,0.75
projects.Qualifications:Minimum GoExperience environmentExperience,IAB4 Careers,0.75
role-Knowledge crewQualificationsMinimum dishroom. EmployerFast OfferingJob,IAB4 Careers,0.75
compliance.Position teamDisplays teams.Responsibilities: performance.Independently managers.-,IAB4 Careers,0.75
companyEmployee field#nowhiring position:Your team!Perform,IAB4 Careers,0.75
$13.92/HR changesQualifications: Inter-company,IAB4 Careers,0.75
"Preferred:Experience methods.QUALIFICATIONS:Must responsibilities:Â company-match,",IAB4 Careers,0.75
"Manager). (manager, StructuralJob $16/hr,",IAB4 Careers,0.75
