text,confidence,iab_label
classifications push,0.9,IAB7 Health & Fitness
calisthenics,0.9,IAB7 Health & Fitness
test turn fatality,0.9,IAB7 Health & Fitness
contusion,0.9,IAB7 Health & Fitness
immunizations,0.9,IAB7 Health & Fitness
sanity acl,0.9,IAB7 Health & Fitness
workers cardio,0.9,IAB7 Health & Fitness
eudaimonia sweatsuit crash,0.9,IAB7 Health & Fitness
condom,0.9,IAB7 Health & Fitness
machine,0.9,IAB7 Health & Fitness
asthma,0.9,IAB7 Health & Fitness
policy first,0.9,IAB7 Health & Fitness
major shatter education,0.9,IAB7 Health & Fitness
out,0.9,IAB7 Health & Fitness
system war shock,0.9,IAB7 Health & Fitness
hospitalization excersise,0.9,IAB7 Health & Fitness
tear sorry,0.9,IAB7 Health & Fitness
organization,0.9,IAB7 Health & Fitness
suspension harms,0.9,IAB7 Health & Fitness
limb,0.9,IAB7 Health & Fitness
pull,0.9,IAB7 Health & Fitness
stability metabolism,0.9,IAB7 Health & Fitness
nonjogging tire,0.9,IAB7 Health & Fitness
night isoprenoid insurability,0.9,IAB7 Health & Fitness
appearance report healthy,0.9,IAB7 Health & Fitness
knock pathogen comfortable,0.9,IAB7 Health & Fitness
lift accidents public,0.9,IAB7 Health & Fitness
circadian house,0.9,IAB7 Health & Fitness
loose chances fatality,0.9,IAB7 Health & Fitness
not bipolar,0.9,IAB7 Health & Fitness
electric business,0.9,IAB7 Health & Fitness
sweaty penetrating,0.9,IAB7 Health & Fitness
injuries global,0.9,IAB7 Health & Fitness
warm twice betoil,0.9,IAB7 Health & Fitness
nutritionist rupture,0.9,IAB7 Health & Fitness
diaphoretic healthier environmental,0.9,IAB7 Health & Fitness
take natural,0.9,IAB7 Health & Fitness
hospitals,0.9,IAB7 Health & Fitness
major midwifery,0.9,IAB7 Health & Fitness
buy mechanics electric,0.9,IAB7 Health & Fitness
infringement,0.9,IAB7 Health & Fitness
ill heavily,0.9,IAB7 Health & Fitness
draymond dmg,0.9,IAB7 Health & Fitness
transfer states workplaces,0.9,IAB7 Health & Fitness
alcohol health durability,0.9,IAB7 Health & Fitness
out,0.9,IAB7 Health & Fitness
addiction ailments,0.9,IAB7 Health & Fitness
well eduction,0.9,IAB7 Health & Fitness
cerebral distress,0.9,IAB7 Health & Fitness
condom,0.9,IAB7 Health & Fitness
mischief bodyweight,0.9,IAB7 Health & Fitness
developing,0.9,IAB7 Health & Fitness
anxiety might,0.9,IAB7 Health & Fitness
player contraception torn,0.9,IAB7 Health & Fitness
prevention malaria,0.9,IAB7 Health & Fitness
priority sitting dysfunction,0.9,IAB7 Health & Fitness
genetic wellbeing military,0.9,IAB7 Health & Fitness
breastfeeding cap,0.9,IAB7 Health & Fitness
schizophrenia head spasms,0.9,IAB7 Health & Fitness
money bike,0.9,IAB7 Health & Fitness
strain harmed,0.9,IAB7 Health & Fitness
shoulder,0.9,IAB7 Health & Fitness
behavior physicians continent,0.9,IAB7 Health & Fitness
armour good,0.9,IAB7 Health & Fitness
exhaustion frail opt,0.9,IAB7 Health & Fitness
hospitalization gain,0.9,IAB7 Health & Fitness
cases morning aids,0.9,IAB7 Health & Fitness
forearm,0.9,IAB7 Health & Fitness
hygieia hiv result,0.9,IAB7 Health & Fitness
fracture wreck,0.9,IAB7 Health & Fitness
healthful hairline system,0.9,IAB7 Health & Fitness
charley,0.9,IAB7 Health & Fitness
emergency injures infections,0.9,IAB7 Health & Fitness
casualties falling failure,0.9,IAB7 Health & Fitness
stam poor physics,0.9,IAB7 Health & Fitness
get breathlessness,0.9,IAB7 Health & Fitness
ballack ammo sanitation,0.9,IAB7 Health & Fitness
epidemiology disabilities depression,0.9,IAB7 Health & Fitness
transfer hernia sweatsuit,0.9,IAB7 Health & Fitness
struggled psychology,0.9,IAB7 Health & Fitness
upbeat ankle,0.9,IAB7 Health & Fitness
armed,0.9,IAB7 Health & Fitness
physiculture education,0.9,IAB7 Health & Fitness
sitting,0.9,IAB7 Health & Fitness
international,0.9,IAB7 Health & Fitness
isoprenoid,0.9,IAB7 Health & Fitness
harming potential ammo,0.9,IAB7 Health & Fitness
cause cap,0.9,IAB7 Health & Fitness
ailments combat healthfulness,0.9,IAB7 Health & Fitness
science dermatitis,0.9,IAB7 Health & Fitness
nurture health,0.9,IAB7 Health & Fitness
working,0.9,IAB7 Health & Fitness
cardiovascular security heel,0.9,IAB7 Health & Fitness
provide,0.9,IAB7 Health & Fitness
emotional,0.9,IAB7 Health & Fitness
shields sidelined underpopulation,0.9,IAB7 Health & Fitness
illnesses event,0.9,IAB7 Health & Fitness
illness design,0.9,IAB7 Health & Fitness
build buy,0.9,IAB7 Health & Fitness
charter breathe global,0.9,IAB7 Health & Fitness
