text,iab_label,confidence
Beginning Investing,IAB13 Personal Finance,0.95
Credit/Debt & Loans,IAB13 Personal Finance,0.95
Financial News,IAB13 Personal Finance,0.95
Financial Planning,IAB13 Personal Finance,0.95
Hedge Fund,IAB13 Personal Finance,0.95
Insurance,IAB13 Personal Finance,0.95
Investing,IAB13 Personal Finance,0.95
Mutual Funds,IAB13 Personal Finance,0.95
Options,IAB13 Personal Finance,0.95
Retirement Planning,IAB13 Personal Finance,0.95
Stocks,IAB13 Personal Finance,0.95
Tax Planning,IAB13 Personal Finance,0.95
