text,iab_label,confidence
Auto Racing,IAB17 Sports,0.95
Baseball,IAB17 Sports,0.95
Bicycling,IAB17 Sports,0.95
Bodybuilding,IAB17 Sports,0.95
Boxing,IAB17 Sports,0.95
Canoeing/Kayaking,IAB17 Sports,0.95
Cheerleading,IAB17 Sports,0.95
Climbing,IAB17 Sports,0.95
Cricket,IAB17 Sports,0.95
Figure Skating,IAB17 Sports,0.95
Fly Fishing,IAB17 Sports,0.95
Football,IAB17 Sports,0.95
Freshwater Fishing,IAB17 Sports,0.95
Game & Fish,IAB17 Sports,0.95
Golf,IAB17 Sports,0.95
Horse Racing,IAB17 Sports,0.95
Horses,IAB17 Sports,0.95
Hunting/Shooting,IAB17 Sports,0.95
Inline Skating,IAB17 Sports,0.95
Martial Arts,IAB17 Sports,0.95
Mountain Biking,IAB17 Sports,0.95
NASCAR Racing,IAB17 Sports,0.95
Olympics,IAB17 Sports,0.95
Paintball,IAB17 Sports,0.95
Power & Motorcycles,IAB17 Sports,0.95
Pro Basketball,IAB17 Sports,0.95
Pro Ice Hockey,IAB17 Sports,0.95
Rodeo,IAB17 Sports,0.95
Rugby,IAB17 Sports,0.95
Running/Jogging,IAB17 Sports,0.95
Sailing,IAB17 Sports,0.95
Saltwater Fishing,IAB17 Sports,0.95
Scuba Diving,IAB17 Sports,0.95
Skateboarding,IAB17 Sports,0.95
Skiing,IAB17 Sports,0.95
Snowboarding,IAB17 Sports,0.95
Surfing/Bodyboarding,IAB17 Sports,0.95
Swimming,IAB17 Sports,0.95
Table Tennis/Ping-Pong,IAB17 Sports,0.95
Tennis,IAB17 Sports,0.95
Volleyball,IAB17 Sports,0.95
Walking,IAB17 Sports,0.95
Waterski/Wakeboard,IAB17 Sports,0.95
World Soccer,IAB17 Sports,0.95
