text,iab_label,confidence
3-D Graphics,IAB19 Technology & Computing,0.95
Animation,IAB19 Technology & Computing,0.95
Antivirus Software,IAB19 Technology & Computing,0.95
C/C++,IAB19 Technology & Computing,0.95
Cameras & Camcorders,IAB19 Technology & Computing,0.95
Cell Phones,IAB19 Technology & Computing,0.95
Computer Certification,IAB19 Technology & Computing,0.95
Computer Networking,IAB19 Technology & Computing,0.95
Computer Peripherals,IAB19 Technology & Computing,0.95
Computer Reviews,IAB19 Technology & Computing,0.95
Data Centers,IAB19 Technology & Computing,0.95
Databases,IAB19 Technology & Computing,0.95
Desktop Publishing,IAB19 Technology & Computing,0.95
Desktop Video,IAB19 Technology & Computing,0.95
Email,IAB19 Technology & Computing,0.95
Graphics Software,IAB19 Technology & Computing,0.95
Home Video/DVD,IAB19 Technology & Computing,0.95
Internet Technology,IAB19 Technology & Computing,0.95
Java,IAB19 Technology & Computing,0.95
JavaScript,IAB19 Technology & Computing,0.95
Mac Support,IAB19 Technology & Computing,0.95
MP3/MIDI,IAB19 Technology & Computing,0.95
Net Conferencing,IAB19 Technology & Computing,0.95
Net for Beginners,IAB19 Technology & Computing,0.95
Network Security,IAB19 Technology & Computing,0.95
Palmtops/PDAs,IAB19 Technology & Computing,0.95
PC Support,IAB19 Technology & Computing,0.95
Portable,IAB19 Technology & Computing,0.95
Entertainment,IAB19 Technology & Computing,0.95
Shareware/Freeware,IAB19 Technology & Computing,0.95
Unix,IAB19 Technology & Computing,0.95
Visual Basic,IAB19 Technology & Computing,0.95
Web Clip Art,IAB19 Technology & Computing,0.95
Web Design/HTML,IAB19 Technology & Computing,0.95
Web Search,IAB19 Technology & Computing,0.95
Windows,IAB19 Technology & Computing,0.95
