text,iab_label,confidence
Adventure Travel,IAB20 Travel,0.95
Africa,IAB20 Travel,0.95
Air Travel,IAB20 Travel,0.95
Australia & New Zealand,IAB20 Travel,0.95
Bed & Breakfasts,IAB20 Travel,0.95
Budget Travel,IAB20 Travel,0.95
Business Travel,IAB20 Travel,0.95
By US Locale,IAB20 Travel,0.95
Camping,IAB20 Travel,0.95
Canada,IAB20 Travel,0.95
Caribbean,IAB20 Travel,0.95
Cruises,IAB20 Travel,0.95
Eastern Europe,IAB20 Travel,0.95
Europe,IAB20 Travel,0.95
France,IAB20 Travel,0.95
Greece,IAB20 Travel,0.95
Honeymoons/Getaways,IAB20 Travel,0.95
Hotels,IAB20 Travel,0.95
Italy,IAB20 Travel,0.95
Japan,IAB20 Travel,0.95
Mexico & Central America,IAB20 Travel,0.95
National Parks,IAB20 Travel,0.95
South America,IAB20 Travel,0.95
Spas,IAB20 Travel,0.95
Theme Parks,IAB20 Travel,0.95
Traveling with Kids,IAB20 Travel,0.95
United Kingdom,IAB20 Travel,0.95
