text,iab_label,confidence
Alternative Religions,IAB23 Religion & Spirituality,0.95
Atheism/Agnosticism,IAB23 Religion & Spirituality,0.95
Buddhism,IAB23 Religion & Spirituality,0.95
Catholicism,IAB23 Religion & Spirituality,0.95
Christianity,IAB23 Religion & Spirituality,0.95
Hinduism,IAB23 Religion & Spirituality,0.95
Islam,IAB23 Religion & Spirituality,0.95
Judaism,IAB23 Religion & Spirituality,0.95
Latter-Day Saints,IAB23 Religion & Spirituality,0.95
Pagan/Wiccan,IAB23 Religion & Spirituality,0.95
