text,iab_label,confidence
Auto Parts,IAB2 Automotive,0.95
Auto Repair,IAB2 Automotive,0.95
Buying/Selling Cars,IAB2 Automotive,0.95
Car Culture,IAB2 Automotive,0.95
Certified Pre-Owned,IAB2 Automotive,0.95
Convertible,IAB2 Automotive,0.95
Coupe,IAB2 Automotive,0.95
Crossover,IAB2 Automotive,0.95
Diesel,IAB2 Automotive,0.95
Electric Vehicle,IAB2 Automotive,0.95
Hatchback,IAB2 Automotive,0.95
Hybrid,IAB2 Automotive,0.95
Luxury,IAB2 Automotive,0.95
MiniVan,IAB2 Automotive,0.95
Mororcycles,IAB2 Automotive,0.95
Off-Road Vehicles,IAB2 Automotive,0.95
Performance Vehicles,IAB2 Automotive,0.95
Pickup,IAB2 Automotive,0.95
Road-Side Assistance,IAB2 Automotive,0.95
Sedan,IAB2 Automotive,0.95
Trucks & Accessories,IAB2 Automotive,0.95
Vintage Cars,IAB2 Automotive,0.95
Wagon,IAB2 Automotive,0.95
