text,iab_label,confidence
7-12 Education,IAB5 Education,0.95
Adult Education,IAB5 Education,0.95
Art History,IAB5 Education,0.95
College Administration,IAB5 Education,0.95
College Life,IAB5 Education,0.95
Distance Learning,IAB5 Education,0.95
English as a 2nd Language,IAB5 Education,0.95
Language Learning,IAB5 Education,0.95
Graduate School,IAB5 Education,0.95
Homeschooling,IAB5 Education,0.95
Homework/Study Tips,IAB5 Education,0.95
K-6 Educators,IAB5 Education,0.95
Private School,IAB5 Education,0.95
Special Education,IAB5 Education,0.95
Studying Business,IAB5 Education,0.95
