text,iab_label,confidence
Exercise,IAB7 Health & Fitness,0.95
A.D.D.,IAB7 Health & Fitness,0.95
AIDS/HIV,IAB7 Health & Fitness,0.95
Allergies,IAB7 Health & Fitness,0.95
Alternative Medicine,IAB7 Health & Fitness,0.95
Arthritis,IAB7 Health & Fitness,0.95
Asthma,IAB7 Health & Fitness,0.95
Autism/PDD,IAB7 Health & Fitness,0.95
Bipolar Disorder,IAB7 Health & Fitness,0.95
Brain Tumor,IAB7 Health & Fitness,0.95
Cancer,IAB7 Health & Fitness,0.95
Cholesterol,IAB7 Health & Fitness,0.95
Chronic Fatigue Syndrome,IAB7 Health & Fitness,0.95
Chronic Pain,IAB7 Health & Fitness,0.95
Cold & Flu,IAB7 Health & Fitness,0.95
Deafness,IAB7 Health & Fitness,0.95
Dental Care,IAB7 Health & Fitness,0.95
Depression,IAB7 Health & Fitness,0.95
Dermatology,IAB7 Health & Fitness,0.95
Diabetes,IAB7 Health & Fitness,0.95
Epilepsy,IAB7 Health & Fitness,0.95
GERD/Acid Reflux,IAB7 Health & Fitness,0.95
Headaches/Migraines,IAB7 Health & Fitness,0.95
Heart Disease,IAB7 Health & Fitness,0.95
Herbs for Health,IAB7 Health & Fitness,0.95
Holistic Healing,IAB7 Health & Fitness,0.95
IBS/Crohn’s Disease,IAB7 Health & Fitness,0.95
Incest/Abuse Support,IAB7 Health & Fitness,0.95
Incontinence,IAB7 Health & Fitness,0.95
Infertility,IAB7 Health & Fitness,0.95
Men’s Health,IAB7 Health & Fitness,0.95
Nutrition,IAB7 Health & Fitness,0.95
Orthopedics,IAB7 Health & Fitness,0.95
Panic/Anxiety Disorders,IAB7 Health & Fitness,0.95
Pediatrics,IAB7 Health & Fitness,0.95
Physical Therapy,IAB7 Health & Fitness,0.95
Psychology/Psychiatry,IAB7 Health & Fitness,0.95
Senor Health,IAB7 Health & Fitness,0.95
Sexuality,IAB7 Health & Fitness,0.95
Sleep Disorders,IAB7 Health & Fitness,0.95
Smoking Cessation,IAB7 Health & Fitness,0.95
Substance Abuse,IAB7 Health & Fitness,0.95
Thyroid Disease,IAB7 Health & Fitness,0.95
Weight Loss,IAB7 Health & Fitness,0.95
Women’s Health,IAB7 Health & Fitness,0.95
