text,iab_label,confidence
American Cuisine,IAB8 Food & Drink,0.95
Barbecues & Grilling,IAB8 Food & Drink,0.95
Cajun/Creole,IAB8 Food & Drink,0.95
Chinese Cuisine,IAB8 Food & Drink,0.95
Cocktails/Beer,IAB8 Food & Drink,0.95
Coffee/Tea,IAB8 Food & Drink,0.95
Cuisine-Specific,IAB8 Food & Drink,0.95
Desserts & Baking,IAB8 Food & Drink,0.95
Dining Out,IAB8 Food & Drink,0.95
Food Allergies,IAB8 Food & Drink,0.95
French Cuisine,IAB8 Food & Drink,0.95
Health/Lowfat Cooking,IAB8 Food & Drink,0.95
Italian Cuisine,IAB8 Food & Drink,0.95
Japanese Cuisine,IAB8 Food & Drink,0.95
Mexican Cuisine,IAB8 Food & Drink,0.95
Vegan,IAB8 Food & Drink,0.95
Vegetarian,IAB8 Food & Drink,0.95
Wine,IAB8 Food & Drink,0.95
