text,iab_label,confidence
Art/Technology,IAB9 Hobbies & Interests,0.95
Arts & Crafts,IAB9 Hobbies & Interests,0.95
Beadwork,IAB9 Hobbies & Interests,0.95
Birdwatching,IAB9 Hobbies & Interests,0.95
Board Games/Puzzles,IAB9 Hobbies & Interests,0.95
Candle & Soap Making,IAB9 Hobbies & Interests,0.95
Card Games,IAB9 Hobbies & Interests,0.95
Chess,IAB9 Hobbies & Interests,0.95
Cigars,IAB9 Hobbies & Interests,0.95
Collecting,IAB9 Hobbies & Interests,0.95
Comic Books,IAB9 Hobbies & Interests,0.95
Drawing/Sketching,IAB9 Hobbies & Interests,0.95
Freelance Writing,IAB9 Hobbies & Interests,0.95
Genealogy,IAB9 Hobbies & Interests,0.95
Getting Published,IAB9 Hobbies & Interests,0.95
Guitar,IAB9 Hobbies & Interests,0.95
Home Recording,IAB9 Hobbies & Interests,0.95
Investors & Patents,IAB9 Hobbies & Interests,0.95
Jewelry Making,IAB9 Hobbies & Interests,0.95
Magic & Illusion,IAB9 Hobbies & Interests,0.95
Needlework,IAB9 Hobbies & Interests,0.95
Painting,IAB9 Hobbies & Interests,0.95
Photography,IAB9 Hobbies & Interests,0.95
Radio,IAB9 Hobbies & Interests,0.95
Roleplaying Games,IAB9 Hobbies & Interests,0.95
Sci-Fi & Fantasy,IAB9 Hobbies & Interests,0.95
Scrapbooking,IAB9 Hobbies & Interests,0.95
Screenwriting,IAB9 Hobbies & Interests,0.95
Stamps & Coins,IAB9 Hobbies & Interests,0.95
Video & Computer Games,IAB9 Hobbies & Interests,0.95
Woodworking,IAB9 Hobbies & Interests,0.95
