text,confidence,iab_label
Amazon.com,0.95,IAB22 Shopping
eBay,0.95,IAB22 Shopping
Walmart Marketplace,0.95,IAB22 Shopping
Etsy,0.95,IAB22 Shopping
Alibaba,0.95,IAB22 Shopping
Rakuten,0.95,IAB22 Shopping
Newegg,0.95,IAB22 Shopping
Bonanza,0.95,IAB22 Shopping
Wish,0.95,IAB22 Shopping
Zalando,0.95,IAB22 Shopping
MercadoLibre,0.95,IAB22 Shopping
"Bed, Bath",0.95,IAB22 Shopping
Wayfair,0.95,IAB22 Shopping
Facebook Marketplace,0.95,IAB22 Shopping
Craigslist,0.95,IAB22 Shopping
Best Buy,0.95,IAB22 Shopping
Target Marketplace,0.95,IAB22 Shopping
Americanas,0.95,IAB22 Shopping
Sears Marketplace,0.95,IAB22 Shopping
Home Depot,0.95,IAB22 Shopping
Etsy Wholesale,0.95,IAB22 Shopping
Nextdoor,0.95,IAB22 Shopping
CustomMade,0.95,IAB22 Shopping
Ruby Lane,0.95,IAB22 Shopping
Poshmark,0.95,IAB22 Shopping
Chairish,0.95,IAB22 Shopping
StockX,0.95,IAB22 Shopping
Grailed,0.95,IAB22 Shopping
OfferUp,0.95,IAB22 Shopping
Depop,0.95,IAB22 Shopping
Vinted,0.95,IAB22 Shopping
ThredUp,0.95,IAB22 Shopping
1stdibs,0.95,IAB22 Shopping
Faire,0.95,IAB22 Shopping
Revolve,0.95,IAB22 Shopping
Farfetch,0.95,IAB22 Shopping
ASOS Marketplace,0.95,IAB22 Shopping
Houzz Marketplace,0.95,IAB22 Shopping
Folksy,0.95,IAB22 Shopping
Mercari,0.95,IAB22 Shopping
AliExpress,0.95,IAB22 Shopping
Taobao,0.95,IAB22 Shopping
Lazada,0.95,IAB22 Shopping
Allegro,0.95,IAB22 Shopping
Flipkart,0.95,IAB22 Shopping
Cdiscount,0.95,IAB22 Shopping
B&H Photo,0.95,IAB22 Shopping
Catch,0.95,IAB22 Shopping
Trade Me,0.95,IAB22 Shopping
eBid,0.95,IAB22 Shopping
