text,iab_label,confidence,source,labels
is michael fassbender season 2 a good movie,IAB1 Arts & Entertainment,1.0,scraped,
actors in when was catherine keener released,IAB1 Arts & Entertainment,1.0,scraped,
reviews about susan sarandon,IAB1 Arts & Entertainment,1.0,scraped,
who directed use jaume colletserra online,IAB1 Arts & Entertainment,1.0,scraped,
is introduction to hugh keays-byrne worth watching,IAB1 Arts & Entertainment,1.0,scraped,
listen to stream learn about gene hackman now soundtrack,IAB1 Arts & Entertainment,1.0,scraped,
main actors in stream andy garcia now,IAB1 Arts & Entertainment,1.0,scraped,
plot of latest news on alan price,IAB1 Arts & Entertainment,1.0,scraped,
is how to use the prestige a good movie,IAB1 Arts & Entertainment,1.0,scraped,
who directed stream danny lloyd now,IAB1 Arts & Entertainment,1.0,scraped,
what is garden machaeranthera,IAB10 Home & Garden,1.0,scraped,
latest news on garden aphyllanthes,IAB10 Home & Garden,1.0,scraped,
how to use garden medinilla,IAB10 Home & Garden,1.0,scraped,
why choose garden berkheya,IAB10 Home & Garden,1.0,scraped,
why choose garden cedronella,IAB10 Home & Garden,1.0,scraped,
why choose garden morisia,IAB10 Home & Garden,1.0,scraped,
latest news on garden cyanotis,IAB10 Home & Garden,1.0,scraped,
why choose garden oenanthe(water dropwort),IAB10 Home & Garden,1.0,scraped,
benefits of garden rebutia,IAB10 Home & Garden,1.0,scraped,
best garden fritillaria(fritillary) tips,IAB10 Home & Garden,1.0,scraped,
news about minister of,"IAB11 Law, Gov’t & Politics",1.0,scraped,
minister of economy mozambique basilio muhate,"IAB11 Law, Gov’t & Politics",1.0,scraped,
what does the minister of do,"IAB11 Law, Gov’t & Politics",1.0,scraped,
opinions on minister of,"IAB11 Law, Gov’t & Politics",1.0,scraped,
what does the minister of do,"IAB11 Law, Gov’t & Politics",1.0,scraped,
debates involving minister of,"IAB11 Law, Gov’t & Politics",1.0,scraped,
minister of finance & economic affairs malawi sosten alfred gwengwe,"IAB11 Law, Gov’t & Politics",1.0,scraped,
news about minister of,"IAB11 Law, Gov’t & Politics",1.0,scraped,
minister-del. for the budget morocco faouzi lekjaa,"IAB11 Law, Gov’t & Politics",1.0,scraped,
debates involving minister of,"IAB11 Law, Gov’t & Politics",1.0,scraped,
fox news mouthbreather calls bachelorette andi slut,IAB12 News,1.0,pseudo labeled,
colon cancer screening news number cases cancers,IAB12 News,1.0,pseudo labeled,
khloe kardashian reportedly acting like real diva new reality,IAB12 News,1.0,pseudo labeled,
dollar lower fomc statement top forex news,IAB12 News,1.0,pseudo labeled,
blood test could predict alzheimers good news,IAB12 News,1.0,pseudo labeled,
apnewsbreak speed blame walker crash,IAB12 News,1.0,pseudo labeled,
today news lunar eclipse blood moon appear overnight,IAB12 News,1.0,pseudo labeled,
fox news hosts interview hillary clinton,IAB12 News,1.0,pseudo labeled,
almost worlds biggest news organizations targeted,IAB12 News,1.0,pseudo labeled,
actually good news federal health care spending,IAB12 News,1.0,pseudo labeled,
introduction to investment education,IAB13 Personal Finance,1.0,scraped,
Setting aside taxes from freelance income,IAB13 Personal Finance,1.0,synthetic,
best student loan exit counseling tips,IAB13 Personal Finance,1.0,synthetic,
Using contracts to protect income,IAB13 Personal Finance,1.0,synthetic,
benefits of understanding closing costs,IAB13 Personal Finance,1.0,synthetic,
benefits of tax planning,IAB13 Personal Finance,1.0,subcategories,
introduction to bank risk,IAB13 Personal Finance,1.0,scraped,
best phone plans under $10,IAB13 Personal Finance,1.0,synthetic,
investment agent-based computational economics,IAB13 Personal Finance,1.0,scraped,
benefits of digital cash envelope alternatives,IAB13 Personal Finance,1.0,synthetic,
civil rights european court of human rights,IAB14 Society,1.0,scraped,
latest news on sociology sociological theory,IAB14 Society,1.0,scraped,
civil rights lynching victims in the united states,IAB14 Society,1.0,scraped,
sociology c. wright mills intellectual craftsmanship advices how to work for young sociologist,IAB14 Society,1.0,scraped,
movement right to life,IAB14 Society,1.0,scraped,
civil rights in brazil,IAB14 Society,1.0,scraped,
civil rights mahatma gandhiahimsasatyagraha,IAB14 Society,1.0,scraped,
civil rights joseph delaine,IAB14 Society,1.0,scraped,
what is civil rights global,IAB14 Society,1.0,scraped,
civil rights the kingdom of god is within you,IAB14 Society,1.0,scraped,
what is scientific discipline etymology,IAB15 Science,1.0,scraped,
scientific discipline cashless society,IAB15 Science,1.0,scraped,
scientific discipline jewish theology,IAB15 Science,1.0,scraped,
scientific discipline culinary arts,IAB15 Science,1.0,scraped,
scientific discipline eastern philosophy,IAB15 Science,1.0,scraped,
