text,iab_label,confidence
who directed Patricia Arquette,IAB1 Arts & Entertainment,1.0
watch Tony Moran online,IAB1 Arts & Entertainment,1.0
plot of North by Northwest,IAB1 Arts & Entertainment,1.0
release date for Linda Hamilton,IAB1 Arts & Entertainment,1.0
release date for Wes Anderson,IAB1 Arts & Entertainment,1.0
main actors in why choose la cage aux folles,IAB1 Arts & Entertainment,1.0
listen to learn about barkhad abdi soundtrack,IAB1 Arts & Entertainment,1.0
trailer for Miranda Richardson,IAB1 Arts & Entertainment,1.0
watch Session 9 online,IAB1 Arts & Entertainment,1.0
release date for Van Johnson,IAB1 Arts & Entertainment,1.0
plot of Trainspotting,IAB1 Arts & Entertainment,1.0
listen to Sam Raimi soundtrack,IAB1 Arts & Entertainment,1.0
is Will Forte worth watching,IAB1 Arts & Entertainment,1.0
listen to Matthew Modine soundtrack,IAB1 Arts & Entertainment,1.0
watch The Incredible Shrinking Man online,IAB1 Arts & Entertainment,1.0
main actors in Viola Davis,IAB1 Arts & Entertainment,1.0
plot of what is zoe saldaña,IAB1 Arts & Entertainment,1.0
is Robert Forster worth watching,IAB1 Arts & Entertainment,1.0
cast of Platoon,IAB1 Arts & Entertainment,1.0
reviews for Patrick Stewart,IAB1 Arts & Entertainment,1.0
watch latest news on lethal weapon online,IAB1 Arts & Entertainment,1.0
plot of Nick Frost,IAB1 Arts & Entertainment,1.0
is Peter Farrelly worth watching,IAB1 Arts & Entertainment,1.0
plot of best guillermo del toro tips,IAB1 Arts & Entertainment,1.0
plot of Rufus,IAB1 Arts & Entertainment,1.0
plot of Nicholas Hoult,IAB1 Arts & Entertainment,1.0
cast of The Pledge,IAB1 Arts & Entertainment,1.0
cast of To Have and Have Not,IAB1 Arts & Entertainment,1.0
release date for best david fincher tips,IAB1 Arts & Entertainment,1.0
cast of Ving Rhames,IAB1 Arts & Entertainment,1.0
reviews for Mamma Mia!,IAB1 Arts & Entertainment,1.0
who directed Nicole de Boer,IAB1 Arts & Entertainment,1.0
"is MAG, Benito Antonio Martinez Ocasio worth watching",IAB1 Arts & Entertainment,1.0
is Selma Blair worth watching,IAB1 Arts & Entertainment,1.0
"plot of benefits of janet jackson, ‘rhythm nation’",IAB1 Arts & Entertainment,1.0
release date for Megan Moroney,IAB1 Arts & Entertainment,1.0
trailer for Sam Mendes,IAB1 Arts & Entertainment,1.0
listen to Sinister soundtrack,IAB1 Arts & Entertainment,1.0
release date for Match Point,IAB1 Arts & Entertainment,1.0
cast of Mía Maestro,IAB1 Arts & Entertainment,1.0
listen to Rain Man soundtrack,IAB1 Arts & Entertainment,1.0
main actors in reviews about kimberly peirce,IAB1 Arts & Entertainment,1.0
cast of Tom Sizemore,IAB1 Arts & Entertainment,1.0
watch William Sylvester online,IAB1 Arts & Entertainment,1.0
listen to Marathon Man soundtrack,IAB1 Arts & Entertainment,1.0
is The Royal Tenenbaums worth watching,IAB1 Arts & Entertainment,1.0
reviews for Mulholland Drive,IAB1 Arts & Entertainment,1.0
who directed why choose jonathan mostow,IAB1 Arts & Entertainment,1.0
plot of Some Like It Hot,IAB1 Arts & Entertainment,1.0
is introduction to mystic river worth watching,IAB1 Arts & Entertainment,1.0
